name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Brompton Oratory,Brompton Road, ,SW7 2RP,Kensington and Chelsea,,217007711,E09000020,Brompton & Hans Town,E05009389,51.49747072,-0.169815218,527139.0127,179202.0035
Channel 4 Document Archive,124 Horseferry Road, ,SW1P 2TX,Westminster,,1.00E+11,E09000033,St James's,E05013806,51.4957021,-0.132918466,529705.0137,179070.0023
Chelsea and Westminster Hospital Archives,369 Fulham Road, ,SW10 9NH,Kensington and Chelsea,,217033201,E09000020,Stanley,E05009405,51.48425239,-0.181434976,526369.013,177712.0032
ChurchCare Library,Cathedral and Church Buildings Division Archbishop,Church House  27 Great Smith Street,SW1P 3AZ,Westminster,,1.00E+11,E09000033,St James's,E05013806,51.497938,-0.129326046,529948.0131,179325.002
Commonwealth Institute,Commonwealth Resources Centre,Kensington High Street ,W8 6NQ,Kensington and Chelsea,,217044656,E09000020,Holland,E05009397,51.49987443,-0.200159027,525026.2823,179417.0831
DayCare Trust,21 St George Road, ,SE1 6ES,Southwark,,2.00E+11,E09000028,St George's,E05011114,51.49529754,-0.102666646,531806.0131,179079.0036
Employment Policy Institute,Beaufort House ,15 St Botolph Street ,EC3A 7NJ,City of London,,95500292,E09000001,Portsoken,E05009308,51.51506783,-0.075887122,533607.012,181326.0022
General Conference of the New Church,Swedenborg House ,20 Bloomsbury Way ,WC1A 2TH,Camden,,5024660,E09000007,Bloomsbury,E05013653,51.51792235,-0.122727011,530349.0114,181559.0035
Harrods Archive,68-72 Hammersmith Road, ,W14 8YW,Hammersmith and Fulham,,34142299,E09000013,Brook Green,E05013735,51.49454912,-0.213626532,524106.0124,178802.0028
National Council for Voluntary Youth Services,Third Floor ,Lancaster House 33 Islington High Str,N1 9LH,Islington,,10008978268,E09000019,Barnsbury,E05013698,51.5330567,-0.106474468,531433.0126,183271.0007
National Council of Voluntary Child Care Organisation,Unit 25,1st Floor Angel Gate,EC1V 2PT,Islington,,10023216009,E09000019,St Peter's & Canalside,E05013711,51.52925214,-0.101427729,531794.0122,182857.0022
National Institute for Social Work,5 Tavistock Place, ,WC1H 9SN,Camden,,5090642,E09000007,Bloomsbury,E05013653,51.52526291,-0.127384112,530005.0114,182367.0034
National League of the Blind and Disabled,324 Gray's Inn Road, ,WC1X 8DD,Camden,,5166668,E09000007,King's Cross,E05013666,51.52884842,-0.119350731,530552.012,182780.003
Performing Right Society Archives,29/33 Berners Street, ,W1P 4AA,Westminster,,1.00E+11,E09000033,West End,E05013808,51.5184036,-0.137121112,529349.0116,181587.0024
The Theatres Trust Resource Centre,22 Charing Cross Road, ,WC2H 0QL,Westminster,,10033531816,E09000033,St James's,E05013806,51.51060881,-0.12820152,529990.012,180736.0028
Working Mens College,Crowndale Road, ,NW1,Camden,,5005485,E09000007,St Pancras & Somers Town,E05013669,51.53523862,-0.136029812,529377.0117,183461.0027
Writers and Scholars Educational Trust (Index on Cens,6-8 Amwell St, ,EC1R 1UQ,Islington,,5300001787,E09000019,Clerkenwell,E05013702,51.52727965,-0.108473109,531311.0123,182625.001
Photographers Gallery ,6-8 Ramillies Street, ,W1F 7LW,Westminster,,,E09000033,West End,E05013808,51.5155547,-0.138631346,529252.2979,181267.5352
Action for Blind People,14-16 Verney Road, ,SE16 3DZ,Southwark,https://www.rnib.org.uk/who-we-are/action-for-blind-people,2.00E+11,E09000028,Old Kent Road,E05011109,51.48468217,-0.062835752,534602.0131,177971.0024
ActionAid Central Archive,Resource Centre Hamlyn House ,Macdonald Road  Archway,N19 5PG,Islington,https://www.actionaid.org.uk/changelives/donate?src=ppc&utm_content=A197_A822_A000329&ds_rl=1248098&gcli,10012791132,E09000019,Junction,E05013707,51.56568099,-0.135607243,529320.0117,186847.0019
Advertising Association,7th Floor North Artillery House,Regents Park ,SW1P 1RT,Westminster,https://www.adassoc.org.uk/,1.00E+11,E09000033,St James's,E05013806,51.49670957,-0.135196816,529544.0135,179178.003
Age Concern,National Old People's Welfare Council ,Astral House  1268 London Road,SW16 4ER,Croydon,https://www.ageuk.org.uk/,2.00E+11,E09000008,Norbury & Pollards Hill,E05011472,51.40683553,-0.120521531,530819.0079,169210.0009
Agnew's,8 Grafton Street, ,W1S 4EL,Westminster,http://www.agnewsgallery.com/,1.00E+11,E09000033,West End,E05013808,51.51005319,-0.143601127,528923.012,180647.0024
Air League,3 Whitehall Court, ,SW1A2EL,Westminster,https://www.airleague.co.uk/,10033625553,E09000033,St James's,E05013806,51.49984047,-0.132461109,529725.0126,179531.0024
Alexander Fleming Laboratory Museum,St Mary's Hospital ,Praed Street ,W2 1NY,Westminster,https://www.imperial.nhs.uk/about-us/who-we-are/fleming-museum,2.00E+11,E09000033,Hyde Park,E05013796,51.51697102,-0.173544641,526826.0122,181364.0034
Alexandra Park and Palace Charitable Trust,Alexandra Palace Way, ,N22 7AY,Haringey,http://www.alexandrapalace.com/,10003974918,E09000014,Alexandra Park,E05013585,51.59448347,-0.130501429,529592.0124,190059.0004
Alfred Dunhill Museum and Archive,Alfred Dunhill Ltd ,5-7 Mandeville Place ,W1U 3AY,Westminster,https://www.dunhill.com/gb,1.00E+11,E09000033,Marylebone,E05013801,51.5163984,-0.151342371,528368.0117,181339.0029
All Hallows by the Tower,All Hallows Church ,Byward Street ,EC3R 5BJ,City of London,http://www.allhallowsbythetower.org.uk/,2.00E+11,E09000001,Tower,E05009310,51.50933062,-0.079184156,533395.0121,180682.0018
Alleyn's School Archive,Townley Road ,Dulwich ,SE22 8SU,Southwark,https://www.alleyns.org.uk/senior-school/aboutalleyns/school-archive,2.00E+11,E09000028,Goose Green,E05011103,51.45478129,-0.081993244,533359.0119,174611.0024
Alpine Club Archives,55/56 Charlotte Road, ,EC2A 3QF,Hackney,http://www.alpine-club.org.uk/ac2/ac-media/archive,10008348373,E09000012,Hoxton East & Shoreditch,E05009377,51.52591939,-0.080662628,533244.0118,182524.0019
"Amnesty International, International Secretariat",Peter Benenson House ,1 Easton Street ,WC1X 0DW,Islington,https://careers.amnesty.org/,5300029347,E09000019,Clerkenwell,E05013702,51.52582065,-0.111128528,531131.0123,182458.0008
Anglo-Chilean Society,12 Devonshire Street, ,W1N 2DS,Westminster,https://www.anglochileansociety.org/,1.00E+11,E09000033,Marylebone,E05013801,51.52207935,-0.146629122,528679.0115,181979.0032
Anthroposophical Society in Great Britain,Rudolf Steiner House ,35 Park Road ,NW1 6XT,Westminster,https://www.anthroposophy.org.uk/,2.00E+11,E09000033,Regent's Park,E05013805,51.52489743,-0.160555743,527705.0122,182268.0029
Arab-British Chamber of Commerce,43 Upper Grosvenor Street, ,W1K 2NJ,Westminster,https://www.abcc.org.uk/,1.00E+11,E09000033,West End,E05013808,51.51042165,-0.153270578,528251.0116,180671.0023
Architectural Association Archives,No. 32 Bedford Square, ,WC1B 3ES,Camden,https://www.aaschool.ac.uk/AASCHOOL/LIBRARY/archive.php,5183821,E09000007,Bloomsbury,E05013653,51.51853136,-0.131018802,529772.0113,181612.0033
Archives of the British Psychoanalytical Society,Institute of Psychoanalysis Bryon House ,112A Shirland Road ,W9 2BT,Westminster,http://psychoanalysis.org.uk/archive/view-archive-collections,10033595987,E09000033,Maida Vale,E05013800,51.52664589,-0.194378265,525354.0126,182404.0034
Archives of the Royal Philatelic Society London,The Royal Philatelic Society London ,41 Devonshire Place ,W1G 6JY,Westminster,http://www.rpsl.org.uk/library.asp,1.00E+11,E09000033,Marylebone,E05013801,51.52147742,-0.150084306,528441.0117,181906.003
Armenian Institute,Armenian Church Hall, Iverna Gardens ,W8 6TP,Kensington and Chelsea,http://www.armenianinstitute.org.uk/,217116743,E09000020,Abingdon,E05009388,51.49955292,-0.193331863,525501.0123,179393.0028
Art Workers Guild,6 Queen Square, ,WC1N 3AT,Camden,http://www.artworkersguild.org/,5088276,E09000007,Holborn & Covent Garden,E05013662,51.5214067,-0.122987281,530321.0109,181946.0033
Association for the Conservation of Energy,Westgate House ,2a Prebend Street ,N1 8PT,Islington,https://www.ukace.org/,5300075757,E09000019,St Peter's & Canalside,E05013711,51.53567982,-0.096863134,532092.0129,183579.9991
Association of Anaesthetists of Great Britain and Ire,21 Portland Place, ,W1B 1PY,Westminster,https://www.aagbi.org/,10033598850,E09000033,Marylebone,E05013801,51.51939349,-0.145109412,528792.0116,181683.0028
Association of Conservative Clubs Ltd,24 Old Queen Street, ,SW1H 9HP,Westminster,https://www.toryclubs.co.uk/,1.00E+11,E09000033,St James's,E05013806,51.50100242,-0.130886294,529831.0125,179663.002
Association of Directors of Adult Social Services,ADSS Business Unit Local Government House ,Smith Square ,SW1P 3HZ,Westminster,https://www.adass.org.uk/home,10033543338,E09000033,St James's,E05013806,51.49557688,-0.126757514,530133.0136,179067.0024
Athenaeum,107 Pall Mall, ,SW1Y 5ER,Westminster,http://www.athenaeumclub.co.uk/,1.00E+11,E09000033,St James's,E05013806,51.50684074,-0.132707924,529688.0123,180309.0023
Baltic Exchange,38 St Mary Axe, ,EC3A 8BH,City of London,https://www.balticexchange.com/,1.00E+11,E09000001,Aldgate,E05009289,51.51497647,-0.08018605,533309.012,181308.0017
Bank of England Archive,Threadneedle Street, ,EC2R 8AH,City of London,https://www.bankofengland.co.uk/archive,2.00E+11,E09000001,Walbrook,E05009312,51.51418809,-0.088621829,532726.0118,181205.0021
Bankside Gallery,48 Hopton Street, Blackfriars ,SE1 9JH,Southwark,https://www.banksidegallery.com/,2.00E+11,E09000028,Borough & Bankside,E05011095,51.50819212,-0.100934689,531889.0116,180516.0019
Barbers Company,Barber-Surgeons' Hall ,1 Monkwell Square  Wood Street ,EC2Y 5BL,City of London,http://barberscompany.org/,2.00E+11,E09000001,Cripplegate,E05009302,51.5180174,-0.094601756,532300.0124,181619.9985
Baring Archive,8-10 Moorgate, ,EC2R 6DA,City of London,https://www.baringarchive.org.uk/,95512518,E09000001,Broad Street,E05009295,51.51551699,-0.089226292,532680.2119,181351.6813
Barnet Local Studies and Archives,The Burroughs, ,NW4 4BQ,Barnet,https://www.barnet.gov.uk/citizen-home/libraries/local-studies-and-archives.html,200222812,E09000003,Hendon,E05013643,51.58859385,-0.228932832,522790.1859,189234.2074
Barnet Museum,31 Wood Street, ,EN5 4BE,Barnet,http://www.barnetmuseum.co.uk/,200128241,E09000003,High Barnet,E05013644,51.65287654,-0.202296261,524459.5518,196427.9224
