name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
 Kingsgate Workshops,Kingsgate Workshops,110-116 Kingsgate Road,,Camden,www.kingsgateworkshops.org.uk,5184848,E09000007,Kilburn,E05013665,51.54434518,-0.196835746,525135.0113,184368.003
 Vanguard Court Studios,Rear of 36-38 Peckham Road,,,Southwark,www.vanguardcourt.org,10000812526,E09000028,St Giles,E05011115,51.47308408,-0.081585729,533334.0111,176647.0027
117 Wallis Road,117 Wallis road ,Hackney Wick,,Hackney,www.arbeit.org.uk / www.arebyte.com,10008336713,E09000012,Hackney Wick,E05009374,51.544736,-0.023507873,537152.0119,184722.0029
3-5 Latona Road,Peckham,,,Southwark,www.artistic-spaces.co.uk,2.00E+11,E09000028,Old Kent Road,E05011109,51.48194983,-0.071103315,534036.0125,177652.0027
401 1/2 Studios,"401 - 403, Wandsworth Road",,,Lambeth,www.401studios.org,2.00E+11,E09000022,Stockwell West & Larkhall,E05014111,51.47371047,-0.13248182,529797.6815,176625.2733
52-56 Standard Road,"Park Royal, London ",,,Ealing,www.artistic-spaces.co.uk,12189460,E09000009,North Acton,E05013527,51.52830491,-0.263787706,520535.0135,182472.0034
7-17 Latona Road,Peckham,,,Southwark,www.artistic-spaces.co.uk,2.00E+11,E09000028,Old Kent Road,E05011109,51.48194983,-0.071103315,534036.0125,177652.0027
Action House ,53 Sandgate Street,Bermondsey,,Southwark,https://artistic-spaces.co.uk/action-house-containers,10090748110,E09000028,Old Kent Road,E05011109,51.484681,-0.06286165,534600.2185,177970.8247
Apex House,23-25 Hythe Road,,,Hammersmith and Fulham,https://nwstudios.wordpress.com,34131643,E09000013,College Park & Old Oak,E05013736,51.52853021,-0.244474766,521874.0098,182528.9993
APT Studios,Harold Wharf,6 Creekside,,Lewisham,aptstudios.org,1.00E+11,E09000023,Deptford,E05013719,51.47640151,-0.021496653,537497.0106,177127.0028
arebyte Studio - Camberwell,Burgess Business Park,,,Southwark,https://www.arebyte.com/available-studios,No UPRN,E09000028,St Giles,E05011115,51.48047367,-0.086074868,533000.7778,177460.5617
