name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Streatham Space Project ,Sternhold Ave,,SW2 4PA,Lambeth,,10093376788,E09000022,Streatham Hill West & Thornton,E05014114,51.43878494,-0.1276554,530232.1028,172750.0938
QUEERCIRCLE,"Building 4, Design District,", 3 Barton Yard,SE10 0BN,Greenwich,,,E09000011,Greenwich Peninsula,E05014082,51.49936,0.00572,539316.9724,179731.3931
Arts Depot ,5 Nether St,North Finchley,N12 0GA,Barnet,https://www.artsdepot.co.uk/,200196017,E09000003,West Finchley,E05013648,51.61281644,-0.176699509,526341.354,192016.8907
Battersea Arts Centre ,Lavender Hill,,SW11 5TN,Wandsworth,https://www.bac.org.uk/,121015942,E09000032,Shaftesbury & Queenstown,E05014019,51.46516318,-0.160813767,527854.012,175625.0023
Bernie Grant Arts Centre ,Town Hall Approach Rd ,Tottenham Green,N15 4RX,Haringey,https://www.berniegrantcentre.co.uk/,10003985252,E09000014,Tottenham Central,E05013601,51.58747503,-0.073075943,533590.0122,189383.0024
Chats Palace ,42-44 Brooksby's Walk,,E9 6D,Hackney,https://chatspalace.com/,1.00023E+11,E09000012,King's Park,E05009379,51.55026393,-0.042683326,535806.0078,185301.0029
Dugdale  ,39 London Road,Enfield,EN2 6DS,Enfield,https://www.dugdalecentre.co.uk/,207007119,E09000010,Town,E05013693,51.65031766,-0.081118167,532849.2911,196356.6622
Harrow Arts Centre ,171 Uxbridge Road,Hatch End,HA5 4EA,Harrow,https://harrowarts.com/,2E+11,E09000015,Hatch End,E05013549,51.60848854,-0.363803161,513398.0118,191229.0015
ICA,The Mall,St. James's,SW1Y 5AH,Westminster,http://www.osoarts.org.uk/,10033601867,E09000033,St James's,E05013806,51.50671003,-0.130148252,529866.0123,180299.0017
Irish Cultural Centre ,5 Black's Rd,Hammersmith,W6 9DT,Hammersmith and Fulham,https://irishculturalcentre.co.uk/,34156699,E09000013,Hammersmith Broadway,E05013741,51.49231323,-0.225584711,523281.9719,178533.1811
Jacksons Lane ,269A Archway Rd,Highgate,N6 5AA,Haringey,https://www.jacksonslane.org.uk/,1.00023E+11,E09000014,Highgate,E05013592,51.57668107,-0.145404162,528610.0108,188053.0012
JW3,341-351 Finchley Rd,,NW3 6ET,Camden,https://www.jw3.org.uk/,5063874,E09000007,West Hampstead,E05013671,51.5509403,-0.184819282,525950.0121,185122.0028
OSO Arts Centre,49 Station Rd,,SW13 0LF,Richmond upon Thames,http://www.osoarts.org.uk/,2.00003E+11,E09000027,Mortlake & Barnes Common,E05013783,51.47230095,-0.246625659,521874.6316,176272.6005
Redbridge Drama Centre ,Churchfields,South Woodford ,E18 2RB,Redbridge,https://redbridgedramacentre.co.uk/RedbridgeDramaCentre.dll/Home,1.00023E+11,E09000026,Churchfields,E05011238,51.5984529,0.022659873,540188.014,190783.0052
Rich Mix ,35-47 Bethnal Green Rd,,E1 6LA,Tower Hamlets,https://www.richmix.org.uk/,6150258,E09000030,Weavers,E05009335,51.52435934,-0.073275203,533761.0116,182364.0029
Riverside Studios ,19 Crisp Rd, Hammersmith,W6 9RL,Hammersmith and Fulham,https://www.riversidestudios.co.uk/,34157767,E09000013,Hammersmith Broadway,E05013741,51.48890897,-0.228255397,523105.7458,178150.1306
Southbank Centre ,Belvedere Road,,SE1 8XX,Lambeth,https://www.southbankcentre.co.uk/,2E+11,E09000022,Waterloo & South Bank,E05014118,51.50576807,-0.116800006,530795.0121,180218.0025
The Tabernacle,35 Powis Square,off Portobello Road,W11 2AY,Kensington and Chelsea,https://www.tabernaclew11.com/,217070132,E09000020,Colville,E05009392,51.51696816,-0.201881407,524860.0126,181315.0026
The Albany ,Douglas Way,,SE8 4AG,Lewisham,https://www.thealbany.org.uk/,1.00024E+11,E09000023,Deptford,E05013719,51.4778771,-0.027409247,537082.0081,177280.0036
The Arts Centre Houndslow ,Â First Floor, Treaty Centre,TW3 1ES,Hounslow,http://www.hounslowartscentre.co.uk/,10091692850,E09000018,Hounslow Central,E05013620,51.46813353,-0.363025347,513801.1545,175622.0945
The Barbican ,Silk St,,EC2Y 8DS,City of London,https://www.barbican.org.uk/,2E+11,E09000001,Cripplegate,E05009302,51.51996071,-0.094102589,532329.0126,181836.998
The Landmark Arts Centre ,Landmark Arts Centre ,Ferry Road ,TW11 9NN,Richmond upon Thames,http://www.landmarkartscentre.org/,10024344794,E09000027,Teddington,E05013788,51.4280867,-0.324626903,516570.014,171229.002
The Library at Willesdon Green,95 High Road,Willesden ,NW10 2SF,Brent,https://www.brent.gov.uk/your-council/the-library-at-willesden-green/,202149110,E09000005,Willesden Green,E05013517,51.5466504,-0.228921501,522904.0119,184570.0027
Watermans Arts Centre,40 High St,Brentford ,TW8 0DS,Hounslow,https://www.watermans.org.uk/,1.00023E+11,E09000018,Brentford East,E05013607,51.48576836,-0.298042371,518269.0142,177685.9997
Poplar Union ,2 Cotall St,Poplar,E14 6TL,Tower Hamlets,https://poplarunion.com/ ,6194894,E09000030,Lansbury,E05009325,51.51559973,-0.02298261,537276.0118,181483.0011
Fairfield Halls ,Park Ln,,CR9 1DG,Croydon,https://fairfield.co.uk/,1.00023E+11,E09000008,Fairfield,E05011468,51.37252439,-0.095778074,532639.0121,165439.0017
