name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Arthouse Crouch End,,159A Tottenham Lane,N8 9BT,Haringey,,1.00023E+11,E09000014,Crouch End,E05013588,51.581831,-0.11999002,530356.2304,188670.6629
Barbican Centre,,Silk Street,EC2Y 8DS,City of London,,2E+11,E09000001,Cripplegate,E05009302,51.519959,-0.09412869,532327.2069,181836.7606
BFI IMAX ,1 Charlie Chaplin Walk,Lambeth ,SE1 8XR,Lambeth,,2E+11,E09000022,Waterloo & South Bank,E05014118,51.504816,-0.11365137,531016.2464,180117.7581
BFI Southbank,,Belvedere Road,SE1 8XT,Lambeth,,2E+11,E09000022,Waterloo & South Bank,E05014118,51.50694,-0.11597015,530849.2448,180349.8039
Cineworld Illford,,Clements Rd,IG1 1BP,Redbridge,,10034911858,E09000026,Ilford Town,E05011246,51.55762,0.0743,543893.1485,186342.5624
Cineworld South Ruislip ,,The Old Dairy,HA4 0EU,Hillingdon,,10092984334,E09000017,South Ruislip,E05013579,51.55907,-0.40009244,511005.5725,185677.8219
Cineworld Wood Green,The Mall Wood Green,High Rd,N22 6LU,Haringey,,10003977027,E09000014,Noel Park,E05013595,51.59436,-0.10807,531146.0422,190085.2624
Cineworld Leicester Square ,5-6 Leicester Square,,WC2H 7NA,Westminster,,10091946844,E09000033,St James's,E05013806,51.51081,-0.13046,529832.7259,180754.37
Clapham Picturehouse,,76 Venn Street,SW4 0AT,Lambeth,,1.00023E+11,E09000022,Clapham Town,E05014102,51.46254,-0.13825614,529428.2391,175372.8872
Close-Up Film Centre,,97 Sclater Street,E1 6HR,Tower Hamlets,,6002778,E09000030,Weavers,E05009335,51.523609,-0.07207926,533846.1707,182282.7513
Covent Garden Hotel,,10 Monmouth Street,WC2H 9HB,Camden,,5046977,E09000007,Holborn & Covent Garden,E05013662,51.514546,-0.12708544,530056.2453,181175.8034
Crouch End Picturehouse,,165 Tottenham Lane,N8 9BY,Haringey,,1.00023E+11,E09000014,Crouch End,E05013588,51.581401,-0.1206717,530310.2302,188621.6299
Curzon Aldgate ,,2 Canter Way,E1 8PS,Tower Hamlets,,6701865,E09000030,Whitechapel,E05009336,51.513817,-0.06883201,534100.1793,181199.8147
Curzon Bloomsbury,,The Brunswick Centre,WC1N 1AW,Camden,,5066588,E09000007,Bloomsbury,E05013653,51.52415,-0.12317399,530300.231,182250.7278
Curzon Chelsea,,206 King's Road,SW3 5XP,Kensington and Chelsea,,217047105,E09000020,Stanley,E05009405,51.48813,-0.16738,527334.0524,178167.5305
Curzon Goldsmiths,Goldsmiths University of London,Richard Hoggart Building,SE14 6NW,Lewisham,,1.00023E+11,E09000023,Brockley,E05013716,51.474144,-0.03540115,536538.2103,176849.958
Curzon Mayfair,,38 Curzon Street,W1J 7TY,Westminster,,1.00023E+11,E09000033,West End,E05013808,51.506562,-0.14813432,528618.281,180250.8092
Curzon Mondrian London,,20 Upper Ground,SE1 9PD,Southwark,,10091666184,E09000028,Borough & Bankside,E05011095,51.508441,-0.10697369,531469.2323,180532.8228
Curzon Richmond,,Water Lane,TW9 1TJ,Richmond upon Thames,,1.00023E+11,E09000027,South Richmond,E05013786,51.459287,-0.30685176,517725.4379,174727.0374
Curzon Soho,,99 Shaftesbury Avenue,W1D 5DY,Westminster,,10091855706,E09000033,West End,E05013808,51.5127,-0.13058,529819.0278,180964.3274
Curzon Victoria,,58 Victoria Street,SW1E 6QW,Westminster,,10033621426,E09000033,St James's,E05013806,51.497714,-0.13683759,529427.2821,179286.7968
East Dulwich Picturehouse & Cafe,,116a Lordship Lane,SE22 8HD,Southwark,,10091663747,E09000028,Goose Green,E05011103,51.456441,-0.07633579,533747.2151,174805.8735
Electric Cinema Portobello,,191 Portobello Road,W11 2ED,Kensington and Chelsea,,217069435,E09000020,Colville,E05009392,51.515523,-0.20509019,524641.33,181148.833
Empire Cinema Haymarket ,,63-65 Haymarket,SW1Y 4RL,Westminster,,10033536286,E09000033,St James's,E05013806,51.508757,-0.13230892,529710.2605,180522.7988
Everyman Baker Street,,96-98 Baker St,W1U 6TJ,Westminster,,10033604376,E09000033,Marylebone,E05013801,51.52051,-0.15652,527997.2604,181787.1581
Everyman Belsize Park,,203 Haverstock Hill,"NW3 4QG
",Camden,,5050403,E09000007,Belsize,E05013652,51.550718,-0.16607356,527250.2434,185129.6942
Everyman Canary Wharf,,Crossrail Place Level -2,E14 5AR,Tower Hamlets,,6198197,E09000030,Canary Wharf,E05009323,51.506132,-0.01784306,537661.1331,180439.8587
Everyman Hampstead,,5 Hollybush Vale,NW3 6TX,Camden,,5090728,E09000007,Frognal,E05013657,51.556441,-0.17902839,526336.2598,185743.6774
Everyman Kings Cross,,14-18 Handyside Street,N1C 4BP ,Camden,,5172384,E09000007,King's Cross,E05013666,51.537446,-0.12738561,529970.2193,183721.7712
Everyman Maida Vale,,215 Sutherland Ave,W9 1RU,Westminster,,1.00024E+11,E09000033,Little Venice,E05013799,51.527986,-0.18174976,526226.2889,182574.7163
Everyman Muswell Hill,,Fortis Green Rd,N10 3HP,Haringey,,1.00023E+11,E09000014,Muswell Hill,E05013594,51.589604,-0.14621733,528517.2377,189488.6621
Everyman Screen on the Green,,83 Upper Street,N1 0NP ,Islington,,5300094504,E09000019,St Mary's & St James',E05013710,51.536886,-0.10374609,531611.1967,183701.7268
