name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Camden Collective,Auction Room,5-7 Buck Street,Camden Town,Camden,www.camdencollective.co.uk/,5083338,E09000007,Camden Town,E05013655,51.54022888,-0.141521672,528982.0375,184006.2383
Second Home,Second Home Spitafields,68-80 Hanbury Street,,Tower Hamlets,http://secondhome.io/,6000144,E09000030,Spitalfields & Banglatown,E05009333,51.51952071,-0.068843891,534082.6081,181834.0523
The Trampery Republic,The Trampery (Republic),Anchorage House,2 Clove Crescent,Tower Hamlets,www.thetrampery.com,6083018,E09000030,Poplar,E05009328,51.50970702,-0.003233377,538664.1246,180864.9606
The Carlyle Group,Uncommon,126 New King's Road,,Hammersmith and Fulham,https://uncommon.co.uk/,34107031,E09000013,Palace & Hurlingham,E05013744,51.47127607,-0.204476671,524804.5972,176229.5281
Huckletree,Huckletree,White City Place,191 Wood Lane,Hammersmith and Fulham,http://www.huckletree.com/,34160930,E09000013,College Park & Old Oak,E05013736,51.51286842,-0.226283471,523178.0419,180817.7874
Second Home,Second Home Holland Park,47-49 Princes Place,,Kensington and Chelsea,http://secondhome.io/,217117492,E09000020,Norland,E05009398,51.5075609,-0.208631972,524417.2763,180257.4098
The Green House,The Green House E9,Greenhouse,49 Green Lanes,Islington,http://www.thegreenhouselondon.com/coworking/,5300037627,E09000019,Mildmay,E05013709,51.55241886,-0.086378056,532770.4623,185460.4261
The Carlyle Group,Uncommon,25 Horsell Road,,Islington,https://uncommon.co.uk/,5300051070,E09000019,Highbury,E05013704,51.54981458,-0.10656764,531378.2975,185134.3413
Canal Studios,Canal Studios,Reliance Wharf,Hertford Road,Hackney,http://canal-studios.co.uk/,10008239524,E09000012,Haggerston,E05009375,51.53675409,-0.077120569,533458.0237,183735.3077
Soho Works Shoreditch,The Tea Building,56 Shoreditch High Street,,Tower Hamlets,http://sohoworks.com/shoreditch/,10008297236,E09000030,Weavers,E05009335,51.52356281,-0.07510294,533636.5575,182272.0875
The Green House,The Green House N16,Greenhouse,Makintosh Lane,Hackney,http://www.thegreenhouselondon.com/coworking/,10008301285,E09000012,Hackney Wick,E05009374,51.54684138,-0.040965447,535935.2929,184923.5956
Farrells Creative Hub,Farrells Creative Hub,,Penfold Street,Westminster,https://hubblehq.com/office-space/2955/farrells-creative-hub-paddington,10033594009,E09000033,Church Street,E05013794,51.52296068,-0.171808369,526929.8258,182033.072
Matthews Yard,Matthews Yard,1 Matthews Yard,Off Surrey Street,Croydon,http://matthewsyard.com,10090382144,E09000008,Fairfield,E05011468,51.37163487,-0.099516428,532381.3903,165333.3368
Areaworks,Areaworks Manor House,Unit 5 Manor House,2 Overbury Road,Haringey,http://areaworks.com/,10090477296,E09000014,Hermitage & Gardens,E05013591,51.57553108,-0.085753703,532746.5342,188031.6938
Huckletree,Huckletree,18 Finsbury Square,The Alphabeta Buil,Islington,http://www.huckletree.com/,10091002838,E09000019,Bunhill,E05013699,51.5211989,-0.085077918,532951.4887,181991.0443
Ark Coworking,Ark Coworking,237 Pentonville Road,King's Cross,Islington,www.arkcoworking.com,10093112761,E09000019,Clerkenwell,E05013702,51.53041515,-0.116601152,530738.2408,182959.1288
This Time Next Year,This Time Next Year,80 Ruckholt Road,,Waltham Forest,https://www.thistimenextyear.co.uk/,10093559245,E09000031,Leyton,E05013896,51.55692352,-0.009562731,538082.0404,186103.4672
Millers Junction,Millers Junction,Unit 1,10-28 Millers Aven,Hackney,www.millersjunction.com/,1.00E+11,E09000012,Shacklewell,E05009382,51.55193537,-0.07287466,533708.0172,185431.2748
Bootstrap Charity,Bootstrap Company,18 Ashwin Street,,Hackney,www.bootstrapcompany.co.uk,10008241414,E09000012,Dalston,E05009370,51.54650564,-0.072374834,533758.5666,184828.3927
Second Home,Second Home London Fields,125-129 Mare Street,,Hackney,http://secondhome.io/,1.00E+11,E09000012,Victoria,E05009386,51.53769035,-0.055931664,534924.6735,183878.3204
Another Place Coworking,3-9 Belfast Road,,,Hackney,https://www.beehivecoworking.com/,1.00E+11,E09000012,Cazenove,E05009368,51.56537946,-0.070508703,533832.6392,186930.6126
Blighty Workspace Finsbury Park,Blightly Arts Workspace,35-37 Blackstock Road,,Hackney,https://blightyarts.org.uk/what-we-do/,1.00E+11,E09000012,Brownswood,E05009367,51.56345352,-0.10129692,531704.3638,186660.5163
The Handbag Factory,The Handbag Factory,3 Loughborough Street,,Lambeth,http://www.handbag-factory.com,1.00E+11,E09000022,Kennington,E05014105,51.48673752,-0.114065734,531039.3006,178106.6759
ArtFix Woolwich,51 Powis Street,,,Greenwich,artfix.org.uk,1.00E+11,E09000011,Woolwich Arsenal,E05014092,51.49073476,0.068102393,543673.7684,178892.7859
Piano House,9 Brighton Terrace,Brixton,,Lambeth,www.pianohousebrixton.co.uk/,1.00E+11,E09000022,Brixton Windrush,E05014098,51.46111732,-0.114791121,531062.2516,175256.3852
