name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Studio 3 Arts,Boundary Road,,,Barking and Dagenham,https://www.studio3arts.org.uk/,100053573,E09000002,Gascoigne,E05014061,51.52997308,0.081920849,544508.8755,183283.2263
Chocolate Factory 16,Chocolate Factory 16,The Chocolate Factory N16,Farley Place,Hackney,https://www.chocolatefactoryn16.com/,1.00E+11,E09000012,Stoke Newington,E05009385,51.55503297,-0.071913285,533765.5949,185777.4922
The Artworks,The Artwork Creekside,3 Creekside,,Greenwich,https://www.theartworkscreekside.com,1.00E+11,E09000011,Greenwich Park,E05014081,51.47609905,-0.020299452,537581.056,177095.6177
Cockpit Arts,Cockpit Arts,Cockpit Yard,Northington Street,Camden,www.cockpitarts.com,5151188,E09000007,Holborn & Covent Garden,E05013662,51.52137716,-0.114955819,530878.2621,181957.0374
Four Corners,Four Corners,121 Roman Road,,Tower Hamlets,http://www.fourcornersfilm.co.uk/home,6039056,E09000030,Bethnal Green,E05009317,51.52838559,-0.047402169,535543.7995,182859.3497
Limehouse Town Hall Consortium Trust,Limehouse Town Hall,646 Commercial Rd,,Tower Hamlets,www.limehousetownhall.co.uk/,6044870,E09000030,Limehouse,E05009326,51.51160273,-0.029804025,536814.7112,181025.7778
White Post Lane E9,White Post Lane,49 White Post Lane Unit 4,Hackney Wick,Tower Hamlets,www.arbeit.org.uk / www.arebyte.com,6077533,E09000030,Bow East,E05009319,51.5423738,-0.021909521,537269.9405,184462.3162
Poplar E14,Baring House,Canton Street,,Tower Hamlets,www.arbeit.org.uk / www.arebyte.com,6128963,E09000030,Mile End,E05009327,51.51141273,-0.023755679,537234.9575,181015.9643
Ten87 Studios,Ten87 Studios,39a Markfield Road,,Haringey,http://ten87studios.com,10022939575,E09000014,South Tottenham,E05013599,51.58261938,-0.063368807,534276.7504,188860.8219
Urban Space Management (Tbw) Ltd,Urban Space Management (Tbw) Ltd,Trinity Buoy Wharf,64 Orchard Place,Newham,www.trinitybuoywharf.com,6130647,E09000025,Royal Victoria,E05013923,51.50792823,0.010337417,539611.2478,180692.9602
Mowlem Studios,Mowlem Studios,3-7 Mowlem Street,,Tower Hamlets,http://www.mowlemstudios.com/artist-studios,6146334,E09000030,St Peter's,E05009331,51.53261148,-0.05386582,535082.9654,183317.3444
The Nest,The Nest,The Nest,2-4 Sampson St - W,Tower Hamlets,https://www.thenest.space/,6160107,E09000030,St Katharine's & Wapping,E05009330,51.50363266,-0.062030884,534602.0708,180079.783
Crown Workshop,Crown Workshop,1-2 Crown Works,Temple Street,Tower Hamlets,http://www.crownworkshop.co.uk/about/,6187732,E09000030,St Peter's,E05009331,51.52998406,-0.058950237,534738.093,183015.7824
Artistic Spaces Ltd,52-56 Standard Road,"Park Royal, London",,Ealing,www.artistic-spaces.co.uk,12124954,E09000009,North Acton,E05013527,51.52727166,-0.264358701,520498.1339,182356.1633
Main Yard Studios,Main Yard Studios,17 Lyon Road,,Merton,https://mainyardstudios.co.uk/wimbledon/,48124136,E09000024,Abbey,E05013810,51.41225573,-0.184817408,526332.4996,169700.1034
The Koppel Project Hive,The Koppel Project Hive,26 Holborn Viaduct,,City of London,http://thekoppelproject.com/studios/,95514267,E09000001,Farringdon Within,E05009304,51.51673152,-0.104048109,531648.3516,181459.9854
Buspace,Buspace Studios,5 Conlan Street,,Kensington and Chelsea,http://www.buspace.co.uk/,217018301,E09000020,Golborne,E05009396,51.52495702,-0.209689553,524296.5335,182190.1011
The Bomb Factory Art Foundation Ltd,The Bomb Factory Studios,Unit 2,Boothby Road,Islington,https://www.bombfactory.org.uk/artists,5300010995,E09000019,Junction,E05013707,51.56530381,-0.130268137,529691.1145,186814.5016
Anomalous Collective,Anomalous Collective,38 Pentoville Road,,Islington,http://anomalousspace.co.uk/about/,5300073069,E09000019,St Peter's & Canalside,E05013711,51.53322087,-0.105972995,531467.3194,183290.1572
Tileyard Studios,Tileyard Studios,35 Tileyard Road,London,Islington,http://www.tileyard.co.uk/,5300091012,E09000019,Caledonian,E05013700,51.54209235,-0.12131126,530378.1927,184249.2476
Candid Arts Trust,Candid Arts,3-5 Torrens Street,,Islington,https://candidarts.wordpress.com,5300092108,E09000019,St Peter's & Canalside,E05013711,51.53171445,-0.103468816,531645.3401,183127.142
Blue House Yard,Blue House Yard,5 River Park Road,,Haringey,https://www.bluehouseyard.com/,10003979415,E09000014,Noel Park,E05013595,51.59655219,-0.110371374,530980.3431,190324.9177
Bernie Grant Centre,Bernie Grant Arts Centre,Bernie Grant Arts Centre,Town Hall Approach,Haringey,https://www.berniegrantcentre.co.uk/hire/workspace/,10003985252,E09000014,Tottenham Central,E05013601,51.58697103,-0.071485188,533701.687,189329.8644
Cell Project Space,Cell Project Arcola North,23-27 Arcola Street,,Hackney,cellprojects.org,10008286566,E09000012,Shacklewell,E05009382,51.55158468,-0.07223223,533753.5818,185393.4527
Lighthouse Studios,,73-75 & 89a Shacklewell Lane,,Hackney,www.lighthousespace.co.uk,10008329070,E09000012,Shacklewell,E05009382,51.55223379,-0.069593622,533934.6068,185470.4659
Hatch Homerton,Hatch,Unit G2,8 Mackintosh Lane,Hackney,http://hatch-homerton.co.uk/,10008334420,E09000012,Hackney Wick,E05009374,51.54684138,-0.040965447,535935.2929,184923.5956
