name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Palace Theatre,Shaftesbury Avenue,,,Westminster,https://www.nimaxtheatres.com/theatres/palace-theatre/,10033553103,E09000033,West End,E05013808,51.51308657,-0.129627602,529884.0118,181009.0027
Eventim Apollo Hammersmith,45 Queen Caroline Street,,,Hammersmith and Fulham,https://www.eventimapollo.com/,34030384,E09000013,Hammersmith Broadway,E05013741,51.49069334,-0.224422616,523367.0137,178355.0018
Islington Assembly Hall,Upper Street,,,Islington,https://islingtonassemblyhall.co.uk/,5300094897,E09000019,Laycock,E05013708,51.54433219,-0.103612127,531599.0107,184530.0001
Freed of London,94 St Martins Lane,,,Westminster,https://www.freedoflondon.com/,10033553950,E09000033,St James's,E05013806,51.51065608,-0.127219602,530058.0119,180743.0022
Federation of Patidar Associations,22 London Road,,,Brent,https://www.patidars.org/,202073653,E09000005,Wembley Hill,E05013515,51.55229548,-0.294982599,518309.0099,185089.0042
Old Red Lion,418 St John Street,,,Islington,https://www.oldredliontheatre.co.uk/theatre.html,5300085363,E09000019,St Peter's & Canalside,E05013711,51.53148185,-0.105847779,531481.0125,183097.001
Rose Theatre,24-26 High Street,,,Kingston upon Thames,http://www.rosetheatrekingston.org,128029778,E09000021,Kingston Town,E05013938,51.4086431,-0.307594201,517804.0142,169094.0007
Greenwich Theatre,3 Crooms Hill,,,Greenwich,,10010200382,E09000011,Greenwich Park,E05014081,51.47946415,-0.007621808,538451.2292,177493.6953
Alexandra Palace,33 Alexandra Palace Way,,,Haringey,http://www.alexandrapalace.com,10003974918,E09000014,Alexandra Park,E05013585,51.59448347,-0.130501429,529592.0124,190059.0004
Apollo Victoria Theatre,17 Wilton Rd,,,Westminster,http://www.apollovictoriatheatre.org/about-us/,1.00023E+11,E09000033,Pimlico North,E05013802,51.49577576,-0.142654424,529029.0137,179061.003
The Arc Theatre,Kingsley Hall,Parsloes Avenue,Dagenham,Barking and Dagenham,http://www.arctheatre.com,100023868,E09000002,Parsloes,E05014067,51.55107,0.13149,547878.568,185728.2067
Barbican Centre Theatre,1C Silk St,,,City of London,http://www.barbican.org.uk,95512045,E09000001,Cripplegate,E05009302,51.51996231,-0.094106846,532328.7127,181837.1682
Barons Court Theatre,28a Comeragh Road,,,Hammersmith and Fulham,http://www.offwestend.com/index.php/theatres/view/42,34128758,E09000013,West Kensington,E05013751,51.48943219,-0.209490815,524407.0153,178240.0034
Bloomsbury Theatre,15 Gordon Street,,,Camden,https://www.doylecollection.com/hotels/the-bloomsbury-hotel?utm_source=google&utm_ca?î?á¬™,5007085,E09000007,Bloomsbury,E05013653,51.52506973,-0.132754789,529633.0115,182336.0026
Brady Arts & Community Centre,192-196 Hanbury Street,,,Tower Hamlets,http://www.towerhamletsarts.org.uk/?s=3&v=15&guide=AllAges,6011121,E09000030,Spitalfields & Banglatown,E05009333,51.51941799,-0.065368543,534324.012,181829.0032
Bread and Roses,68 Clapham Manor St,,,Lambeth,https://www.breadandrosestheatre.co.uk,1.00022E+11,E09000022,Clapham Town,E05014102,51.46586805,-0.136540351,529538.0116,175746.0025
Broadway Theatre, Broadway,Barking,,Barking and Dagenham,http://www.thebroadwaybarking.com/sales,100058301,E09000002,Abbey,E05014053,51.53555,0.07777,544203.3701,183895.1962
Cadogan Hall,5 Sloane Terrace,,,Kensington and Chelsea,http://www.cadoganhall.com,217078765,E09000020,Royal Hospital,E05009403,51.49386601,-0.157267874,528020.0128,178823.0027
Cambridge Theatre,Earlham St,,,Camden,https://www.cambridgeartstheatre.com,5089373,E09000007,Holborn & Covent Garden,E05013662,51.51351139,-0.126381824,530108.0115,181062.0033
Canal Cafe Theatre,13 Westbourne Terrace Rd,,,Westminster,https://canalcafetheatre.com/contact,1.00023E+11,E09000033,Westbourne,E05013809,51.52103082,-0.184236365,526073.0128,181797.0032
Charing Cross Theatre,The Arches,Villiers St,,Westminster,http://www.charingcrosstheatre.co.uk,10033582545,E09000033,St James's,E05013806,51.50808822,-0.124096963,530282.0123,180463.0025
Hampstead Theatre,62 Eton Avenue,,,Camden,www.hampsteadtheatre.com,5134828,E09000007,Primrose Hill,E05013667,51.54382562,-0.173709262,526740.0116,184350.003
ICA,Nash House,,,Westminster,www.ica.art/venue-hire/,1.00023E+11,E09000033,St James's,E05013806,51.50638923,-0.130896308,529815.0123,180262.0026
London Palladium,1-4 Argyll Street,,,Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/london-palladium/,10033529083,E09000033,West End,E05013808,51.51436,-0.14022,529145.4522,181131.881
Lyceum Theatre,21 Wellington Street,,,Westminster,http://www.lyceum-theatre.co.uk,10033572107,E09000033,St James's,E05013806,51.51142368,-0.120111955,530549.0118,180841.0031
Millfield Arts Centre,Silver Street,Edmonton,,Enfield,https://www.millfieldtheatre.co.uk,207015826,E09000010,Haselbury,E05013682,51.61595447,-0.080219224,533012.0121,192537.0037
New Diorama Theatre Broadgate (NDT),15-16 Triton Street,,,Camden,,5155688,E09000007,Regent's Park,E05013668,51.52503273,-0.141751873,529009.0113,182316.0028
Noel Coward Theatre,85-88 St Martin's Lane,,,Westminster,,1.00023E+11,E09000033,St James's,E05013806,51.51110956,-0.127460405,530040.0118,180793.0022
Park Theatre,Clifton Terrace,Finsbury Park,,Islington,https://www.parktheatre.co.uk,10090266645,E09000019,Finsbury Park,E05013703,51.56563594,-0.108641889,531189.0138,186889.9994
Peacock Theatre,4 Portugal Street,,,Westminster,http://peacocktheatre.com,1.00023E+11,E09000033,St James's,E05013806,51.51462706,-0.117991055,530687.0118,181201.003
Phoenix Theatre,110 Charing Cross Rd,,,Camden,http://www.atgtickets.com/venues/phoenix-theatre/,5037592,E09000007,Holborn & Covent Garden,E05013662,51.51452424,-0.129554271,529885.0117,181169.0031
Piccadilly Theatre,16 Denman Theatre,,,Westminster,http://www.piccadillytheatre.org,1.00023E+11,E09000033,West End,E05013808,51.51105578,-0.135374572,529491.0122,180773.0019
Playhouse Theatre,Northumberland Avenue,,,Westminster,http://www.playhousetheatrelondon.com/tickets/,1.00023E+11,E09000033,St James's,E05013806,51.50696648,-0.12368193,530314.0123,180339.0022
The Queen's Theatre,Billet Lane,,,Havering,http://www.queens-theatre.co.uk,1.00023E+11,E09000016,St Andrew's,E05013982,51.56521058,0.219444297,553928.3878,187481.9251
Richmond Theatre,15 Little Green,,,Richmond upon Thames,,10002264543,E09000027,South Richmond,E05013786,51.46212985,-0.303844781,517927.012,175048.0031
Roundhouse,Chalk Farm Rd,,,Camden,http://www.roundhouse.org.uk,5090672,E09000007,Camden Town,E05013655,51.54323234,-0.151898608,528254.0122,184322.0026
Royal Opera House - The Linbury Studio Theatre and Fo,35-36 Bow Street,,,Westminster,http://www.roh.org.uk,10033547198,E09000033,St James's,E05013806,51.51304711,-0.122653705,530368.0116,181017.0032
Rudolf Steiner House,35 Park Road,,,Westminster,http://www.rsh.anth.org.uk,2.00002E+11,E09000033,Regent's Park,E05013805,51.52489743,-0.160555743,527705.0122,182268.0029
Savoy Theatre,2 Savoy Court,,,Westminster,http://www.savoytheatre.org,1.00024E+11,E09000033,St James's,E05013806,51.51016784,-0.12086983,530500.012,180700.0022
Shaftesbury Theatre,210 Shaftesbury Avenue,,,Camden,http://www.shaftesburytheatre.com,5038488,E09000007,Holborn & Covent Garden,E05013662,51.51627657,-0.126095341,530120.0113,181370.0028
Shaw Theatre,100-110 Euston Road,,,Camden,http://www.shaw-theatre.com,5083194,E09000007,St Pancras & Somers Town,E05013669,51.52864677,-0.12811024,529945.0118,182742.0027
Southwark Playhouse,77-85 Newington Causeway,,,Southwark,http://www.southwarkplayhouse.co.uk,2.00003E+11,E09000028,Chaucer,E05011098,51.49750075,-0.098224093,532108.0122,179332.0028
The King's Head Theatre,115 Upper Street,,,Islington,http://www.kingsheadtheatrepub.co.uk,5300094557,E09000019,St Mary's & St James',E05013710,51.53830316,-0.102810177,531672.0125,183861.0007
The Lion and Unicorn Theatre,42-44 Gaisford Street,,,Camden,http://www.thelionandunicornnw5.co.uk,5082943,E09000007,Kentish Town South,E05013664,51.54809015,-0.138922711,529140.0119,184885.0024
The O2 Arena,Peninsula Square,,,Greenwich,https://www.theo2.co.uk,10010228254,E09000011,Greenwich Peninsula,E05014082,51.50292054,0.003185639,539130.2214,180122.5031
 Phoenix Arts Club,1 Phoenix Street,,,Westminster,http://www.phoenixartistclub.com,10033531800,E09000033,St James's,E05013806,51.50959927,-0.128617607,529964.0121,180623.0027
The Rosemary Branch,2A Shepperton Road,,,Islington,http://www.rosemarybranchtheatre.co.uk,5300082551,E09000019,Canonbury,E05013701,51.53762241,-0.08693312,532775.0116,183813.9975
The Royal Albert Hall,9 Kensington Gore,,,Westminster,https://www.royalalberthall.com,1.00023E+11,E09000033,Knightsbridge & Belgravia,E05013797,51.50126863,-0.17751559,526594.0121,179611.0029
The Scoop at More London,Queen's Walk,,,Southwark,,10013532078,E09000028,London Bridge & West Bermondsey,E05011104,51.50503006,-0.079257609,533402.472,180203.6404
The Yard,"Unit 2A, Queens Yard",,,Tower Hamlets,https://theyardtheatre.co.uk,6077552,E09000030,Bow East,E05009319,51.54263859,-0.023382441,537167.0121,184489.0033
Theatre Royal Drury Lane,Catherine St,,,Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/theatre-royal?utm_source=theatreroyalboxoffice.co.uk,10033555899,E09000033,St James's,E05013806,51.51287517,-0.120340416,530529.0117,181002.0028
White Bear Theatre,138 Kennington Park Road,,,Lambeth,http://www.whitebearkennington.co.uk,1.00022E+11,E09000022,Kennington,E05014105,51.48690516,-0.108099695,531453.0127,178136.0032
The Other Palace,12 Palace Street,,,Westminster,https://www.theotherpalace.co.uk,10033568019,E09000033,St James's,E05013806,51.49871015,-0.142261336,529048.0128,179388.0024
Winston Churchill Theatre,Manor Farm,,,Hillingdon,http://www.hillingdontheatres.uk,1.00023E+11,E09000017,Ruislip,E05013577,51.5789453,-0.428743514,508972.0125,187845.0071
