name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
 Kiln Theatre ,269 Kilburn High Road,,,Brent,http://www.tricycle.co.uk,202079064,E09000005,Kilburn,E05013503,51.54331474,-0.200005991,524918.0117,184248.0021
2 Northdown ,2 Northdown Street,,,Islington,https://www.2northdown.com/about/,5300068234,E09000019,Caledonian,E05013700,51.53134606,-0.119204506,530555.0121,183058.003
3 Mills Studios,3 Mill Lane,,,Newham,http://www.3mills.com,10009018097,E09000025,Stratford,E05013924,51.52684581,-0.006276453,538401.0093,182764.9982
808 Studios,Stephen House,1B Darnely Road,,Hackney,www.808studios.co.uk,1.00E+11,E09000012,Homerton,E05009376,51.54383,-0.054437649,535010.1355,184563.8162
Abacus Arts,2a Browning Street,,,Southwark,http://www.abacus-arts.org.uk,2.00E+11,E09000028,North Walworth,E05011107,51.48986355,-0.095862668,532294.0117,178487.0021
Academy Mews Dance Studios,15 Pratt Mews,,,Camden,https://www.academydancestudios.com/studio-hire-london-contact/,5088505,E09000007,Regent's Park,E05013668,51.53718037,-0.140521526,529060.0119,183669.0023
ACS Dance Centre,66 Albert Rd,,,Havering,http://www.anthonycliffordstudios.co.uk,1.00E+11,E09000016,St Alban's,E05013981,51.57360449,0.18990651,551853.3222,188353.5517
Albany Centre and Theatre,1A Douglas Way,,,Lewisham,http://www.thealbany.org.uk,1.00E+11,E09000023,Deptford,E05013719,51.4778771,-0.027409247,537082.0081,177280.0036
Aldwych Theatre,49 Aldwych,,,Westminster,https://www.nederlander.co.uk/aldwych-theatre,1.00E+11,E09000033,St James's,E05013806,51.51307629,-0.118862085,530631.0117,181027.0027
Alford House,Aveline Street,Kennington,,Lambeth,http://www.alfordhouse.org.uk/site/room-hire.php,1.00E+11,E09000022,Vauxhall,E05014117,51.48799223,-0.114176555,531028.0127,178246.0027
Alleyn's School,Townley Road,,,Southwark,https://www.alleyns.org.uk,2.00E+11,E09000028,Goose Green,E05011103,51.45478129,-0.081993244,533359.0119,174611.0024
American Musical Theatre Academy ,28 Wallis Road,,,Hackney,https://theamta.com/gb/,10008349004,E09000012,Hackney Wick,E05009374,51.54417299,-0.024787004,537065.0119,184657.0024
Anatomie Studio,Unit 113 ,Arch 17 Station Passage ,Peckham,Southwark,https://anatomiestudio.com/hire-us/,See notes,E09000028,Nunhead & Queen's Road,E05011108,51.47487,-0.05658,535065.3137,176891.4157
Arcola Theatre,24 Ashwin Street,,,Hackney,http://www.arcolatheatre.com,10008321023,E09000012,Dalston,E05009370,51.54691315,-0.074947347,533579.0089,184869.0052
