name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Fashionworks London,7th Floor,45 Moorfields,,City of London,http://www.fashionworkslondon.com/,95506390,E09000001,Coleman Street,E05009299,51.51878063,-0.089006032,532686.0119,181715.0003
Tower Garments London Ltd,Unit J,17 Queensway,,Enfield,http://www.towergarmentslondon.co.uk/,207182707,E09000010,Ponders End,E05013689,51.64717971,-0.049324679,535058.0038,196065.9964
Angelina Studio Ltd,25-27  Passey Place,,,Greenwich,http://www.angelinastudio.co.uk/,10010244019,E09000011,Eltham Town & Avery Hill,E05014079,51.45012476,0.054365767,542846.9208,174350.1121
Blackhorse Atelier,114b Blackhorse Lane,,,Waltham Forest,https://blackhorselane.com,10091183452,E09000031,Higham Hill,E05013892,51.5913952,-0.039401366,535911.0134,189881.0026
Dolana of London Ltd,Unit 3,17  Argall Avenue,,Waltham Forest,,1002442285,E09000031,Lea Bridge,E05013895,51.57062316,-0.04159311,535821.0114,187567.0027
Orhan London Tailoring,25a Pitfield Street,,,Hackney,http://www.orhanlondontailoring.com/,10008300535,E09000012,Hoxton West,E05009378,51.52711372,-0.083856163,533019.012,182651.0019
Phil Garment Design,158 Old Kent Road,,,Southwark,,2.00003E+11,E09000028,North Walworth,E05011107,51.49104806,-0.081912157,533259.0121,178644.0026
Fashion Cube Ltd,Unit 6,41 West Road,,Haringey,http://www.fashioncubelondon.co.uk/,10022938315,E09000014,Northumberland Park,E05013596,51.60726319,-0.058648435,534531.0122,191610.0018
The Whitechapel Workhouse,2nd Floor,132 Whitechapel Road ,,Tower Hamlets,http://www.thewhitechapelworkhouse.com/,6011677,E09000030,Whitechapel,E05009336,51.51805272,-0.063293591,534471.982,181680.9938
Forma Leather,Perseverance Works,38 Kingsland Road,,Hackney,http://www.formaleather.co.uk/,10008243998,E09000012,Hoxton East & Shoreditch,E05009377,51.52812065,-0.077801903,533436.0124,182773.9995
Fashion Enter Ltd,Unit 14,167 Hermitage Road,,Haringey,http://www.fashion-enter.com,1.00021E+11,E09000014,Hermitage & Gardens,E05013591,51.57703655,-0.091326582,532356.0124,188189.0021
Richmond Wear,10-12 Ratcliffe Cross Street (2nd floor),,,Tower Hamlets,http://www.richmondwear.co.uk/,6027696,E09000030,Shadwell,E05009332,51.51268258,-0.043156502,535885.0121,181121.0041
CMT London,Unit 10,100 The Highway,,Tower Hamlets,http://www.cutmaketrimlondon.co.uk/,6010968,E09000030,St Katharine's & Wapping,E05009330,51.50914069,-0.061639357,534613.0118,180693.0038
Fabrications,7 Broadway Market,,,Hackney,https://fabrications1.co.uk,1.00024E+11,E09000012,Haggerston,E05009375,51.53593188,-0.06231762,534487.0077,183671.0086
Crossbow Fashions Ltd,Unit 4 Maryland Industrial Estate,26 Maryland Road,,Newham,http://www.crossbowfashions.co.uk/,46098281,E09000025,Maryland,E05013917,51.5484968,0.0033929,539005.791,185190.942
Rize Designs Ltd,Unit 6B,186 Bridport Road,,Enfield,http://www.rizedesignslondon.com/,207014224,E09000010,Upper Edmonton,E05013694,51.61174999,-0.075529151,533349.0113,192078.0056
Loud Apparel Limited,7 Maun House,1 Dunn Street,,Hackney,http://loud-apparel.com,10008311273,E09000012,Shacklewell,E05009382,51.55121535,-0.073298334,533680.7522,185350.4325
S.A.M Creations ,Knit Shop UK,326 Lee High Road,,Lewisham,http://samcreationsyk.wixsite.com/tailor,10093391177,E09000023,Lee Green,E05013726,51.45855051,0.005513485,539427.0123,175193.0015
London Sewing Services,Unit 3 Neville Place,High Road,,Haringey,http://londonsewingservices.com/,10003975775,E09000014,Woodside,E05013605,51.60133137,-0.112820362,530797.0124,190852.0002
London Pattern Bureau,12a Market Place,,,Southwark,http://www.londonpatternbureau.co.uk,10009791234,E09000028,South Bermondsey,E05011116,51.49266822,-0.063404613,534539.0122,178858.0019
Ince Umbrellas,63 Vyner Street,,,Tower Hamlets,http://www.jamesince.co.uk/,6041714,E09000030,St Peter's,E05009331,51.53498966,-0.054297217,535046.0092,183581.0098
Threads London Limited,130 Manor Way,,,Hillingdon,http://www.threads-london.com/,1.00023E+11,E09000017,Ruislip,E05013577,51.57447039,-0.414279307,509985.0131,187369.008
Classic Cuts,Unit 2B,17 Plumbers Row,,Tower Hamlets,http://theretailplace.co.uk/shopping/23910/classic-cuts,6356102,E09000030,Whitechapel,E05009336,51.51629256,-0.066135818,534279.972,181480.0431
Unlimited Fashion ,Unit A4 Bounds Green Industrial Estate, Ring Way,,Haringey,http://www.unlimitedfashion.co.uk/,No UPRN,E09000014,Bounds Green,E05013586,51.61020511,-0.136340625,529143.017,191797.0016
Rosamanda,Unit D3,15 Tariff Road,,Haringey,https://www.rosamandapleaters.com,10003979472,E09000014,Northumberland Park,E05013596,51.60746347,-0.061513861,534332.0122,191627.0016
Blue I Studio,Thames Innovation Centre,2 Veridon Way,,Bexley,https://www.blue-i-studio.co.uk/contact-us/,10011862856,E09000004,Thamesmead East,E05011232,51.49586325,0.14220427,548801.0101,179611.0048
CreateLab by Nosakhari,230 Morning Lane,,,Hackney,http://createlab.nosakhari.com/,1.00021E+11,E09000012,Homerton,E05009376,51.54547888,-0.046407784,535562.01,184762.0022
