name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
10 Greville Street,10 Greville Street,,,Camden,,5086871,E09000007,Holborn & Covent Garden,E05013662,51.519333,-0.10767518,531389.222,181742.7592
10 St. Cross Street,10 St. Cross Street,,,Camden,,5194308,E09000007,Holborn & Covent Garden,E05013662,51.520577,-0.10786866,531372.2208,181880.7456
11 Hatton Garden,11 Hatton Garden,,,Camden,,5088573,E09000007,Holborn & Covent Garden,E05013662,51.518523,-0.10760788,531396.2213,181652.8075
1-2 Kirby Street,1-2 Kirby Street,,,Camden,,multiple UPRNs,E09000007,Holborn & Covent Garden,E05013662,51.5196,-0.10716,531424.1948,181773.3739
12-13 Greville Street,12-13 Greville Street,,,Camden,,5088195,E09000007,Holborn & Covent Garden,E05013662,51.519295,-0.10751823,531400.2199,181738.8151
12-13 Hatton Garden,12-13 Hatton Garden,,,Camden,,5088651,E09000007,Holborn & Covent Garden,E05013662,51.518632,-0.10767543,531391.2213,181664.8072
14 St. Cross Street,14 St. Cross Street,,,Camden,,5087823,E09000007,Holborn & Covent Garden,E05013662,51.520889,-0.10771157,531382.2212,181915.7219
14-15 Hatton Garden,14-15 Hatton Garden,,,Camden,,5088484,E09000007,Holborn & Covent Garden,E05013662,51.51874,-0.10769977,531389.2219,181676.7732
16 Greville Street,16 Greville Street,,,Camden,,5197855,E09000007,Holborn & Covent Garden,E05013662,51.519361,-0.10716954,531424.2207,181746.7799
17 Greville Street,17 Greville Street,,,Camden,,5055403,E09000007,Holborn & Covent Garden,E05013662,51.519377,-0.10708237,531430.2222,181748.7155
18 Greville Street,18 Greville Street,,,Camden,,5039107,E09000007,Holborn & Covent Garden,E05013662,51.519412,-0.10702326,531434.2222,181752.7135
18 Hatton Garden,18 Hatton Garden,,,Camden,,5088355,E09000007,Holborn & Covent Garden,E05013662,51.518875,-0.10769418,531389.2214,181691.7953
18 St. Cross Street,18 St. Cross Street,,,Camden,,5088439,E09000007,Holborn & Covent Garden,E05013662,51.520923,-0.10811379,531354.22,181918.7813
20-24 Kirby Street,20-24 Kirby Street,,,Camden,,5088632,E09000007,Holborn & Covent Garden,E05013662,51.520667,-0.10733158,531409.2212,181891.7169
20-28 Hatton Wall,20-28 Hatton Wall,,,Camden,,5088443,E09000007,Holborn & Covent Garden,E05013662,51.521479,-0.10969078,531243.2207,181977.7822
22 Hatton Garden,22 Hatton Garden,,,Camden,,multiple UPRNs,E09000007,Holborn & Covent Garden,E05013662,51.51916,-0.10778,531382.4477,181723.3335
24 Hatton Garden,24 Hatton Garden,,,Camden,,5148459,E09000007,Holborn & Covent Garden,E05013662,51.519264,-0.10786542,531376.2224,181734.7452
24 St. Cross Street,24 St. Cross Street,,,Camden,,5166230,E09000007,Holborn & Covent Garden,E05013662,51.520694,-0.10898814,531294.2215,181891.7489
25 Hatton Garden,25 Hatton Garden,,,Camden,,5018677,E09000007,Holborn & Covent Garden,E05013662,51.519309,-0.10786356,531376.222,181739.7525
25A Hatton Garden,25A Hatton Garden,,,Camden,,5088370,E09000007,Holborn & Covent Garden,E05013662,51.519489,-0.10787051,531375.2221,181759.7561
26-27 Hatton Garden,26-27 Hatton Garden,,,Camden,,5088684,E09000007,Holborn & Covent Garden,E05013662,51.51958,-0.10791,531372.2207,181769.8046
28 Greville Street,28 Greville Street,,,Camden,,5088567,E09000007,Holborn & Covent Garden,E05013662,51.519668,-0.10668115,531457.2196,181781.7947
28 Hatton Garden,28 Hatton Garden,,,Camden,,5087278,E09000007,Holborn & Covent Garden,E05013662,51.519652,-0.10795024,531369.2219,181777.7388
31 Hatton Garden,31 Hatton Garden,,,Camden,,5088581,E09000007,Holborn & Covent Garden,E05013662,51.519841,-0.10797122,531367.2228,181798.7181
31-35 Kirby Street,31-35 Kirby Street,,,Camden,,5197860,E09000007,Holborn & Covent Garden,E05013662,51.520276,-0.10762167,531390.2214,181847.7172
31a Hatton Wall,31a Hatton Wall,,,Camden,,5088452,E09000007,Holborn & Covent Garden,E05013662,51.521297,-0.10955417,531253.2208,181957.7885
32-33 Greville Street,32-33 Greville Street,,,Camden,,many UPRNs,E09000007,Holborn & Covent Garden,E05013662,51.51929,-0.10868,531319.6353,181736.1758
32-33 Hatton Garden,32-33 Hatton Garden,,,Camden,,5088673,E09000007,Holborn & Covent Garden,E05013662,51.519957,-0.10789436,531372.2213,181811.7552
