name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Admiral Duncan,54 Old Compton Street,,W1D 4UD,Westminster,http://www.admiral-duncan.co.uk,10033630960,E09000033,West End,E05013808,51.51288458,-0.132298646,529699.2536,180981.8084
Arch Clapham,"Arch 642, Voltaire Rd, London ",,SW4 6DH,Lambeth,,,E09000022,Clapham Town,E05014102,51.46499,-0.13086,529935.0433,175658.4163
Buker Bar (formerly East Bloc),217 City Road,Hoxton,EC1V 1JN,Hackney,http://eastbloc.co.uk,,E09000012,Hoxton West,E05009378,51.52835545,-0.091197444,532506.1916,182775.7623
Central Station (King's Cross),37 Wharfdale Road,,N1 9SD,Islington,,5300097072,E09000019,Caledonian,E05013700,51.53342314,-0.120456823,530462.2181,183286.7446
Circa,62 Frith Street,Soho,W1D 3JN,Westminster,http://www.circasoho.com/biography/,,E09000033,West End,E05013808,51.51432291,-0.132268639,529697.2515,181141.8053
Circa the Club ,Hungerford House,"Victoria Embankment
",WC2N 6PA,Westminster,,,E09000033,West End,E05013808,51.51483395,-0.133849342,529586.1267,181195.8359
CMYK,105-109 Broadway ,,SW19 1QG,Merton,,48112845,E09000024,Abbey,E05013810,51.4193181,-0.201184227,525175.0903,170457.39
Comptons of Soho,51-53 Old Compton Street,,W1D 6HN,Westminster,http://www.faucetinn.com/comptons/about/,,E09000033,West End,E05013808,51.51256542,-0.132585525,529680.2544,180945.8095
Dalston Superstore,117 Kingsland High Street,,E8 2PB,Hackney,http://dalstonsuperstore.com/,,E09000012,Dalston,E05009370,51.54946642,-0.075573014,533528.1648,185151.7912
Dome London,2A Dartmouth Park Hill,,NW5 1HL,Islington,,,E09000019,Junction,E05013707,51.56000894,-0.13847,529137.6593,186211.195
Duke of Wellington,77 Wardour Street,,W1D 6QA,Westminster,,,E09000033,West End,E05013808,51.51230637,-0.133259059,529634.2556,180915.8107
Eagle London,349 Kennington Lane,,SE11 5QY,Lambeth,,,E09000022,Vauxhall,E05014117,51.48620351,-0.119345654,530674.2661,178037.8648
Fire (including Lightbox and Protocol),39 (34-41) Parry Street; South Lambeth Road,Vauxhall; Vauxhall,SW8 1RT,Lambeth,http://firelondon.seetickets.com/promoter/circuit-clubbing/12825,,E09000022,Vauxhall,E05014117,51.48471939,-0.123814056,530368.2705,177864.87
Freedom,60-66 Wardour Street,Soho,W1F 0TA,Westminster,http://freedombarsoho.com/,,E09000033,West End,E05013808,51.51332916,-0.134985562,529511.5593,181026.4921
G-A-Y Bar,30 Old Compton Street,,W1D 4UR,Westminster,,,E09000033,West End,E05013808,51.51352179,-0.131090787,529781.2514,181054.8061
G-A-Y Late,5 Goslett Yard,,WC2H 0EA,Westminster,http://www.g-a-y.co.uk,10033624704,E09000033,West End,E05013808,51.51514631,-0.130894581,529790.2488,181235.8021
Gays the Word,66 Marchmont Street,,WC1N 1AB,Camden,http://www.gaystheword.co.uk,5069460,E09000007,Bloomsbury,E05013653,51.52608614,-0.126710655,530049.3826,182459.7427
"Glory, The ",281 Kingsland Road,,E2 8AS,Hackney,http://www.theglory.co,,E09000012,Hoxton East & Shoreditch,E05009377,51.53584125,-0.077128283,533460.1583,183633.7828
Halfway to Heaven,7 Duncannon Street,,WC2N 4JF,Westminster,,,E09000033,St James's,E05013806,51.50847428,-0.126412169,530120.2535,180501.8178
Heaven,11 The Arches,Villiers Street,WC2N 6NG,Westminster,,10033544602,E09000033,St James's,E05013806,51.50808696,-0.124122388,530280.2516,180462.8171
Karaoke Hole ,95 Kingsland High St,,E8 2PB,Hackney,,,E09000012,Dalston,E05009370,51.54937787,-0.075470621,533535.5226,185142.1313
King WIlliam IV,77 Hampstead High Street,,NW3 1RE,Camden,,5162725,E09000007,Hampstead Town,E05013659,51.55547212,-0.176254168,526531.2544,185640.7254
