name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Wembley Library,,,,Brent,,,E09000005,Wembley Park,E05013516,51.55840914,-0.27988313,519339.8475,185793.3494
Kilburn,,,,Brent,,202046410,E09000005,Queens Park,E05013507,51.53460692,-0.203802273,524678.5649,183273.2007
Bradmore Green,,,,Croydon,,2.00E+11,E09000008,Old Coulsdon,E05011474,51.30703271,-0.12240494,530972.108,158108.6541
Biggin Hill Memorial Library and Pool,,,,Bromley,,10070007971,E09000006,Biggin Hill,E05013989,51.31170065,0.036318182,542020.3836,158922.5458
Coulsdon,,,,Croydon,,1.00E+11,E09000008,Coulsdon Town,E05011466,51.31947203,-0.13709679,529913.0368,159465.8282
Purley,,,,Croydon,,2.00E+11,E09000008,Purley & Woodcote,E05011476,51.33861472,-0.117094012,531252.2061,161629.9606
Sanderstead,,,,Croydon,,2.00E+11,E09000008,Sanderstead,E05011478,51.34028969,-0.083955297,533555.4595,161875.9689
New Addington,,,,Croydon,,1.00E+11,E09000008,New Addington South,E05011471,51.34039632,-0.014765878,538374.0064,162015.8852
Selsdon,,,,Croydon,,10014054952,E09000008,Selsdon Vale & Forestdale,E05011481,51.34193161,-0.060767012,535165.6722,162100.9893
Library @ the Phoenix Centre,,,,Sutton,,5870113095,E09000029,South Beddington & Roundshaw,E05013763,51.35268985,-0.131684671,530196.1143,163169.1442
Wallington Library,,,,Sutton,,5870076858,E09000029,Wallington South,E05013771,51.35732129,-0.149222392,528961.9692,163653.2348
Cheam Library,,,,Sutton,,5870018019,E09000029,Cheam,E05013758,51.35957626,-0.215126355,524367.4118,163790.2777
Sutton Central Library,,,,Sutton,,5870113864,E09000029,Sutton Central,E05013765,51.36154844,-0.193586833,525861.5924,164046.3156
Hook and Chessington Library,,,,Kingston upon Thames,,10091803267,E09000021,Hook & Chessington North,E05013935,51.36739709,-0.30447708,518126.7495,164512.4416
Library @ Westcroft Centre,,,,Sutton,,5870122731,E09000029,Wallington North,E05013770,51.36742881,-0.156544791,528423.9084,164764.3509
Croydon central library,,,,Croydon,,1.00E+11,E09000008,Fairfield,E05011468,51.37138431,-0.097931813,532492.4014,165308.3352
