name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
John Hinds Framing,Studio 10,3-5 Latona Road,,Southwark,http://www.johnhindsframing.com,10091666155,E09000028,Old Kent Road,E05011109,51.48143469,-0.069517234,534147.6495,177597.6235
Paye Stonework and Restoration Ltd,Stationmasters House,Mottingham Station Approach ,,Greenwich,https://paye.net/portfolio/,10010196896,E09000011,"Mottingham, Coldharbour & New Eltham",E05014086,51.43933094,0.051949385,542712.6581,173145.1384
Matter SFX,20B Rigg Approach,,,Waltham Forest,http://www.mattersfx.com/,1.00023E+11,E09000031,Lea Bridge,E05013895,51.56686882,-0.037759488,536097.8498,187156.629
AB Fine Art Foundry,1 Fawe Street,,,Tower Hamlets,https://www.abfineart.com,6068859,E09000030,Lansbury,E05009325,51.51712858,-0.013976255,537896.261,181669.9197
J.D. McDougall Ltd,4 McGrath Road,,,Newham,http://www.mcdougall.co.uk/,46255499,E09000025,Forest Gate South,E05013912,51.54601463,0.014122057,539757.2738,184935.3662
Capital Models Limited,"Studio 8, The Hangar","Perseverance Works,",38 Kingsland Road,Tower Hamlets,https://www.capitalmodels.co.uk,10008244014,E09000030,Weavers,E05009335,51.5276102,-0.076215457,533547.5442,182720.1316
Studio Meno Ltd,Napier Works,Napier Road,,Newham,https://www.studiomeno.com,10008994852,E09000025,Wall End,E05013926,51.53024383,0.063548175,543233.7199,183277.2401
Kemp London ,32 Shackwell Lane,,,Hackney,http://www.kemplondon.com/,1.00023E+11,E09000012,Dalston,E05009370,51.55035077,-0.071029366,533840.5886,185258.4414
James Hoyle and Son,48-50 Andrews Road,Cambridge Heath,,Tower Hamlets,http://www.jameshoyleandson.co.uk,10008299117,E09000030,St Peter's,E05009331,51.53382424,-0.056543454,534893.6745,183447.2646
The Holmes Wood Consultancy Limited,1 Monkwell Square,,,City of London,http://www.holmes-wood.com,2E+11,E09000001,Bassishaw,E05009290,51.51767422,-0.092970856,532414.155,181584.786
DeGross Design & Innovation,Office 17,"11th Floor, Wembley Point",1 Harrow Road,Brent,https://www.degross.co.uk,202206446,E09000005,Stonebridge,E05013510,51.54410801,-0.272328803,519901.0563,184215.3507
Maison Henry Bertrand,13-15 Station Road,,,Barnet,https://www.maisonhenrybertrand.com,10093298811,E09000003,Finchley Church End,E05013639,51.59999267,-0.191458643,525354.7724,190565.4045
Furnells,Unit 5 Crusader Industrial Estate,167 Hermitage Road,,Haringey,https://www.furnells.com,10003976593,E09000014,Hermitage & Gardens,E05013591,51.57622742,-0.089852527,532460.498,188101.6938
Machine Shop Special Effects,180 Acton Lane,,,Ealing,http://www.machineshop.co.uk/contact/,202136775,E09000009,North Acton,E05013527,51.5335341,-0.259707946,520804.1635,183060.2269
PSB Vision ,4-6 Canfield Place,,,Camden,http://www.psbvision.com/lighting,5083630,E09000007,South Hampstead,E05013670,51.54644504,-0.179478325,526332.7363,184631.319
