name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Adam Dawe Design Limited,33 St Charles Square,,,Kensington and Chelsea,http://www.adamdawedesign.co.uk,217080087,E09000020,St. Helen's,E05009404,51.51942594,-0.212631056,524107.5188,181570.0444
Angels Costumes,1 Garrick Road,,,Barnet,https://angels.uk.com/,200046869,E09000003,West Hendon,E05013649,51.58106059,-0.239865614,522053.0234,188378.1956
Applied Arts ,22-27 The Oval,,,Tower Hamlets,http://appliedarts.co.uk/,6024289,E09000030,St Peter's,E05009331,51.53243495,-0.057914861,534802.6667,183290.2406
Robert Allsopp,4 Woodside Ave,,,Croydon,www.raprops.com,1.00023E+11,E09000008,Woodside,E05011489,51.39088895,-0.064806899,534740.6619,167537.6226
Arch Model Studio,Unit 9 Hamlet Industrial Centre,White Post Lane ,,Tower Hamlets,https://www.sculpt-double.co.uk/projects/?tag=Arch+Model+Studio,6077534,E09000030,Bow East,E05009319,51.5417231,-0.020709331,537355.1201,184392.2064
Art House Hire,7 Morris House,Swainson Road,,Ealing,http://www.arthousehire.com,12157848,E09000009,Southfield,E05013540,51.50466127,-0.247362944,521737.2839,179869.9108
Backgrounds Prop Hire,40 Brewery Road,,,Islington,https://www.backgroundsprophire.co.uk,10090549981,E09000019,Caledonian,E05013700,51.5448607,-0.119524048,530494.2036,184560.2752
Beat about the Bush,Unit 23  Enterprise Way,,,Hammersmith and Fulham,https://www.beataboutthebush.com,34021541,E09000013,College Park & Old Oak,E05013736,51.5284595,-0.240263545,522166.2974,182528.1476
China & Co Props Hire ,32 Acton Park,Industrial Estate,The Vale,Ealing,http://chinaandco.com,12140803,E09000009,Southfield,E05013540,51.5052314,-0.257255912,521049.2077,179916.9235
Classic Prop Hire,"The Vale, Acton",11-12  Trident Way,,Ealing,http://classicprophire.com,12021676,E09000009,Southall Green,E05013538,51.49941325,-0.399897927,511164.1338,179043.9042
CosProp,469/475 Holloway Road,,,Islington,http://www.cosprop.com,5300048478,E09000019,Tufnell Park,E05013713,51.55979127,-0.122414267,530251.1729,186215.4336
English Touring Theatre,25 Short Street,,,Southwark,https://www.ett.org.uk,2.00003E+11,E09000028,Borough & Bankside,E05011095,51.50235476,-0.105408723,531595.3565,179858.8406
Europa International ,Europa House, Meaford Way,,Bromley,http://www.europainternational.com,1.00023E+11,E09000006,Penge & Cator,E05014002,51.41443104,-0.06077792,534951.6897,170162.9374
Farley Prop Hire,1-21  Brunel Road,,,Hammersmith and Fulham,https://www.farley.co.uk,12139149,E09000013,College Park & Old Oak,E05013736,51.51900491,-0.250315243,521494.2453,181460.0638
FBFX Limited,Unit 4 Vector Park, Forest Road,,Hounslow,https://www.fbfx.co.uk,10091689757,E09000018,Hanworth Park,E05013615,51.44030077,-0.400484116,511266.9641,172469.3866
Film Medical,5-7  Commercial Way,,,Brent,http://filmmedical.co.uk,202108303,E09000005,Stonebridge,E05013510,51.53212128,-0.269985321,520095.0864,182886.219
Flux Metal,25 Hatcham Road,,,Southwark,http://fluxmetal.co.uk/,10013524422,E09000028,Old Kent Road,E05011109,51.48186015,-0.053366686,535267.7828,177674.6446
Fox Umbrellas Limited,240A Wickham Road,,,Croydon,https://www.foxumbrellas.com,1.00023E+11,E09000008,Shirley South,E05011483,51.37404183,-0.045744127,536116.7956,165699.4411
Foxtrot Costume and Props Ltd,3B  Brassie Avenue,,,Hammersmith and Fulham,https://www.foxtrotcostumeandprops.co.uk/,12150243,E09000013,College Park & Old Oak,E05013736,51.51502319,-0.248666068,521619.2627,181020.0212
Granger Hertzog,Unit 8 Central Park,Central Way,,Ealing,https://www.grangerhertzog.com/,202209337,E09000009,North Acton,E05013527,51.53098665,-0.263799236,520527.1346,182770.2031
Ince Umbrellas,63 Vyner Street,,,Tower Hamlets,http://www.jamesince.co.uk/,6041714,E09000030,St Peter's,E05009331,51.53448012,-0.052708443,535157.7018,183527.2792
Industrial Lights,The Waterside Trading Centre,90-95 Trumpers Way,,Ealing,http://www.industriallights.co.uk,12142952,E09000009,Hanwell Broadway,E05013525,51.5010213,-0.340243538,515300.5698,179314.9358
Maison Henry Bertrand,13-15  Station Road,,,Barnet,https://www.maisonhenrybertrand.com,10093298811,E09000003,Finchley Church End,E05013639,51.59999267,-0.191458643,525354.7724,190565.4045
Matter SFX,20B Rigg Approach,,,Waltham Forest,http://www.mattersfx.com/,10093559300,E09000031,Lea Bridge,E05013895,51.56686882,-0.037759488,536097.8498,187156.629
