name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Matter ,Studio 1Unit 13,Elizabeth Industrial Estate,Juno Way,Lewisham,http://mttr.uk/,10093394512,E09000023,New Cross Gate,E05013728,51.48219844,-0.042894815,535993.8641,177731.6573
White Light Ltd,20 Merton Industrial Park,Jubilee Way,,Merton,https://www.whitelight.ltd.uk,48101205,E09000024,Abbey,E05013810,51.41079639,-0.186377363,526228.0378,169535.1391
Aldworth James & Bond,"Unit 305, 34-37, Parkside Business Estate",Rolt St,,Lewisham,https://aldworthjamesandbond.co.uk/contact,1.00022E+11,E09000023,Deptford,E05013719,51.48263867,-0.035875438,536479.9172,177793.67
Block 9 ,The Silver Building,60 Dock Road,,Newham,https://www.block9.com,10008985422,E09000025,Royal Victoria,E05013923,51.5042494,0.01873578,540205.3362,180299.9298
Exib,Unit 1,Fourth Way,,Brent,http://www.exib.co.uk,202096971,E09000005,Wembley Park,E05013516,51.55916233,-0.270459745,519991.0679,185892.513
Flints Theatrical Chandlers,Unit 9 Deptford Trading Estate,Blackhorse Road,,Lewisham,https://www.flints.co.uk/,1.00023E+11,E09000023,Evelyn,E05013721,51.48388144,-0.038659768,536282.8938,177926.6785
Flux Metal,25 Hatcham Road,,,Southwark,http://fluxmetal.co.uk/,10013524422,E09000028,Old Kent Road,E05011109,51.48186015,-0.053366686,535267.7828,177674.6446
Helix 3D Ltd,The Old Turbine Factory,138-140  Nathan Way,,Greenwich,https://helix3d.co.uk/,1.00023E+11,E09000011,Plumstead & Glyndon,E05014087,51.49446801,0.101439427,545976.0114,179373.8346
TAIT,"Unit 9, Falcon Park",Neasden Lane,,Brent,http://www.taittowers.com,202009207,E09000005,Dollis Hill,E05013500,51.55390806,-0.247288163,521611.2118,185346.4184
J.D. McDougall Ltd,4 McGrath Road,,,Newham,http://www.mcdougall.co.uk/,46255499,E09000025,Forest Gate South,E05013912,51.54601463,0.014122057,539757.2738,184935.3662
James Glancy Design,16-28 Penarth Street,,,Southwark,https://www.jamesglancydesign.com/,10096038264,E09000028,Old Kent Road,E05011109,51.48281328,-0.053354899,535265.7819,177780.6535
Kemp London ,32 Shackwell Lane,,,Hackney,http://www.kemplondon.com/,1.00023E+11,E09000012,Dalston,E05009370,51.55035077,-0.071029366,533840.5886,185258.4414
London Atelier,Studio 7,160 Barlby Road,,Kensington and Chelsea,http://www.londonatelier.com/,217120729,E09000020,Dalgarno,E05009394,51.52308058,-0.215594042,523892.0407,181971.4325
Manktelow Limited,"Unit 7, 1a Saxon Road",,,Haringey,http://www.manktelow.co.uk,1.00023E+11,E09000014,White Hart Lane,E05013604,51.60039219,-0.095337191,532010.4892,190778.9941
Meta Props,Unit 20 Kingsgate Workshops,110 Kingsgate Road,,Camden,http://www.metaprops.co.uk/,5087816,E09000007,Kilburn,E05013665,51.54384676,-0.195245893,525246.6178,184315.2958
RDW Scenery ,Unit A Genesis Business Park,Rainsford Road,,Brent,https://www.scenery-construction.com/,202191752,E09000005,Stonebridge,E05013510,51.53317767,-0.276376544,519649.036,182993.2369
Rigging Services,3 Mills Studios,Three Mill Lane,,Newham,https://riggingservices.co.uk,10009018097,E09000025,Stratford,E05013924,51.52633408,-0.004683048,538513.0877,182711.1065
S2 Events,141-143  Nathan Way,,,Greenwich,http://s2events.co.uk,1.00023E+11,E09000011,West Thamesmead,E05014091,51.49559596,0.101231958,545958.0074,179498.8506
Scenic Sets,Stadium Business Center ,Unit 45 North End Road,,Brent,http://www.scenicsets.com,202001588,E09000005,Wembley Park,E05013516,51.56019152,-0.270117696,520012.0685,186007.5257
Setbuild Limited,Unit 4D Triumph Trading Estate,Tariff Road,,Haringey,http://www.setbuilduk.com,1.00023E+11,E09000014,Northumberland Park,E05013596,51.6062537,-0.057885594,534586.8159,191499.1476
Sets Appeal Limited,New River Studios,199 Eade Road,,Hackney,http://www.setsappeal.co.uk/about/,10022945372,E09000012,Woodberry Down,E05009387,51.57444685,-0.086549795,532694.5248,187909.6781
Setwo Ltd,Unit 48  T Marchant Trading Estate, Verney Road,,Southwark,https://www.setwo.co.uk/,10000813689,E09000028,Old Kent Road,E05011109,51.48441856,-0.056873345,535016.7524,177952.666
Simon Morris Associates Limited (SMA),Ravensquay Business Centre  Cray Avenue,,,Bromley,http://www.madesignstudios.com,1.00024E+11,E09000006,St Mary Cray,E05014006,51.38806247,0.110345208,546935.1458,167559.4864
Stockyard Backdrops,Unit A Genesis Business Park,Rainsford Road,,Brent,https://www.prophire-backdrophire.com,202191752,E09000005,Stonebridge,E05013510,51.53317767,-0.276376544,519649.036,182993.2369
Studio Meno Ltd,Napier Works,Napier Road,,Newham,https://www.studiomeno.com,10008994852,E09000025,Wall End,E05013926,51.53024383,0.063548175,543233.7199,183277.2401
The Holmes Wood Consultancy Limited,1 Monkwell Square,,,City of London,http://www.holmes-wood.com,2E+11,E09000001,Bassishaw,E05009290,51.51767422,-0.092970856,532414.155,181584.786
Trinity HQ,"Unit A, Barton Buildings",Arundel Road,Uxbridge Industria,Hillingdon,https://trinityset.co.uk,10009948118,E09000017,Uxbridge,E05013580,51.53591265,-0.489979319,504827.8304,182970.0114
Visual Impact Creative Limited,St John’s Foundry,12 St John’s Road,Hampton Wick,Richmond upon Thames,http://www.visual-impact.co.uk,10070721240,E09000027,Hampton Wick & South Teddington,E05013780,51.41207787,-0.310763104,517574.8226,169470.8771
The Whitewall Company,The Old Cannon Factory,10A Europa Estate Fraser Road,,Bexley,http://thewhitewall.co.uk,1.00024E+11,E09000004,Erith,E05011225,51.48254702,0.172223312,550928.6596,178191.6915
Adam Dawe Design Limited,33 St Charles Square,,,Kensington and Chelsea,http://www.adamdawedesign.co.uk,217080087,E09000020,St. Helen's,E05009404,51.51942594,-0.212631056,524107.5188,181570.0444
Diagon,12 Viking Way,Erith,,Bexley,http://www.diagonltd.com,10011847610,E09000004,Erith,E05011225,51.491845,0.16752912,550572.0736,179215.9232
Illusion Design & Construct,Unit 8A Fisher's Way,Belvedere,,Bexley,N/A,10094789120,E09000004,Belvedere,E05011218,51.500702,0.1661051,550444.0278,180197.8503
Other Fabrications Ltd,"Studio 5, 19 Warburton Road",London,,Hackney,https://otherfabrications.com/,No UPRN,E09000012,London Fields,E05009381,51.53839,-0.05779,534793.7376,183952.6973
Pendragon Fine Art Frames Ltd,Unit 10 Rangemoor Industrial Estate,Rangemoor Road,Seven Sisters,Haringey,1.00E+11,No UPRN,E09000014,South Tottenham,E05013599,51.5821,-0.06882,533900.6159,188793.0673
Metro production Group (MPG),"Rose Court, 2 Southwark Bridge Road",,,Southwark,https://www.metroproductiongroup.com/,2.00003E+11,E09000028,Borough & Bankside,E05011095,51.507433,-0.095271087,532284.2222,180441.8001
Scenic Souvenir Studios ,"Unit 60, T Marchant Estate",46-72 Verney Road,,Southwark,https://www.souvenir.co.uk/,No UPRN,E09000028,Old Kent Road,E05011109,51.48576,-0.05959,534824.182,178096.8276
Footprint Scenery,"Unit 9, Klinger Industrial Park",10 Edgington Way,Sidcup,Bromley,http://footprintscenery.co.uk,No UPRN,E09000006,St Paul's Cray,E05014007,51.41348,0.1242,547817.204,170413.7648
Keam George Agency,"Unit 125, Westbourne Studios",242 Acklam Rd,,Kensington and Chelsea,https://www.kgagency.co.uk/,See notes,E09000020,Golborne,E05009396,51.52143,-0.20312,524761.8885,181809.0584
Made CNC,"Unit 12, Leyton Studios",15 Argall Ave,,Waltham Forest,www.madecnc.co.uk,10024421357,E09000031,Lea Bridge,E05013895,51.570217,-0.041117679,535855.1646,187522.7186
Firecracker Works,The Old Aircraft Hangar,Wimbledon West Goods Yard,Dundonald Rd,Merton,https://www.firecrackerworks.co.uk/,No UPRN,E09000024,Wimbledon Town & Dundonald,E05013829,51.41862,-0.20922,524618.2719,170366.078
Supersets Ltd,The Depot,Thomas Lane,,Lewisham,https://supersets.co.uk/,2.00001E+11,E09000023,Rushey Green,E05013730,51.445521,-0.022613199,537512.2103,173691.0258
Scott Fleary Productions,"Units 1-4, Block A, Vale Industrial Park",170 Rowan Road,,Merton,https://www.scottfleary.com/,48117792,E09000024,Longthornton,E05013818,51.409765,-0.14123467,529370.1998,169499.0527
Scruffy Dog Creative Group,"Unit 5, Bow Enterprise Park",Fittleton Gardens,,Tower Hamlets,www.scruffydogltd.com,No UPRN,E09000030,Bromley South,E05009322,51.52078,-0.01685,537685.8745,182070.549
Standbuilder,11-15A Lyon Road,London,,Merton,http://standbuilder.co.uk/en/,48046262,E09000024,Abbey,E05013810,51.412247,-0.18604332,526247.2756,169697.0225
Cloud and Horse ,Unit 1 Delta Wharf,271-287 Tunnel Avenue,,Greenwich,https://www.cloudandhorse.co.uk/,1.00024E+11,E09000011,Greenwich Peninsula,E05014082,51.49942,0.000379869,538946.1487,179727.9215
Cutting Edge,"Unit 1, Beeby Road",,,Newham,http://cuttingedge.uk.net/,10008984020,E09000025,Custom House,E05013908,51.517041,0.024199117,540545.1095,181732.8067
Little Parrot Set Construction ,12 Imperial Way,,,Croydon,https://littleparrot.co.uk/,1.00023E+11,E09000008,Waddon,E05011487,51.358903,-0.11988179,531000.234,163881.0196
The London Display Co Ltd,20 St Thomas St,,,Southwark,https://www.thelondondisplay.com/,No UPRN,E09000028,London Bridge & West Bermondsey,E05011104,51.50474,-0.08847,532764.0005,180154.6414
Skyline Whitespace Exhibition Stands and Events,320 Western Road,,,Merton,https://www.skylinewhitespace.com/,48085938,E09000024,Lavender Fields,E05013817,51.412638,-0.17647933,526911.2591,169757.0012
Croga Studio,373 Kennington Rd,,,Lambeth,https://www.crogastudiobuilds.com/,10000445110,E09000022,Kennington,E05014105,51.486524,-0.11079108,531267.2571,178088.7932
DRS Construction,65 NORTH ACTON ROAD,,,Ealing,http://www.drsconstruction.co.uk/,12183422,E09000009,North Acton,E05013527,51.530534,-0.25961729,520818.3899,182726.7552
Freeform,154 Dukes Road ,London,,Ealing,https://freeform-design.com/,12096644,E09000009,North Acton,E05013527,51.525439,-0.28306401,519205.4201,182121.7667
Shape Design & Build Ltd,Sun Studios,30 Warple Way,,Ealing,https://www.shapedesignbuild.com/,12149827,E09000009,Southfield,E05013540,51.504944,-0.2561256,521128.4115,179886.8314
Big Sky London,29-31 Brewery Road,,,Islington,https://www.bigskylondon.com/,5300011667,E09000019,Caledonian,E05013700,51.544628,-0.1227353,530272.2088,184528.6799
Set Surfaces ,"Unit 37, Townmead Business Centre",William Morris Way,,Hammersmith and Fulham,https://setsurfaces.co.uk,34116523,E09000013,Sands End,E05013747,51.468443,-0.18552883,526128.308,175946.9079
Metropolis Construction (/Flash Film Transport),Uxbridge Industrial Estate,54 Wallingford Road,Uxbridge,Hillingdon,https://www.flashfilmtransport.com/set-construction,No UPRN,E09000017,Uxbridge,E05013580,51.53591,-0.48859,504924.1907,182971.7062
Rule One Productions,"Unit 4, Enterprise Park",10 Argall Way,,Waltham Forest,https://www.ruleoneproductions.com/,1.00023E+11,E09000031,Lea Bridge,E05013895,51.567974,-0.035485584,536252.1339,187283.7537
Silver Building (Projekt),"60 Dock road, London E16 1YZ",,,Newham,http://thesilverbuilding.com,10008985422,E09000025,Royal Victoria,E05013923,51.504762,0.017112899,540091.1371,180353.824
Bloomsbury Studio,"15 Gordon street, London WC1H 0AH",,,Camden,https://www.ucl.ac.uk/culture/bloomsbury-theatre-studio,5007085,E09000007,Bloomsbury,E05013653,51.525068,-0.13278042,529631.2384,182335.7648
Craft Central,397-411 Westferry Road London E14 3AE,,,Tower Hamlets,https://www.craftcentral.org.uk,6653025,E09000030,Island Gardens,E05009324,51.48879,-0.01918591,537620.1695,178508.9308
