name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Troubadour Wembley Park Theatre,3 Fulton Road,Wembley Park,Wembley,Brent,https://www.troubadourtheatres.com/wembley-park,202228835,E09000005,Wembley Park,E05013516,51.56085054,-0.281788454,519201.3997,186061.7409
"Assembly Rooms, Surbiton",138 Maple Road, Surbiton,,Kingston upon Thames,NA,128012933,E09000021,St Mark's & Seething Wells,E05013943,51.39623937,-0.308425963,517777.9526,167713.3855
George Wood Theatre ,Goldsmith's College, University of London,,Lewisham,NA,1.00023E+11,E09000023,Deptford,E05013719,51.47568861,-0.037712479,536373.0967,177017.4099
Piccadilly Theatre,16 Denman St, Soho,,Westminster,https://www.piccadillytheatre.org/,1.00023E+11,E09000033,West End,E05013808,51.51156529,-0.136980332,529378.1477,180826.8227
Bacon's College Theatre,Timber Pond Road, Rotherhithe,,Southwark,NA,2.00003E+11,E09000028,Rotherhithe,E05011112,51.50287556,-0.043862524,535865.1904,180029.1413
Courtyard Theatre,40 Pitfield Street,,,Hackney,NA,10091002509,E09000012,Hoxton West,E05009378,51.52838974,-0.084962889,532938.5301,182790.8857
Dugdale Arts Centre,39 London Road, Enfield,,Enfield,https://www.dugdalecentre.co.uk/,207007119,E09000010,Grange Park,E05013681,51.65033225,-0.082311783,532766.6772,196356.1164
Bloomsbury Theatre,15 Gordon St, Bloomsbury,,Camden,https://www.thebloomsbury.com/,5007085,E09000007,Bloomsbury,E05013653,51.52583301,-0.134581862,529504.1073,182417.648
Etcetera Theatre,265 Camden High St,,,Camden,http://www.etceteratheatre.com/,5007472,E09000007,Camden Town,E05013655,51.54065446,-0.145554108,528701.2098,184046.4691
KOKO,1A Camden High St, Kings Cross,,Camden,http://www.koko.uk.com/,5023741,E09000007,Regent's Park,E05013668,51.53549102,-0.140876459,529040.1732,183480.5193
Phoenix Theatre,110 Charing Cross Road,,,Westminster,NA,5037592,E09000033,West End,E05013808,51.51517556,-0.131318258,529760.77,181238.3041
Shaftesbury Theatre,210 Shaftesbury Ave,,,Camden,http://www.shaftesburytheatre.com/,5038488,E09000007,Holborn & Covent Garden,E05013662,51.51678597,-0.127702349,530007.0661,181423.7951
Conway Hall,25 Red Lion Square,,,Camden,https://conwayhall.org.uk/,5048256,E09000007,Holborn & Covent Garden,E05013662,51.52030279,-0.1199192,530537.0083,181828.7104
Theatro Technis,26 Crowndale Rd, Kings Cross,,Camden,http://www.theatrotechnis.com/,5061419,E09000007,St Pancras & Somers Town,E05013669,51.53604907,-0.135763985,529393.1501,183551.5953
Lion and Unicorn Theatre,42-44 Gaisford St, Kentish Town,,Camden,http://www.lionandunicorntheatre.co.uk/,5082943,E09000007,Kentish Town South,E05013664,51.54861882,-0.141422724,528965.1854,184939.3854
Dominion Theatre,268-269 Tottenham Court Rd, Fitzrovia,,Camden,https://www.nederlander.co.uk/dominion-theatre,5083050,E09000007,Bloomsbury,E05013653,51.51747184,-0.131248013,529759.1197,181493.7774
Shaw Theatre,100-110 Euston Rd, Kings Cross,,Camden,https://www.shaw-theatre.com/,5083194,E09000007,St Pancras & Somers Town,E05013669,51.5291548,-0.129717428,529832.0893,182795.646
Embassy Theatre,The Royal Central School of Speech and Drama, 62-64 Eton Ave,,Camden,https://www.cssd.ac.uk/content/facilities,5084778,E09000007,Belsize,E05013652,51.5448335,-0.175782191,526593.4801,184458.4956
Cambridge Theatre,31 Earlham Street,,,Camden,http://www.reallyusefultheatres.co.uk/our-theatres/cambridge,5089373,E09000007,Holborn & Covent Garden,E05013662,51.51402122,-0.127988264,529995.098,181115.8447
Haverstock School Theatre ,Haverstock School, 24 Haverstock Hill,,Camden,NA,5090679,E09000007,Haverstock,E05013660,51.54480979,-0.155023519,528032.9049,184491.9494
St Martin's Theatre,West St,,,Westminster,https://www.the-mousetrap.co.uk/,5090739,E09000033,West End,E05013808,51.51335016,-0.129215629,529911.847,181039.0447
Roundhouse,Chalk Farm Rd, Camden Town,,Camden,http://www.roundhouse.org.uk/,5109516,E09000007,Camden Town,E05013655,51.54354905,-0.15289144,528184.2796,184355.4829
Ambassadors Theatre,West St,,,Westminster,https://www.theambassadorstheatre.co.uk/Online/,5110511,E09000033,West End,E05013808,51.51350874,-0.129569398,529886.8498,181056.0516
Lauderdale House,Waterlow Park, Highgate Hill,,Camden,http://lauderdalehouse.org.uk/,5132343,E09000007,Highgate,E05013661,51.57016551,-0.14491124,528662.5437,187329.3089
Hampstead Theatre,Eton Avenue, Swiss Cottage,,Camden,https://www.hampsteadtheatre.com/,5134828,E09000007,Belsize,E05013652,51.54456256,-0.173976362,526719.4446,184431.49
Donmar Warehouse,41 Earlham St,,,Camden,https://www.donmarwarehouse.com/,5147687,E09000007,Holborn & Covent Garden,E05013662,51.51456818,-0.127317341,530040.0921,181177.8581
New Diorama Theatre,15-16 Triton St,Regent's Place,,Camden,http://www.newdiorama.com/,5155688,E09000007,Regent's Park,E05013668,51.52541488,-0.143924929,528857.1935,182354.673
Gillian Lynne Theatre,166 Drury Ln,,,Camden,http://www.reallyusefultheatres.co.uk/our-theatres/new-london,5157611,E09000007,Holborn & Covent Garden,E05013662,51.51594211,-0.12437866,530240.0696,181335.8613
Camden People's Theatre,58-60 Hampstead Rd, Kings Cross,,Camden,https://www.cptheatre.co.uk/,5158137,E09000007,Regent's Park,E05013668,51.52689881,-0.139972353,529127.1745,182526.6492
Pentameters Theatre,The Horseshoe, 28 Heath St,,Camden,http://www.pentameters.co.uk/,5162760,E09000007,Frognal,E05013657,51.5562823,-0.180041195,526266.4914,185724.2822
Upstairs at The Gatehouse,1 North Road,,,Haringey,http://www.upstairsatthegatehouse.com/,5166442,E09000014,Highgate,E05013592,51.57246809,-0.151935655,528169.2899,187573.0462
Platform Theatre,Central Saint Martin's, 1 Handyside St, Kings Cross,Camden,NA,5167112,E09000007,King's Cross,E05013666,51.53743115,-0.125196079,530122.1026,183724.0079
Wiltons Music Hall,1 Graces Alley, Whitechapel,,Tower Hamlets,https://www.wiltons.org.uk/,6006845,E09000030,Whitechapel,E05009336,51.51112423,-0.068550982,534127.5851,180900.8904
Half Moon Young People's Theatre,43 White Horse Road,,,Tower Hamlets,http://www.halfmoon.org.uk/,6044554,E09000030,Stepney Green,E05009334,51.51423921,-0.042220553,535945.3195,181295.8394
The Space,269 Westferry Rd, Isle of Dogs,,Tower Hamlets,https://space.org.uk/,6060149,E09000030,Island Gardens,E05009324,51.49268043,-0.0258169,537148.1586,178929.0964
The Yard Theatre,Unit 2A, Queens Yard,White Post Lane,Tower Hamlets,https://theyardtheatre.co.uk/,6077552,E09000030,Bow East,E05009319,51.54300956,-0.024359022,537098.1818,184528.4282
Chisenhale Dance Space,64-84 Chisenhale Rd,,,Tower Hamlets,http://www.chisenhaledancespace.co.uk/,6146768,E09000030,Bow West,E05009320,51.53413799,-0.04006913,536035.2875,183512.6216
Toynbee Studios,28 Commercial St,,,Tower Hamlets,https://www.artsadmin.co.uk/toynbee-studios,6183707,E09000030,Spitalfields & Banglatown,E05009333,51.51700362,-0.073923593,533737.5761,181544.8517
Rich Mix,35-47 Bethl Green Rd, London,,Tower Hamlets,https://www.richmix.org.uk/,6192962,E09000030,Weavers,E05009335,51.52474282,-0.075412607,533611.6232,182402.7407
Grange Court Theatre ,Drama Studio London, Grange Court,,Ealing,NA,12084359,E09000009,Ealing Common,E05013521,51.50991716,-0.305456884,517692.0466,180359.4903
The Questors Theatre,12 Mattock Ln,,,Ealing,http://www.questors.org.uk/,12084402,E09000009,Walpole,E05013541,51.51221678,-0.31124231,517284.677,180605.9458
