name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Exhibition ,Ariel Way,London,Ariel Way,Hammersmith and Fulham,https://exhibitionlondon.co.uk/,,E09000013,Shepherd's Bush Green,E05013748,51.50976105955226,-0.22287217289802783,523423.1366999997,180477.9838999994
Koko,1a Camden High Street; Camden Town; London NW1 7JE,London,1A Camden High St,Camden,https://www.koko.co.uk/,,E09000007,Regent's Park,E05013668,51.53461699938541,-0.1383379998411256,529218.6936999997,183387.80299999937
Lafayette London,"11 Goods Way, Kings Cross, London N1C 4DP",Kings Cross,11 Goods Way,Camden,What’s On - Lafayette London,,E09000007,King's Cross,E05013666,51.53461299916719,-0.1250759994436424,530138.4643999999,183410.8401999995
OVO Arena Wembley (SSE),Arena Square; Empire Way; Wembley; London HA9 0DH;,Engineers Way ,Arena Square,Brent,OVO Arena Wembley,0,E09000005,Wembley Park,E05013516,51.55817799991644,-0.28272400002839604,519143.5295000002,185763.01850000024
The O2 Arena,"Peninsula Square, SE10 0DX",London,Peninsula Square,Greenwich,The O2 arena | The O2,10010224811,E09000011,Greenwich Peninsula,E05014082,51.50149353935798,0.006379515610751955,539356.2352,179969.8970999997
Wembley Stadium,"South Way, London",,,Brent,Home | Wembley Stadium,0,E09000005,Wembley Park,E05013516,51.55552193914201,-0.2779267594636563,519483.0114000002,185475.47580000013
London Stadium,"Queen Elizabeth Olympic Park, London, E20 2ST",,Queen Elizabeth Ol,Tower Hamlets,www.london-stadium.com,10014035637,E09000030,Bow East,E05009319,51.543295999171455,-0.01655200029220948,537638.6514999997,184574.9143000003
Eventim Apollo,"45 Queen Caroline Street, London, W6 9QH",London,45 Queen Caroline ,Hammersmith and Fulham,Eventim Apollo,34030384,E09000013,Hammersmith Broadway,E05013741,51.49083999950053,-0.22450399955944642,523360.96829999983,178371.17369999923
Deptford Albany,Albany Centre & Theatre Douglas Way,Lewisham,Albany Centre & Th,Lewisham,www.thealbany.org.uk,100000000000,E09000023,Deptford,E05013719,51.47694768919706,-0.02475631771068465,537269.0152000003,177181.62319999933
Rich Mix,35-47 Bethnal Green Road; Bethnal Green; London E1,Tower Hamlets,35-47 Bethnal Gree,Tower Hamlets,www.richmix.org.uk,6150258,E09000030,Weavers,E05009335,51.524230999486484,-0.07381199993535487,533724.1513,182348.75
Iklectik,"20 Carlisle Lane, SE1 7LG London, United Kingdom",Carlisle Lane,The Grey Studio 20,Lambeth,www.iklectikartlab.com,10091119428,E09000022,Waterloo & South Bank,E05014118,51.49845199917116,-0.11654600031524927,530833.5845999997,179404.90399999917
Ripley Arts Center (Bromley Arts Trust),24 Sundridge Avenue Bromley,,24 Sundridge Avenu,Bromley,http://www.bromleyarts.com/ripley-arts-centre/,0,E09000006,Plaistow,E05014004,51.41248262924624,0.02390963942326518,540846.477,170105.46839999966
Harrow Arts Centre,Uxbridge Road Harrow,,Uxbridge Road Harr,Harrow,www.harrowarts.com,200000000000,E09000015,Hatch End,E05013549,51.60799056975133,-0.3622419133234421,513507.35720000044,191176.0479000006
Alexandra Palace,Alexandra Palace Way; Alexandra Palace; London N22,Alexandra Palace Way ,Alexandra Palace,Haringey,www.alexandrapalace.com,10003974918,E09000014,Alexandra Park,E05013585,51.59364199981194,-0.13192100015035152,529496.0778999999,189962.91119999997
Kings Place,"90 York Way, London, N1 9AG",London,90 York Way,Islington,www.kingsplace.co.uk,10091005851,E09000019,Caledonian,E05013700,51.53496599965649,-0.1221450000808025,530340.7297,183455.30629999936
St John's Smith Square,"London, SW1P 3HA",London,Smith Square  ,Westminster,www.sjss.org.uk,0,E09000033,St James's,E05013806,51.4960909993955,-0.1269629996125056,530117.2867999999,179123.8080000002
Purcell Room,"Southbank Centre, Belvedere Rd, London SE1 8XX",London, Belvedere Road,Lambeth,https://www.southbankcentre.co.uk/venues/purcell-room?,0,E09000022,Waterloo & South Bank,E05014118,51.50608099986778,-0.11630400052251579,530828.5371000003,180253.68630000018
Fairfield Halls,"Park Lane, Croydon, CR9 1DG",Croydon,Park Lane,Croydon,Home | Fairfield Halls | Croydon,,E09000008,Fairfield,E05011468,51.37252499964293,-0.09580399943244364,532637.2060000002,165439.02270000055
