name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
The Postal Museum,Discovery Room ,15-20 Phoenix Place ,WC1X 0DA,Barking and Dagenham,https://www.postalmuseum.org/,,E09000002,Barking Riverside,E05014055,51.5248911,0.113840185,546739.0710000005,182781.5968999993,34
Ice House Court,Abby Road,Barking,,Barking and Dagenham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,10090633484,E09000002,Gascoigne,E05014061,51.53148797,0.075993916,544093.0124000004,183440.00329999998,34
DAGENHAM RM10,B Unit 41 Uplands Business Park,,,Barking and Dagenham,https://www.arbeit.org.uk/dagenham,100091341 ,E09000002,Alibon,E05014054,51.549708,0.15663338,549626.1015999997,185627.8041999992,34
River Mills Studios (Bow Arts),Commerical Unit 1,42 Abbey Road,Barking,Barking and Dagenham,https://bowarts.org/studios/riverside-mills-studios,10091589170,E09000002,Gascoigne,E05014061,51.532525,0.075725591,544071.1312999995,183554.79289999977,34
Vue Dagenham,Dagenham Leisure Park,Cook Road,RM9 6UQ,Barking and Dagenham,,10091589789,E09000002,Goresbrook,E05014062,51.532095,0.13575897,548236.0909000002,183626.83469999954,34
Studio 3 Arts,Boundary Road,,,Barking and Dagenham,https://www.studio3arts.org.uk/,100053573,E09000002,Gascoigne,E05014061,51.52997308,0.081920849,544508.8755000001,183283.22629999928,34
Bow Arts,The Ice House Court,Ice House Court,Abbey Road,Barking and Dagenham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,10090632554,E09000002,Gascoigne,E05014061,51.53141037,0.077945661,544228.6234999998,183435.21619999968,34
Studio 3 Arts,Boundary Rd,,,Barking and Dagenham,https://studio3arts.org.uk/,100053573,E09000002,Gascoigne,E05014061,51.530484,0.080289716,544394.1272999998,183336.82310000062,34
Studio 3 Arts ,Boundary Road,,,Barking and Dagenham,https://www.studio3arts.org.uk/ ,100053573 ,E09000002,Gascoigne,E05014061,51.530484,0.080289716,544394.1272999998,183336.82310000062,34
River Mills Studios (Bow Arts),Commerical Unit 1,42 Abbey Road,Barking,Barking and Dagenham,https://bowarts.org/studios/riverside-mills-studios,10091589170,E09000002,Gascoigne,E05014061,51.532525,0.075725591,544071.1312999995,183554.79289999977,34
The Arc Theatre,Kingsley Hall,Parsloes Avenue,Dagenham,Barking and Dagenham,http://www.arctheatre.com,100023868,E09000002,Parsloes,E05014067,51.55107,0.13149,547878.568,185728.2067000009,34
Broadway Theatre, Broadway,Barking,,Barking and Dagenham,http://www.thebroadwaybarking.com/sales,100058301,E09000002,Abbey,E05014053,51.53555,0.07777,544203.3701,183895.19620000012,34
Studio 3 Arts ,Boundary Road,,,Barking and Dagenham,https://www.studio3arts.org.uk/ ,100053573 ,E09000002,Gascoigne,E05014061,51.530484,0.080289716,544394.1272999998,183336.82310000062,34
Studio 3 Arts ,Boundary Road,,,Barking and Dagenham,https://www.studio3arts.org.uk/ ,100053573 ,E09000002,Gascoigne,E05014061,51.530484,0.080289716,544394.1272999998,183336.82310000062,34
IceHouse Court Studios,"Ground Floor, Icehouse Court, Abbey Road, Barking,",,,Barking and Dagenham,https://bowarts.org/studios/icehouse-court-studios,10090632554,E09000002,Gascoigne,E05014061,51.531913,0.076303286,544113.1282000002,183487.8752999995,34
Sew it in London,"Londoneast - UK Business & Technical park, Dagenha",,,Barking and Dagenham,https://www.sewitinlondon.co.uk,100102787,E09000002,Alibon,E05014054,51.546911,0.17031859,550584.0762999998,185344.8429000005,34
Thames View,,,,Barking and Dagenham,,10091588559,E09000002,Thames View,E05014068,51.52735487,0.106154673,546198.0774999997,183040.18290000036,34
Barking,,,,Barking and Dagenham,,100053358,E09000002,Abbey,E05014053,51.5358099,0.081422904,544455.8778999997,183931.29659999907,34
Dagenham,,,,Barking and Dagenham,,10023599312,E09000002,Village,E05014070,51.53986885,0.150073004,549203.432,184520.33400000073,34
Valence,,,,Barking and Dagenham,,100002559,E09000002,Valence,E05014069,51.55806921,0.135478474,548132.3553999998,186514.57129999995,34
Robert Jeyes Community Library,,,,Barking and Dagenham,,100101901,E09000002,Whalebone,E05014071,51.57212135,0.144638198,548721.4527000003,188095.71700000018,34
Marks Gate,,,,Barking and Dagenham,,10002167212,E09000002,Chadwell Heath,E05014058,51.58490561,0.137516448,548186.4005000005,189502.87219999917,34
Everyone’s Warehouse ,47 Thames Road,,,Barking and Dagenham,https://www.everyoneswarehouse.co,100091530,E09000002,Barking Riverside,E05014055,51.525217,0.11382699,546737.1092999997,182817.80959999934,34
Other Fabrications Limited,Unit 10 Buzzard Creek Industrial Estate ,River Road,,Barking and Dagenham,http://otherfabrications.com/contact/,100047851,E09000002,Barking Riverside,E05014055,51.51554119,0.104917628,546150.0573000005,181724.0610000007,34
SEW IT IN LONDON,Londoneast - UK Business & Technical park,Yew Tree Avenue,,Barking and Dagenham,www.sewitinlondon.co.uk,100102787,E09000002,Alibon,E05014054,51.546911,0.17031859,550584.0762999998,185344.8429000005,34
Valence House Museum,Becontree Ave,NA,NA,Barking and Dagenham,www.â€‹lbbd.â€‹gov.â€‹uk/â€‹heritage,100002560,E09000002,Valence,E05014069,51.55780231,0.135812252,548156.3575999998,186485.56680000015,34
The Broadway Theatre,Broadway Barking And Dagenham,,Broadway Barking A,Barking and Dagenham,www.thebroadwaybarking.com,100058301,E09000002,Abbey,E05014053,51.53515785,0.079648186,544334.8620999996,183855.2893000003,34
Studio 3 Arts ,Boundary Road Barking,,,Barking and Dagenham,www.studio3arts.org.uk,100053573,E09000002,Gascoigne,E05014061,51.53054,0.08025,544391.1956000002,183342.97199999914,34
Other Fabrications Limited,Unit 10 Buzzard Creek Industrial Estate ,River Road,,Barking and Dagenham,http://otherfabrications.com,100047851,E09000002,Barking Riverside,E05014055,51.51554119,0.104917628,546150.0573000005,181724.0610000007,34
TPE London Ltd,"723 Ripple Rd, Barking IG11 0SN",,,Barking and Dagenham,https://theprintandembroidery.co.uk,100047344,E09000002,Eastbury,E05014060,51.532139,0.11645462,546897.1174999997,183592.80890000053,34
The Broadway,11-13 Broadway, Barking,,Barking and Dagenham,https://www.thebroadwaybarking.com/sales/content/hire/venue-hire,100058301,E09000002,Abbey,E05014053,51.535668,0.078017095,544220.1336000003,183908.80440000072,34
Studio 3 Arts ,Boundary Road,,,Barking and Dagenham,https://www.studio3arts.org.uk/ ,100053573,E09000002,Gascoigne,E05014061,51.530484,0.080289716,544394.1272999998,183336.82310000062,34
The Broadway,Broadway, Barking,,Barking and Dagenham,https://www.thebroadwaybarking.com/,100058301,E09000002,Abbey,E05014053,51.53639032,0.075702276,544057.3222000003,183984.56990000047,34
Studio 3 Arts ,Boundary Road,,,Barking and Dagenham,https://www.studio3arts.org.uk/ ,100053573 ,E09000002,Gascoigne,E05014061,51.530484,0.080289716,544394.1272999998,183336.82310000062,34
