name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Barnet Local Studies and Archives,The Burroughs, ,NW4 4BQ,Barnet,https://www.barnet.gov.uk/citizen-home/libraries/local-studies-and-archives.html,200222812,E09000003,Hendon,E05013643,51.58859385,-0.228932832,522790.1858999999,189234.20739999972,58
Barnet Museum,31 Wood Street, ,EN5 4BE,Barnet,http://www.barnetmuseum.co.uk/,200128241,E09000003,High Barnet,E05013644,51.65287654,-0.202296261,524459.5517999995,196427.92239999957,58
Jews College Library,44a Albert Road, ,NW4 2SJ,Barnet,https://www.lsjs.ac.uk/about-our-library.php,200219174,E09000003,Hendon,E05013643,51.58821378,-0.213739211,523843.7292999998,189217.5616999995,58
King Alfred School,Manor Wood North End Road, ,NW11 7HY,Barnet,http://www.kingalfred.org.uk/,200086130,E09000003,Childs Hill,E05013631,51.56967063,-0.184458946,525923.3025000002,187205.5022,58
Leo Baeck College Library,The Sternberg Centre for Judaism ,80 East End Road ,N3 2SY,Barnet,http://lbc.ac.uk/library-resources/,200033491,E09000003,Finchley Church End,E05013639,51.59527665,-0.189326369,525515.4411000004,190044.6216000002,58
Middlesex University: Museum of Domestic Design & Arc,9 Boulevard Drive ,Beaufort Park Colindale,NW9 5HF,Barnet,https://moda.mdx.ac.uk/,200141126,E09000003,Colindale South,E05013633,51.59604884,-0.241636786,521890.2346000001,190042.01590000093,58
Middlesex University: Sheppard Library,The Burroughs, ,NW4 4BT,Barnet,https://unihub.mdx.ac.uk/study/library/library-services/library-opening-hours,200153196,E09000003,Hendon,E05013643,51.5904557,-0.22959233,522739.48819999956,189440.1484999992,58
"Royal Air Force Museum, Department of Research and In",Grahame Park Way, ,NW9 5LL,Barnet,https://www.rafmuseum.org.uk/research/research-enquiries.aspx,200049886,E09000003,Colindale North,E05013632,51.59894703,-0.238163901,522123.00710000005,190370.09569999948,58
artsdepot,"5 Nether Street, Tally Ho Corner",North Finchley,,Barnet,https://www.artsdepot.co.uk/private-rooms-studios,200196017,E09000003,West Finchley,E05013648,51.61281644,-0.176699509,526341.3540000003,192016.8906999994,58
Create Space London,80 Daws Ln,Mill Hill,,Barnet,https://www.createspacelondon.org/?fbclid=IwAR3z5OP_MsyfZ64PwpV3CIIng3-2rGQqD_lhIhL1391Zn1HTKsXZDYp9VTc,See notes,E09000003,Mill Hill,E05013645,51.61565,-0.2388,522034.23869999964,192226.53130000085,58
Arts Depot ,5 Nether St,North Finchley,N12 0GA,Barnet,https://www.artsdepot.co.uk/,200196017,E09000003,West Finchley,E05013648,51.61281644,-0.176699509,526341.3540000003,192016.8906999994,58
Phoenix (East Finchley),,52 High Road,N2 9PJ,Barnet,,200061366,E09000003,East Finchley,E05013636,51.588503,-0.16368621,527310.2549999999,189335.69519999996,58
Vue  Finchley North,Great North Leisure Park,Chaplin Square,N12 0GL,Barnet,,200217093,E09000003,Woodhouse,E05013651,51.603832,-0.17332068,526600.2496999996,191023.6144999992,58
Everyman Barnet,,,,Barnet,,,E09000003,Barnet Vale,E05013628,51.64651,-0.18771,525486.0897000004,195744.86879999936,58
Areaworks Colindale,"Unit 23, Beaufort Park",8 Aerodrome Rd,,Barnet,https://www.areaworks.com/coworking-spaces/colindale/,200155308 ,E09000003,Colindale South,E05013633,51.595283,-0.24240245,521839.24990000017,189955.5764000006,58
North London Film Studios,The Ridgeway,London ,,Barnet,https://purposegroup.co.uk ,200117012,E09000003,Totteridge & Woodside,E05013646,51.614256,-0.21312858,523815.2648,192114.65110000037,58
Arts Depot,5 Nether Street,,,Barnet,http://www.artsdepot.co.uk,200196017,E09000003,West Finchley,E05013648,51.61281644,-0.176699509,526341.3540000003,192016.8906999994,58
NW7 Hub,Mill hill Library,Hartley Avenue,,Barnet,https://www.nw7hub.org.uk,10094710274,E09000003,Mill Hill,E05013645,51.615382,-0.24309943,521737.3225999996,192189.57960000075,58
Innovation Dance Studios Finchley,2A Lodge Lane,,,Barnet,https://www.innovationdancestudios.co.uk/finchley-dance-studio/location/,10091041343,E09000003,West Finchley,E05013648,51.61634745,-0.177296442,526290.2331999997,192408.53299999982,58
Studio 45,115A Brunswick Park Roa,,,Barnet,http://www.studio45.london,200219587,E09000003,Brunswick Park,E05013629,51.62293183,-0.147463783,528336.9506999999,193192.7025000006,58
Arts Depot,5 Nether Street,,,Barnet,http://www.artsdepot.co.uk,200196017,E09000003,West Finchley,E05013648,51.61281644,-0.176699509,526341.3540000003,192016.8906999994,58
artsdepot,5 Nether St, Tally Ho Corner, North Finchley,Barnet,https://www.artsdepot.co.uk/private-rooms-studios,200198999,E09000003,West Finchley,E05013648,51.61297,-0.17686,526329.8164999997,192033.69030000083,58
NW7 Hub,Mill hill Library,Hartley Avenue,,Barnet,https://www.nw7hub.org.uk,10094710274,E09000003,Mill Hill,E05013645,51.615382,-0.24309943,521737.3225999996,192189.57960000075,58
B.E. Cook Limited,431 High Road,,,Barnet,,200060663,E09000003,East Finchley,E05013636,51.60153409,-0.172813057,526641.7925000004,190768.95610000007,58
Jewellery Cave Limited,48b Hendon Lane London N3 1TT United Kingdom,,,Barnet,http://www.jewellerycave.co.uk,200058885,E09000003,Finchley Church End,E05013639,51.59871,-0.19912,524827.6960000005,190409.65520000085,58
Codis Maya Limited,1st Floor 314 Regents Park Road,Finchley,,Barnet,http://www.codismaya.com,200209140,E09000003,Finchley Church End,E05013639,51.59895386,-0.193783745,525196.6018000003,190445.89949999936,58
Childs Hill ,,,,Barnet,,200219960,E09000003,Childs Hill,E05013631,51.56166852,-0.199092218,524931.1315000001,186290.5449000001,58
Golders Green ,,,,Barnet,,200049056,E09000003,Childs Hill,E05013631,51.57425403,-0.200179203,524821.3454999998,187688.24689999968,58
Garden Suburb Community Library ,,,,Barnet,,200207760,E09000003,Garden Suburb,E05013641,51.58580095,-0.181741357,526067.0323000001,189003.94079999998,58
Hendon,,,,Barnet,,200222812,E09000003,Hendon,E05013643,51.58809113,-0.227360361,522900.4698000001,189180.9416000005,58
East Finchley,,,,Barnet,,200061457,E09000003,East Finchley,E05013636,51.59342094,-0.165973843,527138.0717000002,189878.61339999922,58
Church End ,,,,Barnet,,200218220,E09000003,Finchley Church End,E05013639,51.59932321,-0.195695662,525063.1742000002,190483.7003000006,58
Colindale,,,,Barnet,,200222825,E09000003,Colindale North,E05013632,51.60129207,-0.243478885,521748.6624999996,190622.03690000065,58
South Friern ,,,,Barnet,,200147125,E09000003,Friern Barnet,E05013640,51.59993455,-0.146935286,528438.3924000002,190636.2092000004,58
