name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Brent Museum and Archives,The Library at Willesden Green ,95 High Road Willesden,NW10 2SF,Brent,https://www.brent.gov.uk/archives,202149110,E09000005,Willesden Green,E05013517,51.5466504,-0.228921501,522904.0119000003,184570.00269999914,91
Second Floor Studios & Arts,Palace Arts Way,,,Brent,https://www.secondfloor.co.uk/studios/wembley-park,No UPRN,E09000005,Wembley Park,E05013516,51.55954185,-0.283276549,519101.6723999996,185913.7820999995,91
Harrow Road,733 Harrow Road,Kensal Green,,Brent,www.acme.org.uk,202199583,E09000005,Queens Park,E05013507,51.53083547,-0.230314269,522850.01159999985,182809.00129999965,91
Light Factory Studios,6 scrubs Lane,,,Brent,http://www.lightfactoryworkshops.co.uk,202040584,E09000005,Harlesden & Kensal Green,E05013501,51.53204976,-0.238701755,522265.00930000003,182929.99899999984,91
Create Space London,"Wembly Point, 1 Harrow Rd",,,Brent,createspacelondon.org,202197437,E09000005,Tokyngton,E05013512,51.54461354,-0.273896663,519791.0133999996,184269.00310000032,91
Barham Park,660 Harrow Rd,,,Brent,www.acava.org,202209700,E09000005,Wembley Central,E05013514,51.55232008,-0.310992689,517199.00930000003,185066.0025999993,91
Honeypot Lane,"1-2 Palm Court, 1-2 Tulip Court, 1 Acacia Court",,,Brent,www.acava.org,202208355,E09000005,Queensbury,E05013508,51.59056614,-0.283819623,518983.01209999993,189363.00489999913,91
Create Space London,"Former Willesden Green Police Station, 96 High Rd",Willesden,,Brent,https://www.createspacelondon.org/?fbclid=IwAR3z5OP_MsyfZ64PwpV3CIIng3-2rGQqD_lhIhL1391Zn1HTKsXZDYp9VTc,202086681,E09000005,Willesden Green,E05013517,51.547169,-0.23071436,522778.3074000003,184624.66459999979,91
Oxgate House,Oxgate lane,Brent Cross,,Brent,https://artistic-spaces.co.uk/oxgate-house,202231810,E09000005,Dollis Hill,E05013500,51.56777,-0.23124223,522686.2790999999,186914.65479999967,91
ASC Studios Alperton,243 Ealing Road,Alperton,,Brent,https://ascstudios.co.uk/studios/,See notes,E09000005,Alperton,E05013496,51.53892,-0.29908,518059.5407999996,183594.9854000006,91
The Library at Willesdon Green,95 High Road,Willesden ,NW10 2SF,Brent,https://www.brent.gov.uk/your-council/the-library-at-willesden-green/,202149110,E09000005,Willesden Green,E05013517,51.5466504,-0.228921501,522904.0119000003,184570.00269999914,91
The Lexi Cinema,,194b Chamberlyne Road,NW10 3JU ,Brent,,202195465,E09000005,Brondesbury Park,E05013498,51.537587,-0.22262169,523365.3136999998,183572.7204,91
Kiln Cinema (formerly Tricycle),,269 Kilburn High Road,NW6 7JR,Brent,,202124574,E09000005,Kilburn,E05013503,51.542973,-0.20015978,524908.2834000001,184209.73740000091,91
Cineworld Wembley ,,Wembley Park Blvd,HA9 0FD,Brent,www.cineworld.co.uk,202206309,E09000005,Wembley Park,E05013516,51.556685,-0.28350333,519093.4001000002,185595.72589999996,91
Brent Artists Resource,4â„5Â Queenâ€™s Parade,,,Brent,http://www.brentartistsresource.org.uk/#,202054057,E09000005,Willesden Green,E05013517,51.5471635,-0.22221816,523367.4036999997,184638.33449999988,91
Brent Artists Resource Company,Bar Lab,4-5 Queens Parade,Walm Lane,Brent,http://www.brentartistsresource.org.uk/,202192120,E09000005,Willesden Green,E05013517,51.54723606,-0.222258604,523364.40330000035,184646.33520000055,91
The Granville,140 Carlton Vale,Kilburn,,Brent,https://thegranville.org/workspace/,202224307 ,E09000005,Kilburn,E05013503,51.532724,-0.19739206,525128.2978999997,183074.74929999933,91
Wow Wembley,284 Water Road,,,Brent,https://www.wowworkspaces.co.uk/locations/wow-wembley,202033181 ,E09000005,Alperton,E05013496,51.540142,-0.28861053,518782.4003999997,183747.7951999996,91
Federation of Patidar Associations,22 London Road,,,Brent,https://www.patidars.org/,202073653,E09000005,Wembley Hill,E05013515,51.55229548,-0.294982599,518309.00989999995,185089.00420000032,91
Kiln Theatre ,269 Kilburn High Road,,,Brent,http://www.tricycle.co.uk,202079064,E09000005,Kilburn,E05013503,51.54331474,-0.200005991,524918.0116999997,184248.00210000016,91
Patidar House Studios,22 London Road,,,Brent,https://www.patidars.org/,202073653,E09000005,Wembley Hill,E05013515,51.55229548,-0.294982599,518309.00989999995,185089.00420000032,91
Capital City Academy,Doyle Gardens,Willesden,,Brent,http://www.capitalcityacademy.org/224/hire-our-facilities,202191532,E09000005,Roundwood,E05013509,51.53996598,-0.232901653,522646.01219999976,183820.00180000067,91
 Kiln Theatre ,269 Kilburn High Road,,,Brent,http://www.tricycle.co.uk,202079064,E09000005,Kilburn,E05013503,51.54331474,-0.200005991,524918.0116999997,184248.00210000016,91
The Granville,140 Carlton Vale, South Kilburn,,Brent,https://thegranville.org/venue-hire/, 202224307,E09000005,Kilburn,E05013503,51.532724,-0.19739206,525128.2978999997,183074.74929999933,91
