name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
V22 Orpington,Church Hill,Orpington,,Bromley,https://v22collection.com/v22-orpington-priory/,100023528323,E09000006,Orpington,E05014001,51.379099,0.10493216,546587.1776999999,166551.88759999909,52
Odeon Beckenham,,The High Street,BR3 1DY,Bromley,,10003626016,E09000006,Beckenham Town & Copers Cope,E05013987,51.407108,-0.03140273,537016.1731000002,169403.0859999992,52
Vue Bromley ,,,,Bromley,,,E09000006,Bromley Town,E05013991,51.39974,0.01486,540256.1490000002,168671.15819999948,52
Everyman Crystal Palace  ,,,,Bromley,,,E09000006,Crystal Palace & Anerley,E05013995,51.4191,-0.07908,533665.4364999998,170648.58620000072,52
Churchill Theatre: Magpie Dance,118 High Street,,,Bromley,http://www.magpiedance.org.uk,100022886981,E09000006,Bromley Town,E05013991,51.403765,0.014474247,540217.0181999998,169118.0066999998,52
Langley Park Centre for the Performing Arts,Hawksbrook Lane,South Eden Park Road,Beckenham,Bromley,http://www.lpsb.org.uk,100022894311,E09000006,Kelsey & Eden Park,E05013999,51.38893001,-0.01894751,537937.0119000003,167405.00329999998,52
Chantry Studios,20 Chantry Lane,,,Bromley,http://chantry-studios.co.uk,100022892183,E09000006,Bromley Common & Holwood,E05013990,51.39213619,0.034346311,541635.0121999998,167863.00200000033,52
Dance Box Bromley,28-30 The Mall,,,Bromley,http://danceboxstudios.co.uk/classes/,100022887397,E09000006,Bromley Town,E05013991,51.40228393,0.016407564,540356.0195000004,168957.0075000003,52
Studio 74 LTD,The Hall,St Augustines Avenue,Bromley,Bromley,http://www.studio74dance.co.uk,100022892160,E09000006,Bickley & Sundridge,E05013988,51.39012657,0.043384487,542270.0120000001,167657.00180000067,52
Bishop Justus Church of England School,Magpie Hall Lane,,,Bromley,http://www.bishopjustus.bromley.sch.uk,10013149314,E09000006,Bromley Common & Holwood,E05013990,51.38245296,0.045098174,542413.0114000002,166807.00210000016,52
