name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
General Conference of the New Church,Swedenborg House ,20 Bloomsbury Way ,WC1A 2TH,Camden,,5024660,E09000007,Bloomsbury,E05013653,51.51792235,-0.122727011,530349.0114000002,181559.00349999964,528
National Institute for Social Work,5 Tavistock Place, ,WC1H 9SN,Camden,,5090642,E09000007,Bloomsbury,E05013653,51.52526291,-0.127384112,530005.0114000002,182367.0033999998,528
National League of the Blind and Disabled,324 Gray's Inn Road, ,WC1X 8DD,Camden,,5166668,E09000007,King's Cross,E05013666,51.52884842,-0.119350731,530552.0120000001,182780.0030000005,528
Working Mens College,Crowndale Road, ,NW1,Camden,,5005485,E09000007,St Pancras & Somers Town,E05013669,51.53523862,-0.136029812,529377.0116999997,183461.00269999914,528
Architectural Association Archives,No. 32 Bedford Square, ,WC1B 3ES,Camden,https://www.aaschool.ac.uk/AASCHOOL/LIBRARY/archive.php,5183821,E09000007,Bloomsbury,E05013653,51.51853136,-0.131018802,529772.0113000004,181612.00329999998,528
Art Workers Guild,6 Queen Square, ,WC1N 3AT,Camden,http://www.artworkersguild.org/,5088276,E09000007,Holborn & Covent Garden,E05013662,51.5214067,-0.122987281,530321.0109000001,181946.00329999998,528
Ben Uri Art Society and Gallery,108a Boundary Road, ,NW8 0RH,Camden,http://www.benuri.org.uk/,5144462,E09000007,Kilburn,E05013665,51.5375408,-0.185367081,525949.0120000001,183631.00280000083,528
British Film Institute (BFI) National Archive,21 Stephen Street, ,W1T 1LN,Camden,https://www.bfi.org.uk/archive-collections,5158427,E09000007,Bloomsbury,E05013653,51.51785121,-0.132920441,529642.0115999999,181533.00239999965,528
British Heart Foundation,Greater London House  ,180 Hampstead Road ,NW1 7AW,Camden,https://www.bhf.org.uk/,5088648,E09000007,Regent's Park,E05013668,51.53344266,-0.139592511,529135.0114000002,183255.00249999948,528
British Humanist Association,1 Gower Street, ,WC1E 6HD,Camden,https://humanism.org.uk/,5088342,E09000007,Bloomsbury,E05013653,51.51979395,-0.130116644,529831.0109999999,181754.00349999964,528
British Library Corporate Archives,British Library ,96 Euston Road ,NW1 2DB,Camden,http://searcharchives.bl.uk/primo_library/libweb/action/search.do?dscnt=1&dstmp=1542715917978&vid=IAMS_V,5037737,E09000007,St Pancras & Somers Town,E05013669,51.52998677,-0.126988356,530019.0120000001,182893.00280000083,528
"British Library, Manuscript Collections/Map Library/M",96 Euston Road, ,NW1 2DB,Camden,https://www.bl.uk/subjects/manuscripts-and-archives,5037737,E09000007,St Pancras & Somers Town,E05013669,51.52998677,-0.126988356,530019.0120000001,182893.00280000083,528
"British Museum Central Archive, Ethnography Library, ",British Museum ,1 Great Russell Street ,WC1B 3DG,Camden,https://www.britishmuseum.org/research/libraries_and_archives.aspx,5090682,E09000007,Bloomsbury,E05013653,51.51936411,-0.126847821,530059.0108000003,181712.00400000066,528
British Olympic Association,60 Charlotte Street, ,W1T 2NU,Camden,https://www.teamgb.com/,5155903,E09000007,Bloomsbury,E05013653,51.52004232,-0.136117275,529414.0113000004,181771.00329999998,528
British Printing Industries Federation,Farringdon Point ,29-35 Farringdon Road ,EC1M 3JF,Camden,https://www.britishprint.com/,,E09000007,Holborn & Covent Garden,E05013662,51.51998,-0.1059,531510.5137999998,181817.89140000008,528
BT Archives,3rd Floor Holborn Telephone Exchange ,268-270 High Holborn ,WC1V 7EE,Camden,https://www.btplc.com/Thegroup/BTsHistory/BTgrouparchives/index.htm,5086502,E09000007,Holborn & Covent Garden,E05013662,51.51761085,-0.116758156,530764.0116999997,181535.0025999993,528
