name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Employment Policy Institute,Beaufort House ,15 St Botolph Street ,EC3A 7NJ,City of London,,95500292,E09000001,Portsoken,E05009308,51.51506783,-0.075887122,533607.0120000001,181326.0022,127
All Hallows by the Tower,All Hallows Church ,Byward Street ,EC3R 5BJ,City of London,http://www.allhallowsbythetower.org.uk/,200000000000,E09000001,Tower,E05009310,51.50933062,-0.079184156,533395.0120999999,180682.00180000067,127
Baltic Exchange,38 St Mary Axe, ,EC3A 8BH,City of London,https://www.balticexchange.com/,100023000000,E09000001,Aldgate,E05009289,51.51497647,-0.08018605,533309.0120000001,181308.00170000084,127
Bank of England Archive,Threadneedle Street, ,EC2R 8AH,City of London,https://www.bankofengland.co.uk/archive,200000000000,E09000001,Walbrook,E05009312,51.51418809,-0.088621829,532726.0118000004,181205.00210000016,127
Barbers Company,Barber-Surgeons' Hall ,1 Monkwell Square  Wood Street ,EC2Y 5BL,City of London,http://barberscompany.org/,200000000000,E09000001,Cripplegate,E05009302,51.5180174,-0.094601756,532300.0124000004,181619.9985000007,127
Baring Archive,8-10 Moorgate, ,EC2R 6DA,City of London,https://www.baringarchive.org.uk/,95512518,E09000001,Broad Street,E05009295,51.51551699,-0.089226292,532680.2119000005,181351.68129999936,127
Bishopsgate Institute,230 Bishopsgate, ,EC2M 4QH,City of London,http://www.bishopsgate.org.uk/,100023000000,E09000001,Bishopsgate,E05009292,51.5187111,-0.079250559,533363.0118000004,181725.00249999948,127
British Red Cross Museum and Archives,UK Office ,44 Moorfields ,EC2Y 9AL,City of London,https://www.redcross.org.uk/about-us/our-history/museum-and-archives,200000000000,E09000001,Coleman Street,E05009299,51.51908359,-0.08858643,532714.2418999998,181749.4506000001,127
C Hoare & Co,37 Fleet Street, ,EC4P 4DQ,City of London,https://www.hoaresbank.co.uk/,95513039,E09000001,Farringdon Without,E05009305,51.51377693,-0.1096323,531269.4112999998,181121.41330000013,127
Carpenters Company,Carpenters Hall ,Throgmorton Avenue ,EC2N 2JJ,City of London,http://www.carpentersco.com/,95511248,E09000001,Broad Street,E05009295,51.51669821,-0.085936685,532905.0115999999,181489.00200000033,127
Chartered Insitute of Taxation,Tony Arnold Library,Maughan Library Chancery Lane,WC2A 1LR,City of London,https://www.tax.org.uk/homepage,95509816,E09000001,Farringdon Without,E05009305,51.51520531,-0.110328375,531217.0114000002,181279.00269999914,127
City of London Club,19 Old Broad Street, ,EC2N 1DS,City of London,http://www.cityoflondonclub.com/,100023000000,E09000001,Cornhill,E05009301,51.5149871,-0.08468246,532997.0116999997,181301.00249999948,127
City of London Police Museum,Police Headquarters ,37 Wood St ,EC2P 2NP,City of London,https://www.cityoflondon.police.uk/about-us/history/museum/Pages/default.aspx,100024000000,E09000001,Bassishaw,E05009290,51.51667263,-0.093749855,532363.0121999998,181471.99960000068,127
City of London School,William Hallet Archive Room City of London School ,Queen Victoria Street ,EC4V 3AL,City of London,https://www.cityoflondonschool.org.uk/,100023000000,E09000001,Queenhithe,E05009309,51.51102633,-0.099361206,531990.0118000004,180834.00019999966,127
Clothworkers Company,Clothworkers' Hall ,Dunster Court  Mincing Lane,EC3R 7AH,City of London,https://www.clothworkers.co.uk/,95511249,E09000001,Tower,E05009310,51.51152987,-0.081138094,533253.0122999996,180923.00119999982,127
