name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Age Concern,National Old People's Welfare Council ,Astral House  1268 London Road,SW16 4ER,Croydon,https://www.ageuk.org.uk/,200001000000,E09000008,Norbury & Pollards Hill,E05011472,51.40683553,-0.120521531,530819.0078999996,169210.00090000033,67
Spurgeon's College,189 South Norwood Hill, ,SE25 6DJ,Croydon,http://www.spurgeons.ac.uk/,100000000000,E09000008,Thornton Heath,E05011486,51.40643282,-0.086202504,533207.0136000002,169227.00100000016,67
Turf Projects,"46/47 Trinity Court (Ground Floor),","Whitgift Shopping Centre,",,Croydon,www.turf-projects.com,200001209392,E09000008,Fairfield,E05011468,51.3763539,-0.099010414,532403.0126,165859.00009999983,67
First Floor Space,1046/1048 Croydon Arts Store,Whitgift Centre,,Croydon,https://www.firstfloorspace.co.uk/about,200001186721 ,E09000008,Fairfield,E05011468,51.376345,-0.099007506,532403.2406000001,165858.0156999994,67
Grafton Road,"Art House, Grafton Quarter",Croydon,,Croydon,https://ascstudios.co.uk/studios/,10093755779,E09000008,Broad Green,E05011465,51.378036,-0.11241608,531465.2473999998,166021.9637000002,67
Bainbridge Print ,"Ground Floor, Grafton Quarter ",,,Croydon,https://bainbridgeprint.com/contact,10093755697 ,E09000008,Broad Green,E05011465,51.378715,-0.11210077,531485.2461000001,166098.03390000015,67
Conditions,89 Gloucester Road,,,Croydon,https://conditions.studio/,1.00023E+11,E09000008,Selhurst,E05011479,51.384999,-0.089824616,533017.2492000004,166836.9394000005,67
Fairfield Halls ,Park Ln,,CR9 1DG,Croydon,https://fairfield.co.uk/,100023000000,E09000008,Fairfield,E05011468,51.37252439,-0.095778074,532639.0120999999,165439.00170000084,67
Vue Croydon,,14 High St,CR0 1GT,Croydon,,10001004802,E09000008,Fairfield,E05011468,51.372997,-0.10108585,532268.2384000001,165481.97360000014,67
Vue Croydon Purley Way,Valley Park Leisure Complex,21 Hesterman Way,CR0 4YA,Croydon,,100022906148,E09000008,Broad Green,E05011465,51.378123,-0.12452606,530622.2461999999,166010.03119999915,67
David Lean Cinema,,Katherine St,CR9 1ET,Croydon,http://www.davidleancinema.org.uk/,200001222331,E09000008,Fairfield,E05011468,51.37216,-0.099,532415.8206000002,165392.66249999963,67
Matthews Yard,Matthews Yard,1 Matthews Yard,Off Surrey Street,Croydon,http://matthewsyard.com,10090382144,E09000008,Fairfield,E05011468,51.37163487,-0.099516428,532381.3903000001,165333.3367999997,67
Harris Academy Purley,Kendra Hall Road,,,Croydon,http://www.harrispurley.org.uk,100022910696,E09000008,Purley Oaks & Riddlesdown,E05011477,51.35324715,-0.10931616,531752.0118000004,163271.0019000005,67
Fairfield Hall (closed for refurbishment),71 Park Lane,,,Croydon,https://fairfield.co.uk,100022917675,E09000008,Fairfield,E05011468,51.37227,-0.09553,532657.0119000003,165411.16249999963,67
Theatre Utopia,1 Matthews Yard,,,Croydon,http://www.matthewsyard.com/venue/theatre-utopia/,10090382144,E09000008,Fairfield,E05011468,51.37216106,-0.101094936,532270.0120000001,165389.00159999914,67
Stanley Arts,12 South Norwood Hill,South Norwood,,Croydon,https://stanleyarts.org/venue-hire/,See notes,E09000008,South Norwood,E05011485,51.40014,-0.07514,533994.7710999995,168547.39350000024,67
Antenna Studios,1 Bewardine Road,,,Croydon,http://www.antennastudios.co.uk,10090383277,E09000008,Crystal Palace & Upper Norwood,E05011467,51.41806561,-0.083228404,533380.0119000003,170526.00329999998,67
The Warehouse Dance and Fitness Studio,4 Queensway,,,Croydon,http://thewarehousedancestudios.co.uk,10090384254,E09000008,Waddon,E05011487,51.36124226,-0.119401396,531027.0113000004,164142.00239999965,67
The Croydon Dance Academy,68-74 Church Street,,,Croydon,http://croydondanceacademy.com,100020601056,E09000008,Fairfield,E05011468,51.37377701,-0.103700627,532084.0132999998,165564,67
