name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Ealing Local History Centre,Central Library ,103 Ealing Broadway Centre  The Broad,W5 5JY,Ealing,https://www.ealing.gov.uk/info/201129/local_history/1888/local_history_centre/1,12148296,E09000009,Ealing Broadway,E05013520,51.51233212,-0.302370117,517900.0125000002,180633.00329999998,106
National Childbirth Trust,Alexandra House ,Oldham Terrace ,W3 6NH,Ealing,https://www.nct.org.uk/,12102911,E09000009,South Acton,E05013536,51.50593843,-0.269739395,520181.0119000003,179975.00239999965,106
University West of England Archives ,University of West London,St Mary's Road ,W5 5RF,Ealing,https://www.uwl.ac.uk/current-students/library/about-library-and-archive/university-west-london-archive,,E09000009,Ealing Common,E05013521,51.50700614,-0.30312115,517861.63829999976,180039.5259000007,106
Colville Rd Studios,Units 2 and 4,11 Colville Rd,,Ealing,www.acava.org,12093573,E09000009,South Acton,E05013536,51.49926169,-0.273723932,519922.01209999993,179226.0022,106
Vale Grove,Impress House,,,Ealing,www.acava.org,12155317,E09000009,Southfield,E05013540,51.50562536,-0.261336032,520765.01209999993,179954.00180000067,106
West London Art Factory, 153 Dukes Rd,,,Ealing,http://www.westlondonartfactory.com/about-us,12187273,E09000009,North Acton,E05013527,51.5238037,-0.28239624,519256.01240000036,181941.00170000084,106
Queensrolla House,18 Trading Estate Road,,,Ealing,http://queensrollahouse.com/,12181846,E09000009,North Acton,E05013527,51.52628079,-0.269213144,520164.01219999976,182238.00210000016,106
Park Royal,Unit A/B,28 - 30 Park Royal Rd,,Ealing,www.acava.org,12105792,E09000009,North Acton,E05013527,51.52689275,-0.267416716,520287.01240000036,182309.00200000033,106
52-56 Standard Road,"Park Royal, London ",,,Ealing,www.artistic-spaces.co.uk,12189460,E09000009,North Acton,E05013527,51.52830491,-0.263787706,520535.01350000035,182472.0033999998,106
Stewkley House,2 Wadsworth Rd ,,,Ealing,www.acava.org,12181269,E09000009,Perivale,E05013534,51.53620195,-0.317631001,516780.01219999976,183263.00269999914,106
Excelsior London,Sunbeam Road,North Acton,,Ealing,https://www.excelsior.london/,10092033712,E09000009,North Acton,E05013527,51.525737,-0.26354833,520558.39690000005,182186.8370999992,106
Gorst Road Studios,42 Gorst Rd,Park Royal,,Ealing,https://gorstroad.rocketspark.co.uk/,12130599,E09000009,North Acton,E05013527,51.526773,-0.26493608,520459.3992999997,182299.76109999977,106
Vue Acton,Royale Leisure Park,Western Ave,W3 0PA,Ealing,,12148223,E09000009,North Acton,E05013527,51.525711,-0.28130951,519326.41559999995,182154.86999999918,106
Ealing Project ,Ealing Broadway Centre,1 High St  ,W5 5DB,Ealing,,,E09000009,Ealing Broadway,E05013520,51.51272,-0.30432,517763.7123999996,180673.00310000032,106
Felix & Spear,71 St. Mary's Road,London ,,Ealing,https://www.felixandspear.com/,12083138,E09000009,Ealing Common,E05013521,51.504988,-0.30515836,517725.46160000004,179811.82770000026,106
OPEN Ealing,"Unit 14, School Lane Dickens Yard",,,Ealing,https://openealing.com,12181007,E09000009,Ealing Broadway,E05013520,51.513877,-0.3060391,517641.4472000003,180798.90609999932,106
Open Ealing,Open Ealing,Singapore Road,West Ealing,Ealing,https://openealing.com,12175823,E09000009,Hanwell Broadway,E05013525,51.51040312,-0.324927276,516339.7121000001,180382.4475999996,106
Artistic Spaces Ltd,52-56 Standard Road,"Park Royal, London",,Ealing,www.artistic-spaces.co.uk,12124954,E09000009,North Acton,E05013527,51.52727166,-0.264358701,520498.1338999998,182356.16330000013,106
Standard Studios Ltd. ,9 Standard Road,Park Royal,,Ealing,https://www.standardstudios.ltd/, 12117244,E09000009,North Acton,E05013527,51.528252,-0.26154965,520690.3929000003,182469.8041999992,106
Wow Acton,Wendover Court,Western Avenue,,Ealing,https://www.wowworkspaces.co.uk/locations/wow-acton,See notes,E09000009,North Acton,E05013527,51.52581,-0.2722,519958.0604999997,182180.7541000005,106
Wow Ealing,Brentham Old Power Station,Western Ave,,Ealing,https://www.wowworkspaces.co.uk/locations/wow-ealing,12146470,E09000009,Hanger Hill,E05013524,51.530617,-0.29646473,518262.4171000002,182675.87150000036,106
Gorst Road Studios,42 Gorst Rd,Park Royal,,Ealing,https://gorstroad.rocketspark.co.uk/,12130599,E09000009,North Acton,E05013527,51.526773,-0.26493608,520459.3992999997,182299.76109999977,106
Lawrence Hall,West London University,St Mary's Rd,,Ealing,http://www.uwl.ac.uk,12153715,E09000009,Ealing Common,E05013521,51.50656547,-0.304688388,517754.0126,179988.00320000015,106
Brentside,377 Greenford Avenue,,,Ealing,http://www.brentsidehigh.ealing.sch.uk,12141082,E09000009,North Hanwell,E05013529,51.52655631,-0.33995693,515256.01130000036,182155.00249999948,106
Questor's Theatre,12 Mattock Lane,,,Ealing,http://www.questors.org.uk,12084402,E09000009,Walpole,E05013541,51.51170889,-0.309656624,517396.0115,180552.00430000015,106
Elthorne Park High School,Westlea Road,,,Ealing,http://www.ephs.ealing.sch.uk,12141191,E09000009,Northfield,E05013530,51.50062773,-0.330843093,515954.01130000036,179286.00379999913,106
"Innovation Dance Studios, Ealing",96 Pitshanger Lane,,,Ealing,www.innovationdancestudios.co.uk/ealing-dance-studio/studio-hire/,12185360,E09000009,Pitshanger,E05013535,51.52622881,-0.313832651,517069.0114000002,182160.0041000005,106
West London University,St Mary's Rd,,,Ealing,http://www.uwl.ac.uk,12153715,E09000009,Ealing Common,E05013521,51.50656547,-0.304688388,517754.0126,179988.00320000015,106
Brentside,377 Greenford Avenue,,,Ealing,http://www.brentsidehigh.ealing.sch.uk,12141082,E09000009,North Hanwell,E05013529,51.52655631,-0.33995693,515256.01130000036,182155.00249999948,106
Questor's Theatre,12 Mattock Lane,,,Ealing,http://www.questors.org.uk,12084402,E09000009,Walpole,E05013541,51.51170889,-0.309656624,517396.0115,180552.00430000015,106
Sample House,10B Cullen Way,,,Ealing,https://www.sample-studio.co.uk,12105583,E09000009,North Acton,E05013527,51.52507939,-0.265193459,520446.01290000044,182111.00280000083,106
Park Royal Works,"Park Royal Business Centre, 9-17 Park Royal Rd, Lo",,,Ealing,https://parkroyalworks.com,See notes,E09000009,North Acton,E05013527,51.52559,-0.26586,520398.42980000004,182166.68879999965,106
West 5 ,Popes Lane,South Ealing,W5 4NB,Ealing,http://www.west5ealing.co.uk/contact.html,12142998,E09000009,Northfield,E05013530,51.49878875,-0.302982363,517892.46470000036,179125.9452999998,106
Northfields Library,,,,Ealing,,12004049,E09000009,Northfield,E05013530,51.49852209,-0.312582853,517226.7871000003,179080.8962999992,106
Southall Library (Dominion Centre and Library),,,,Ealing,,12020455,E09000009,Southall Green,E05013538,51.50287467,-0.377570641,512705.29000000004,179462.95790000074,106
Acton Town Hall Library,,,,Ealing,,12180771,E09000009,South Acton,E05013536,51.50589642,-0.26632407,520418.13790000044,179975.93689999916,106
West Ealing Library,,,,Ealing,,12002863,E09000009,Walpole,E05013541,51.50898637,-0.322962116,516479.68989999965,180228.02009999938,106
Hanwell Library,,,,Ealing,,12001465,E09000009,Hanwell Broadway,E05013525,51.50942108,-0.334533647,515675.59970000014,180258.03050000034,106
Ealing Central Library,,,,Ealing,,12148296,E09000009,Ealing Broadway,E05013520,51.51182412,-0.300805858,518009.8668999998,180579.02859999985,106
Jubilee Gardens Library,,,,Ealing,,12000640,E09000009,Lady Margaret,E05013526,51.52072747,-0.367926306,513330.3417999996,181463.16229999997,106
Pitshanger Library,,,,Ealing,,12132976,E09000009,Pitshanger,E05013535,51.52539097,-0.31235373,517173.75100000016,182069.1958000008,106
Greenford Library,,,,Ealing,,12001186,E09000009,Greenford Broadway,E05013523,51.52930578,-0.353676795,514297.43180000037,182439.2575000003,106
Northolt Library,,,,Ealing,,12140961,E09000009,Northolt West End,E05013532,51.53913239,-0.383852769,512180.24739999976,183485.3895999994,106
Perivale Library,,,,Ealing,,12003797,E09000009,Perivale,E05013534,51.54009645,-0.32248201,516433.64549999963,183688.3708999995,106
Northolt Leisure Centre Library,,,,Ealing,,12173354,E09000009,Northolt Mandeville,E05013531,51.54839666,-0.366920507,513331.4550999999,184541.7106999997,106
