name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Greenwich Heritage Centre,Artillery Square Royal Arsenal, ,SE18 4DX,Greenwich,https://www.greenwichheritage.org/visit/greenwich-heritage-centre,10010229615,E09000011,Woolwich Arsenal,E05014092,51.49430805,0.069422401,543754.1639999999,179292.7226999998,128
National Maritime Museum: The Caird Library and Archi,Park Row ,Romney Road  ,SE10 9NF,Greenwich,https://www.rmg.co.uk/research-collections/caird-library,10010243516,E09000011,Greenwich Park,E05014081,51.48094088,-0.005215641,538613.8302999996,177662.4539999999,128
University of Greenwich,Dreadnought Library Old Royal Naval College Park R, ,SE10 9LS,Greenwich,https://www.gre.ac.uk/,100000000000,E09000011,Greenwich Park,E05014081,51.48296792,-0.006397414,538525.6293000001,177885.6252999995,128
Norman Road Studios,Norman House,125 Greenwich High Rd,,Greenwich,www.acava.org,10010217066,E09000011,Greenwich Park,E05014081,51.4767242,-0.017176849,537796.0110999998,177171.00379999913,128
Borthwick St,5 Borthwick St,,,Greenwich,www.acava.org,10010244675,E09000011,Greenwich Creekside,E05014080,51.48496902,-0.024778976,537243.3600000003,178073.54260000028,128
Azof,Azof Street,Greenwich,,Greenwich,www.spacestudios.org.uk,100023227586,E09000011,East Greenwich,E05014076,51.48899702,0.007934343,539502.3128000004,178583.2413999997,128
Commonwealth Studios,"2, Commonwealth Buildings",Woolwich Church St,,Greenwich,,10010244186,E09000011,Woolwich Dockyard,E05014094,51.49280506,0.046945644,542198.6830000002,179081.71189999953,128
Thames-Side Studios,5 Harrington Way,Woolwich,,Greenwich,https://www.thames-sidestudios.co.uk/,10010229623,E09000011,Charlton Village & Riverside,E05014075,51.4943765,0.043965071,541986.9029999999,179250.6729000006,128
Art Hub Studios CIC,"Unit 2b, Bldg 28, ",34 Bowater Rd,,Greenwich,www.arthub.org.uk,10010244296,E09000011,Charlton Village & Riverside,E05014075,51.49456696,0.039912483,541705.0126999998,179264.00200000033,128
SET North Greenwich,271-287 Tunnel Avenue,Greenwich,,Greenwich,https://setspace.uk/studios,10010240193,E09000011,Greenwich Peninsula,E05014082,51.498911,0.000674569,538968.1518000001,179671.87959999964,128
SET Woolwich,"Riverside House, Beresford Street",Woolwich,,Greenwich,https://setspace.uk/studios,10010227024,E09000011,Woolwich Arsenal,E05014092,51.49326,0.065700998,543499.1424000002,179168.88340000063,128
Domeview Yard,269 Tunnel Avenue ,North Greenwich,,Greenwich,https://assemblestudio.co.uk/workspace/domeview-yard,10010266827,E09000011,Greenwich Peninsula,E05014082,51.49845,0.000308581,538944.1520999996,179619.92210000008,128
TRAFALGAR ROAD SE10,210-218 Trafalgar Rd,Greenwich,,Greenwich,https://www.arbeit.org.uk/new-cross-se14-1,100023229093 ,E09000011,East Greenwich,E05014076,51.485279,0.00640094,539407.2021000003,178166.88150000013,128
QUEERCIRCLE,"Building 4, Design District,", 3 Barton Yard,SE10 0BN,Greenwich,,,E09000011,Greenwich Peninsula,E05014082,51.49936,0.00572,539316.9724000003,179731.39310000092,128
Greenwich Picturehouse,,180 Greenwhich Rd,SE10 8NN,Greenwich,,200001082727,E09000011,Greenwich Park,E05014081,51.479438,-0.00969721,538307.1964999996,177486.86959999986,128
Odeon Greenwich,,Bugsby Way,SE10 0QJ,Greenwich,,10010223864,E09000011,Greenwich Peninsula,E05014082,51.490575,0.01274125,539831.1928000003,178767.87450000085,128
Vue Eltham,,,,Greenwich,,,E09000011,Eltham Town & Avery Hill,E05014079,51.4506,0.05675,543011.0935000004,174407.60960000008,128
Cineworld The O2 Greenwich,,The O2,SE10 0DX,Greenwich,www.cineworld.co.uk,10010224824,E09000011,Greenwich Peninsula,E05014082,51.503018,0.00449996,539221.1396000003,180135.83830000088,128
Paul McPherson Gallery,77 Lassell Street,,,Greenwich,http://www.paulmcgallery.com/#,100020981999,E09000011,East Greenwich,E05014076,51.48418555,0.00345882,539206.2646000003,178039.6984000001,128
Blackheath Gallery,34a Tranquil Vale,,,Greenwich,http://www.blackheath-gallery.co.uk/#,100023267656,E09000011,Blackheath Westcombe,E05014073,51.46587877,0.010547457,539754.3483999996,176017.4835000001,128
Greenwich Printmakers Gallery,1a Greenwich Market,,,Greenwich,http://www.greenwich-printmakers.org.uk/#,100023537574,E09000011,Greenwich Park,E05014081,51.48085705,-0.007576419,538450.1617999999,177648.67049999908,128
ArtFix Woolwich,51 Powis Street,,,Greenwich,artfix.org.uk,100023245973,E09000011,Woolwich Arsenal,E05014092,51.49073476,0.068102393,543673.7684000004,178892.78590000048,128
The Artworks,The Artwork Creekside,3 Creekside,,Greenwich,https://www.theartworkscreekside.com,100023281198,E09000011,Greenwich Park,E05014081,51.47609905,-0.020299452,537581.0559999999,177095.61769999936,128
Crixus Productions,Crixus Studios,Woolwich Church Street,,Greenwich,http://www.crixusproductions.co.uk/index.php/studio/,10010260156,E09000011,Woolwich Dockyard,E05014094,51.49223228,0.051976041,542549.6500000004,179027.79880000092,128
Cockpit Deptford,Cockpit Arts Deptford,18 - 22 Creekside,,Greenwich,www.cockpitarts.com,100023280408,E09000011,Greenwich Creekside,E05014080,51.4781107,-0.019060092,537661.0623000003,177321.63969999924,128
Greenwich Theatre,3 Crooms Hill,,,Greenwich,,10010200382,E09000011,Greenwich Park,E05014081,51.47946415,-0.007621808,538451.2292,177493.6952999998,128
The O2 Arena,Peninsula Square,,,Greenwich,https://www.theo2.co.uk,10010228254,E09000011,Greenwich Peninsula,E05014082,51.50292054,0.003185639,539130.2214000002,180122.50310000032,128
The Tramshed,51-53 Woolwich New Road,,,Greenwich,http://www.glypt.co.uk/tramshed/tramshedhistory/,100023246054,E09000011,Woolwich Arsenal,E05014092,51.48949713,0.068021085,543672.0131000001,178755.00239999965,128
Greenwich Dance,33-35 Royal Hill,,,Greenwich,www.greenwichdance.org.uk,100023227774,E09000011,Greenwich Park,E05014081,51.47806302,-0.0107391,538239.0077999998,177332.0075000003,128
"King Charles Court, Old Royal Naval College (Trinity ",King William Walk,,,Greenwich,https://www.trinitylaban.ac.uk/whats-on/our-venues/king-charles-court,10010216996,E09000011,Greenwich Park,E05014081,51.48358702,-0.007171472,538470.0087000001,177953.00620000064,128
Blackheath Halls,23 Lee Road,,,Greenwich,http://www.blackheathhalls.com,100023269695,E09000011,Blackheath Westcombe,E05014073,51.46437941,0.009627334,539695.0136000002,175849.00210000016,128
The Tramshed,41 Woolwich New Road,,,Greenwich,https://www.tramshed.org/,100023245449,E09000011,Woolwich Arsenal,E05014092,51.489729,0.068609625,543712.1404999997,178781.94079999998,128
Greenwich Dance,The Nest,Cygnet Square,Thamesmead,Greenwich,https://greenwichdance.org.uk/,10010224639,E09000011,Charlton Village & Riverside,E05014075,51.480557,0.037748523,541598.2072999999,177701.90630000085,128
Academy Performing Arts,"Building 40, Artillery Square",Royal Arsenal,Woolwich,Greenwich,http://www.better.org.uk/leisure-centre/london/greenwich/academy-performing-arts,10010214484,E09000011,Woolwich Arsenal,E05014092,51.49409739,0.068762397,543709.0137999998,179268.00239999965,128
Millenium Performing Arts,29 Thomas Street,,,Greenwich,http://www.mpacollege.co.uk,10010230583,E09000011,Woolwich Arsenal,E05014092,51.49073887,0.065694614,543506.6131999996,178888.52309999987,128
OMJ24 CREATIVE SPACE,71-73 Nathan Way,Room E,,Greenwich,,100023647167,E09000011,West Thamesmead,E05014091,51.49261665,0.092912164,545390.0113000004,179151.00320000015,128
