name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Alpine Club Archives,55/56 Charlotte Road, ,EC2A 3QF,Hackney,http://www.alpine-club.org.uk/ac2/ac-media/archive,10008348373,E09000012,Hoxton East & Shoreditch,E05009377,51.52591939,-0.080662628,533244.0118000004,182524.0019000005,511
British Plastics Federation,5 - 6 Bath Place ,Rivington Street ,EC2A 3JE,Hackney,http://www.bpf.co.uk/,10008338301,E09000012,Hoxton East & Shoreditch,E05009377,51.52631281,-0.082722063,533100.0119000003,182564.00200000033,511
Campaign for Better Transport ,16 Waterside ,44-48 Wharf Road ,N1 7UX,Hackney,https://bettertransport.org.uk/,10008319406,E09000012,Hoxton West,E05009378,51.5319723,-0.096152741,532152.0133999996,183168.9989,511
Museum of the Home (formerly Geffrye Museum) ,Kingsland Road, ,E2 8EA,Hackney,https://www.geffrye-museum.org.uk/,100000000000,E09000012,Haggerston,E05009375,51.53155722,-0.076244067,533534.0126999998,183158.9985000007,511
Hackney Archives,Dalston CLR James Library and Hackney Archives ,Dalston Square  Dalston Lane,E8 3BQ,Hackney,https://hackney.gov.uk/article/3498/Archives-and-local-history,,E09000012,Dalston,E05009370,51.54613,-0.07417,533635.1979,184783.3367999997,511
"Hackney Public Libraries, Stoke Newington District Li", Church Street,Stoke Newington ,N16 OJS,Hackney,https://www.hackney.gov.uk/stoke-newington-library,100000000000,E09000012,Clissold,E05009369,51.5616189,-0.082795826,532992.0121999998,186490.00290000066,511
Livability (Shaftesbury Society),50 Scrutton Street, ,EC2A 4XQ,Hackney,https://livability.org.uk/about-us/history-and-track-record/,100000000000,E09000012,Hoxton East & Shoreditch,E05009377,51.52326552,-0.081149086,533218.0116999997,182228.00170000084,511
Museum of London: London Archaeological Archive and R,Mortimer Wheeler House ,46 Eagle Wharf Road ,N1 7ED,Hackney,https://www.museumoflondon.org.uk/collections/other-collection-databases-and-libraries/museum-london-arc,100000000000,E09000012,Hoxton West,E05009378,51.53473431,-0.090702331,532522.0126999998,183485.99990000017,511
National Society for the Prevention of Cruelty to Chi,Library and Information Service Weston House 42 Cu, ,EC2A 3NH,Hackney,https://www.nspcc.org.uk/,100000000000,E09000012,Hoxton East & Shoreditch,E05009377,51.52340481,-0.080126923,533288.5116999997,182245.35270000063,511
Railfuture,207 The Colourworks ,2 Abbot Street ,E8 3DP,Hackney,https://www.railfuture.org.uk/Welcome+to+Railfuture,10008240634,E09000012,Dalston,E05009370,51.54712954,-0.074981487,533576.0087000001,184893.00620000064,511
Praxis N16,First Floor,3-9 Belfast Rd,,Hackney,https://www.facebook.com/praxisn16artiststudios/,10008313250,E09000012,Cazenove,E05009368,51.56555751,-0.072371521,533703.0122999996,186947.00269999914,511
Netil House,Netil House,1 Westgate Street,,Hackney,eatworkart.com,100023015639,E09000012,London Fields,E05009381,51.53756412,-0.057705951,534802.0044999998,183861.0114999991,511
Worship Street,50 Worship St,Shoreditch,,Hackney,http://www.v22collection.com,10008400568,E09000012,Hoxton East & Shoreditch,E05009377,51.5219245,-0.083829052,533036.0115999999,182074.00200000033,511
Standpoint London,45 Coronet Street,,,Hackney,http://www.standpointlondon.co.uk/,10091816467,E09000012,Hoxton East & Shoreditch,E05009377,51.5270715,-0.081825164,533160.0120999999,182650.00170000084,511
Hoxton Hall,130 Hoxton Street,,,Hackney,www.hoxtonhall.co.uk,100023135706,E09000012,Hoxton East & Shoreditch,E05009377,51.53175017,-0.079782839,533288.0127999997,183173.9989,511
Sara Lane,60 Stanway Street,Hackney,,Hackney,www.spacestudios.org.uk,100023651845,E09000012,Hoxton East & Shoreditch,E05009377,51.53318399,-0.078929432,533343.0126999998,183334.9997000005,511
Timber Wharf -Block C,238-240 Kingsland Road,Hackney,,Hackney,www.spacestudios.org.uk,100023546631,E09000012,Haggerston,E05009375,51.53589392,-0.075841961,533549.2103000004,183641.99010000005,511
Orsman Road,15 Orsman Road,Hoxton,,Hackney,www.acme.org.uk,10008242975,E09000012,Hoxton East & Shoreditch,E05009377,51.53614877,-0.078761295,533346.0109000001,183664.9985000007,511
Studio Manifold,Ermine Mews,Laburnum Street,,Hackney,http://www.studiomanifold.org/about/,10008324060,E09000012,Haggerston,E05009375,51.53613283,-0.075856685,533547.4900000002,183668.53089999966,511
Southgate Studios,2-4 Southgate Road,,,Hackney,http://www.whitechapelgallery.org/first-thursdays/galleries/southgate-studios/,10008307552,E09000012,De Beauvoir,E05009371,51.53770691,-0.086049946,532836.0115,183824.99760000035,511
Hertford Road Studios,32A Hertford Road,,,Hackney,http://www.artworksproject.com/docs/info.html,10008225561,E09000012,De Beauvoir,E05009371,51.53872642,-0.078566189,533352.0091000004,183951.99719999917,511
Triangle,129-131 Mare Street,Hackney,,Hackney,www.spacestudios.org.uk,100023546930,E09000012,London Fields,E05009381,51.53844286,-0.057553178,534810.0043000001,183959.01190000027,511
The Rose Lipman Building ,43 De Beauvoir Road ,,,Hackney,www.themillcoproject.co.uk,10091900721,E09000012,De Beauvoir,E05009371,51.53896522,-0.081613285,533140.0108000003,183972.99400000088,511
Terrace Studios Gallery,4-17 Frederick Terrace,,,Hackney,https://www.facebook.com/TERRACE.STUDIOS.GALLERY/,10008320415,E09000012,London Fields,E05009381,51.53954391,-0.075777387,533543.0089999996,184048.00060000084,511
Martello,10 Martello Street,Hackney,,Hackney,www.spacestudios.org.uk,100023016498,E09000012,London Fields,E05009381,51.54106797,-0.058595104,534730.0103000002,184249.00850000046,511
Victor House,282a Richmond Road,Hackney,,Hackney,www.spacestudios.org.uk,10008339866,E09000012,Hackney Central,E05009372,51.54387614,-0.059831322,534636.0130000003,184559.00549999997,511
Mainyard Studios,90-94 Wallis Rd,,,Hackney,https://mainyardstudios.co.uk,10008337819,E09000012,Hackney Wick,E05009374,51.54439017,-0.022729636,537207.0119000003,184685.0030000005,511
Cell Project,115 WALLIS ROAD,,,Hackney,cellprojects.org,10008346528,E09000012,Hackney Wick,E05009374,51.54470612,-0.023869727,537127.0119000003,184718.00310000032,511
117 Wallis Road,117 Wallis road ,Hackney Wick,,Hackney,www.arbeit.org.uk / www.arebyte.com,10008336713,E09000012,Hackney Wick,E05009374,51.544736,-0.023507873,537152.0119000003,184722.00290000066,511
Deborah House,Retreat Place,Hackney,,Hackney,www.spacestudios.org.uk,10008342937,E09000012,Homerton,E05009376,51.5452378,-0.049216113,535368.0109000001,184730.00249999948,511
Limberg Films,169 Balls Pond Rd,,,Hackney,www.artcoreint.net,10008297950,E09000012,De Beauvoir,E05009371,51.54639144,-0.082613412,533049.0070000002,184797.00709999911,511
Belsham,16 Belsham Street,Hackney,,Hackney,www.spacestudios.org.uk,10091775557,E09000012,Homerton,E05009376,51.5460622,-0.051748168,535190.0115999999,184817.0030000005,511
Dalston,"10-16 Ashwin Street, London, E8 3DL",,,Hackney,http://www.v22collection.com,10008241411,E09000012,Dalston,E05009370,51.54674074,-0.074305591,533624.0093,184851.00540000014,511
"Francis Upritchard, Daniel Silver and Martino Gamper",Belsham Street,,,Hackney,,10091775559,E09000012,Homerton,E05009376,51.54645856,-0.051940816,535175.4818000002,184860.72340000048,511
Bootstrap Charity,18-22 Ashwin St,,,Hackney,http://www.bootstrapcompany.co.uk/,10008346228,E09000012,Dalston,E05009370,51.54696352,-0.074728878,533594.0088999998,184875.00569999963,511
Sarabande Studios,22 Hertford Road,,,Hackney,www.sarabandefoundation.org,10008307498,E09000012,De Beauvoir,E05009371,51.53812812,-0.078822119,533336.0093,183884.99689999968,511
A side B side gallery,352 Mare St,,,Hackney,www.asidebsidegallery.com,10008305042,E09000012,Hackney Central,E05009372,51.54737642,-0.05453345,534993.0133999996,184958.00659999996,511
Hatch,Unit G2,8 Mackintosh Lane,,Hackney,http://hatch-homerton.co.uk/,10008301285,E09000012,Homerton,E05009376,51.54734988,-0.042555944,535823.5080000004,184977.19239999913,511
Eastway,80c Eastway,Hackney,,Hackney,www.spacestudios.org.uk,10008341867,E09000012,Hackney Wick,E05009374,51.54716562,-0.029489133,536730.0116999997,184981.00229999982,511
Cell Studios Ridley Road,89 RIDLEY ROAD,,,Hackney,cellprojects.org,10008320277,E09000012,Dalston,E05009370,51.54842551,-0.070671927,533871.0111999996,185045.0036999993,511
Unit 7 Stamford Works,Gillett Square ,,,Hackney,http://opensource.london/about,10008242129,E09000012,Dalston,E05009370,51.54932153,-0.076490034,533465.0103000002,185134.00459999964,511
Matchmakers Wharf,Homerton Road,Homerton,,Hackney,www.acme.org.uk,10008325827,E09000012,King's Park,E05009379,51.55170739,-0.031124787,536603.0107000005,185483.00239999965,511
Absorb Arts,10-28 millers Ave ,Dalston ,,Hackney,Absorb-arts.co.uk and printclublondon.com,10091940511,E09000012,Shacklewell,E05009382,51.55243575,-0.074469156,533596.0120999999,185484.00280000083,511
Lighthouse Studios,73-75 & 89a Shacklewell Lane,,,Hackney,www.lighthousespace.co.uk,10008320328,E09000012,Shacklewell,E05009382,51.55274138,-0.071181865,533823.0122999996,185524.00210000016,511
Cognative Collective,Unit 4 Tilia Rd,,,Hackney,www.artcoreint.net,100023548454,E09000012,Hackney Downs,E05009373,51.55290465,-0.055480648,534911.0149999997,185571.00579999946,511
Hackney Downs Studios, 17 Amhurst Terrace,Lower Clapton,,Hackney,eatworkart.com,10008337805,E09000012,Shacklewell,E05009382,51.55476372,-0.066754358,534124.0137999998,185757.0036999993,511
Stoke Newington,184 Church Street,Hackney,,Hackney,www.spacestudios.org.uk,207096173,E09000012,Clissold,E05009369,51.5616189,-0.082795826,532992.0121999998,186490.00290000066,511
Politi Arts,"1st Floor, Units 2-4",10-12G Manor Rd,,Hackney,www.artcoreint.net,100000000000,E09000012,Stamford Hill West,E05009384,51.56602112,-0.074862551,533529.0122999996,186994.00310000032,511
Cell Studios Grosvenor Works,Grosvenor Way,Mount Pleasant Hill,Clapton,Hackney,cellprojects.org,10008336688,E09000012,Lea Bridge,E05009380,51.56609206,-0.051397889,535155.0121999998,187045.00180000067,511
Murder Mile Studios,12 Grosvenor Way,,,Hackney,www.artcoreint.net,100023007799,E09000012,Lea Bridge,E05009380,51.56617233,-0.05189949,535120.0131999999,187053.00269999914,511
Haggerston Stour Studios,258 Kingsland road,Dalston,,Hackney,https://www.stourstudios.co.uk/contact-us,100023016582,E09000012,Haggerston,E05009375,51.537312,-0.07631648,533512.1535,183798.81849999912,511
