name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Harrods Archive,68-72 Hammersmith Road, ,W14 8YW,Hammersmith and Fulham,,34142299,E09000013,Brook Green,E05013735,51.49454912,-0.213626532,524106.01240000036,178802.00280000083,106
Catholic Union of Great Britain,St Maximilian Kolbe House ,63 Jeddo Road ,W12 9EE,Hammersmith and Fulham,http://catholicunion.org.uk/,34000250,E09000013,Wendell Park,E05013750,51.50441554,-0.248918069,521630.0131999999,179840.00280000083,106
Hammersmith and Fulham Archives and Local History Cen,First Floor Hammersmith Library Shepherd's Bush Ro, ,W6 7AT,Hammersmith and Fulham,https://www.lbhf.gov.uk/libraries/local-studies-and-archives,34027231,E09000013,Brook Green,E05013735,51.49458469,-0.223666292,523409.0116999997,178789.0014999993,106
Latymer Upper School,King Street, ,W6 9LR,Hammersmith and Fulham,http://www.latymer-upper.org/,34004704,E09000013,Ravenscourt,E05013746,51.49273648,-0.237063395,522484.0127999997,178561.0025999993,106
National Federation of Women's Institutes,104 New Kings Road, ,SW6 4LY,Hammersmith and Fulham,https://www.thewi.org.uk/,34044214,E09000013,Fulham Town,E05013739,51.47223329,-0.203871557,524844.0120000001,176337.00249999948,106
Polish Library POSK,Polish Social and Cultural Centre ,238-246 King Street ,W6 0RF,Hammersmith and Fulham,http://www.posk.org/c5/en/library/about-library/,34006639,E09000013,Ravenscourt,E05013746,51.49351545,-0.237436695,522456.01269999985,178647.0022,106
Rogers Stirk Harbour + Partners,Thames Wharf ,Rainville Road ,W6 9HA,Hammersmith and Fulham,https://www.rsh-p.com/,34024755,E09000013,Fulham Reach,E05013738,51.48362317,-0.224294009,523395.01290000044,177569.0014999993,106
Society for Psychical Research,1 Vernon Mews ,West Kensington ,W14 0RL,Hammersmith and Fulham,https://www.spr.ac.uk/,34037603,E09000013,Avonmore,E05013734,51.49391403,-0.210309174,524338.0124000004,178737.0033999998,106
St Paul's Girls' School,Brook Green ,Hammersmith ,W6 7BS,Hammersmith and Fulham,https://spgs.org/,34026608,E09000013,Brook Green,E05013735,51.4951319,-0.218833263,523743.0122999996,178858.00320000015,106
The Nutrition Society,10 Cambridge Court,210 Shepherds Bush Road ,W6 7NJ,Hammersmith and Fulham,https://www.nutritionsociety.org/,34028103,E09000013,Brook Green,E05013735,51.49533778,-0.22470308,523335.0115,178871.00100000016,106
V&A Archive of Art and Design,Blythe House 23 Blythe Road, ,W14 0QX,Hammersmith and Fulham,https://www.vam.ac.uk/info/archive-of-art-and-design,34062985,E09000013,Brook Green,E05013735,51.49641388,-0.213841724,524086.0125000002,179009.00329999998,106
V&A Department of Theatre and Performance,23 Blythe Road, ,W14 0QX,Hammersmith and Fulham,https://www.vam.ac.uk/collections/theatre-performance,34062985,E09000013,Brook Green,E05013735,51.49641388,-0.213841724,524086.0125000002,179009.00329999998,106
William Morris Society,Kelmscott House ,26 Upper Mall  Hammersmith,W6 9TA,Hammersmith and Fulham,https://williammorrissociety.org/,34008094,E09000013,Ravenscourt,E05013746,51.49058179,-0.235504366,522598.0142000001,178324.00239999965,106
Faroe Rd,23 - 29 Faroe Rd,,,Hammersmith and Fulham,www.acava.org,34034840,E09000013,Brook Green,E05013735,51.49859209,-0.21515405,523989.0126,179249.0030000005,106
Hetley Rd,62 Hetley Rd,,,Hammersmith and Fulham,www.acava.org,34100876,E09000013,Coningham,E05013737,51.50456464,-0.2336672,522688.0119000003,179882.00229999982,106
Northwest & NW10 Studios,Cadogen House,60 Hythe Road,,Hammersmith and Fulham,https://nwstudios.wordpress.com,34141600,E09000013,College Park & Old Oak,E05013736,51.52659825,-0.236173141,522455.0120000001,182328.0014999993,106
