name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Alexandra Park and Palace Charitable Trust,Alexandra Palace Way, ,N22 7AY,Haringey,http://www.alexandrapalace.com/,10003974918,E09000014,Alexandra Park,E05013585,51.59448347,-0.130501429,529592.0124000004,190059.00039999932,163
Evangelical Library,5/6 Gateway Mews,Ringway Bounds Green ,N11 2UT,Haringey,http://www.evangelical-library.org.uk/,10003984141,E09000014,Bounds Green,E05013586,51.60960732,-0.13437207,529281.0148999998,191734.00180000067,163
George Padmore Institute,76 Stroud Green Road, ,N4 3EN,Haringey,https://www.georgepadmoreinstitute.org/,100000000000,E09000014,Stroud Green,E05013600,51.56813088,-0.109447471,531126.0133999996,187166.0008000005,163
Haringey Archive Service,Bruce Castle Museum ,Lordship Lane  ,N17 8NU,Haringey,https://www.haringey.gov.uk/libraries-sport-and-leisure/culture-and-entertainment/visiting-haringey/hari,100000000000,E09000014,Bruce Castle,E05013587,51.5991501,-0.075440905,533392.0135000004,190677.00100000016,163
Highgate School Archives,Highgate School North Road, ,N6 4AY,Haringey,https://www.highgateschool.org.uk/about/museum-and-archive,100000000000,E09000014,Highgate,E05013592,51.57220174,-0.149324045,528351.0118000004,187548.00170000084,163
Moravian Church Archive and Library,Moravian Church House 5-7 Muswell Hill, ,N10 3TJ,Haringey,http://www.moravian.org.uk/index.php/church-house/church-archives,10003979924,E09000014,Muswell Hill,E05013594,51.58751364,-0.134410693,529341.0118000004,189277.0030000005,163
"Park Sudios, Finsbury Park",Park Sudios,34 Scarborough Road,,Haringey,http://www.parkstudioslondon.org/,100023190785,E09000014,Stroud Green,E05013600,51.57058187,-0.106416534,531329.0126999998,187444.0014999993,163
New River Studios,199 Eade Road,,,Haringey,http://www.newriverstudios.com/,10003975439,E09000014,Hermitage & Gardens,E05013591,51.57495228,-0.088137877,532583.0126999998,187963.00200000033,163
PJR Creative Building,718 Seven Sisters Rd,,,Haringey,https://www.pjrcreativebuilding.co.uk/,100023153865,E09000014,Seven Sisters,E05013598,51.5804164,-0.078036318,533267.0127999997,188589.00170000084,163
The Mill Co.,Bernard Works,23 Bernard Road ,,Haringey,www.themillcoproject.co.uk,10003978049,E09000014,South Tottenham,E05013599,51.58210093,-0.068366781,533932.0129000004,188794.00100000016,163
PJR Creative Building,Unit 7,2 Norman Rd,,Haringey,https://www.pjrcreativebuilding.co.uk/,10093591482,E09000014,South Tottenham,E05013599,51.58254221,-0.06840582,533928.0129000004,188843.00100000016,163
Bones and Pearl,60-68 Markfield Road,,,Haringey,http://bonesandpearl.moonfruit.com/contact/4589196098,10090481197,E09000014,South Tottenham,E05013599,51.58343971,-0.063936386,534235.0153000001,188951.00280000083,163
Euro Art Studios,"Units 4-6 Gaunson House, Markfield Road",,,Haringey,www.euroart.co.uk,200002797261,E09000014,South Tottenham,E05013599,51.58375702,-0.063547609,534261.0148999998,188987.00280000083,163
Gaunson House ,"Unit 3, Markfield Road ",,,Haringey,www.themillcoproject.co.uk,10095639241,E09000014,South Tottenham,E05013599,51.58376601,-0.063547228,534261.0148,188988.00320000015,163
Collage Artspaces,Chocolate Factory 2,4 Coburg Road,,Haringey,www.collage-arts.org,10022939979,E09000014,Noel Park,E05013595,51.59419545,-0.113072676,530800.0120999999,190058.0008000005,163
Collage Artspace 3,40 Cumberland Road,,,Haringey,https://collage-arts.org/,100023179378,E09000014,Woodside,E05013605,51.597201,-0.11285795,530806.2610999998,190392.61620000005,163
Vivid Studios,Florentia Clothing Village,Vale Road,,Haringey,https://vivid-studios.com/#!/welcome,10093589894,E09000014,Hermitage & Gardens,E05013591,51.576583,-0.088513583,532552.2412,188143.66279999912,163
Gaunson Creative Studios,"Gaunson House, 
Markfield Rd",,,Haringey,http://gaunsoncreativestudios.co.uk/,200002964929 ,E09000014,South Tottenham,E05013599,51.583772,-0.063528936,534262.2643999998,188988.70289999992,163
Collage Artspace 4,191 High Rd,London ,,Haringey,https://collage-arts.org/,No UPRN,E09000014,Noel Park,E05013595,51.59549214,-0.109789205,531023.7106999997,190208.07850000076,163
Collage Artspace 5,Clarendon Yard,33/45 Coburg Rd,,Haringey,https://collage-arts.org/,No UPRN,E09000014,Noel Park,E05013595,51.59369371,-0.11368335,530759.1535999998,190001.11260000058,163
Bernie Grant Arts Centre ,Town Hall Approach Rd ,Tottenham Green,N15 4RX,Haringey,https://www.berniegrantcentre.co.uk/,10003985252,E09000014,Tottenham Central,E05013601,51.58747503,-0.073075943,533590.0121999998,189383.00239999965,163
Jacksons Lane ,269A Archway Rd,Highgate,N6 5AA,Haringey,https://www.jacksonslane.org.uk/,100023000000,E09000014,Highgate,E05013592,51.57668107,-0.145404162,528610.0108000003,188053.00119999982,163
Arthouse Crouch End,,159A Tottenham Lane,N8 9BT,Haringey,,100023208418,E09000014,Crouch End,E05013588,51.581831,-0.11999002,530356.2303999998,188670.6629000008,163
Cineworld Wood Green,The Mall Wood Green,High Rd,N22 6LU,Haringey,,10003977027,E09000014,Noel Park,E05013595,51.59436,-0.10807,531146.0422,190085.26239999942,163
Crouch End Picturehouse,,165 Tottenham Lane,N8 9BY,Haringey,,100023207152,E09000014,Crouch End,E05013588,51.581401,-0.1206717,530310.2302000001,188621.62989999913,163
Everyman Muswell Hill,,Fortis Green Rd,N10 3HP,Haringey,,100023143835,E09000014,Muswell Hill,E05013594,51.589604,-0.14621733,528517.2377000004,189488.6621000003,163
Vue Wood Green,Hollywood Green ,180 High Road ,N22 6EJ,Haringey,,10003971546,E09000014,Noel Park,E05013595,51.59701,-0.1089,531080.9342,190378.4656000007,163
renj Art Gallery,94 Alexandra Park Road,,,Haringey,http://www.narenj.co.uk/#,100023143066,E09000014,Alexandra Park,E05013585,51.59785152,-0.137075983,529127.0960999997,190421.91929999925,163
Highgate Contemporary Art,"Unit B307, The Chocolate Factory",5 Clarendon Road,,Haringey,http://www.highgateart.com/#,100023656707,E09000014,Noel Park,E05013595,51.594564,-0.11491639,530671.2534999996,190095.68820000067,163
Areaworks,Areaworks Manor House,Unit 5 Manor House,2 Overbury Road,Haringey,http://areaworks.com/,10090477296,E09000014,Hermitage & Gardens,E05013591,51.57553108,-0.085753703,532746.5341999996,188031.69380000047,163
Clockwise Group LTD,Greenside House,50 Station Road,,Haringey,https://work-clockwise.com/,100023552823 ,E09000014,Woodside,E05013605,51.596838,-0.11317623,530785.2587000001,190351.67950000055,163
The Trampery Tottenham,639 High Road,London,,Haringey,https://thetrampery.com/spaces/workspaces/tottenham/,100023166217,E09000014,Bruce Castle,E05013587,51.599096,-0.068465165,533875.2772000004,190683.74379999936,163
Blighty Workspace Tottenham ,266 High road,Tottenham,London,Haringey,http://blightyworkspace.co.uk/,100023152640,E09000014,South Tottenham,E05013599,51.585709,-0.07135704,533714.2648999998,189189.75620000064,163
Ten87 Studios,Ten87 Studios,39a Markfield Road,,Haringey,http://ten87studios.com,10022939575,E09000014,South Tottenham,E05013599,51.58261938,-0.063368807,534276.7504000003,188860.8219000008,163
Blue House Yard,Blue House Yard,5 River Park Road,,Haringey,https://www.bluehouseyard.com/,10003979415,E09000014,Noel Park,E05013595,51.59655219,-0.110371374,530980.3431000002,190324.9177000001,163
The Mill Co. Project,Carvall Warehouse,Bernard Works,23 Bernard Road,Haringey,www.themillcoproject.co.uk,10003979581,E09000014,South Tottenham,E05013599,51.58205441,-0.066193371,534082.7268000003,188792.81259999983,163
Bernie Grant Centre,Bernie Grant Arts Centre,Bernie Grant Arts Centre,Town Hall Approach,Haringey,https://www.berniegrantcentre.co.uk/hire/workspace/,10003985252,E09000014,Tottenham Central,E05013601,51.58697103,-0.071485188,533701.6869999999,189329.86439999938,163
The Mill Co. Project,The Cannon Factory,16 Ashley Road,,Haringey,www.themillcoproject.co.uk,10022940861,E09000014,Tottenham Hale,E05013602,51.58993416,-0.060285531,534468.7893000003,189679.92349999957,163
The Mill Co. Project,Gaunson House,"Unit 3, Markfield Road",,Haringey,www.themillcoproject.co.uk,10093592040,E09000014,South Tottenham,E05013599,51.58326133,-0.061941201,534373.7631000001,188934.8309000004,163
Florentia Clothing Village,Vale Road,London,,Haringey,https://www.soandsomanor.co.uk,100023183313,E09000014,Hermitage & Gardens,E05013591,51.57613337,-0.086839798,532669.5255000005,188096.69879999943,163
Collage Artspace 2,4 Coburg Road,Wood Green,,Haringey,http://www.collage-arts.org/collage-arts/,100023178707 ,E09000014,Noel Park,E05013595,51.594184,-0.1130841,530799.2537000002,190056.70710000023,163
639 Centre,639 High Road,Tottenham  ,,Haringey,https://www.launchit.org.uk/launch-it-london,100023166217 ,E09000014,Bruce Castle,E05013587,51.599096,-0.068465165,533875.2772000004,190683.74379999936,163
Tottenham Green Enterprise Centre,Town Hall Approach Road,,,Haringey,https://www.launchit.org.uk/launch-it-london,10003975936,E09000014,Tottenham Central,E05013601,51.587579,-0.072418269,533635.2668000003,189395.76659999974,163
Papertank Collective,Papertank Collective,Unit 12 Millmead Industrial Estate,Millmead Road,Haringey,http://www.papertankcollective.com/?COLLCC=2285603521,100023166838,E09000014,Tottenham Hale,E05013602,51.59213,-0.05726,534671.8786000004,189929.68290000036,163
The Trampery Tottenham,639 High Road,London,,Haringey,https://thetrampery.com/spaces/workspaces/tottenham/,100023166217,E09000014,Bruce Castle,E05013587,51.599096,-0.068465165,533875.2772000004,190683.74379999936,163
Ten87 Studios,High Cross Centre,Unit 2a Fountayne Rd,,Haringey,https://ten87.studio/locations/high-cross-centre/,No UPRN,E09000014,South Tottenham,E05013599,51.58492,-0.0616,534392.5133999996,189119.90929999948,163
Gaunson House N15,Markfield Road,Seven Sisters,,Haringey,https://www.thegreenhouselondon.com/gaunson-house-n15,200002964929 ,E09000014,South Tottenham,E05013599,51.583772,-0.063528936,534262.2643999998,188988.70289999992,163
Studio 206,The Archives,Fountayne Road,Tottenham,Haringey,https://purposegroup.co.uk ,No UPRN,E09000014,South Tottenham,E05013599,51.58561,-0.06073,534450.7493000003,189198.24000000022,163
Tottex,Tottex unit 1a,Kingfisher place,Clarendon Road,Haringey,https://tottex.co.uk,100023655254,E09000014,Noel Park,E05013595,51.59426,-0.1139039,530742.2533999998,190063.69219999947,163
Alexandra Palace,33 Alexandra Palace Way,,,Haringey,http://www.alexandrapalace.com,10003974918,E09000014,Alexandra Park,E05013585,51.59448347,-0.130501429,529592.0124000004,190059.00039999932,163
Bernie Grant Arts Centre,Town Hall Approach,,,Haringey,http://www.berniegrantcentre.co.uk,10003985252,E09000014,Tottenham Central,E05013601,51.58747503,-0.073075943,533590.0121999998,189383.00239999965,163
Jacksons Lane,269A Archway Road,,,Haringey,www.jacksonslane.org.uk/space-hire,100023196841,E09000014,Highgate,E05013592,51.57668107,-0.145404162,528610.0108000003,188053.00119999982,163
Upstairs at the Gatehouse,1 North Road,,,Haringey,http://www.upstairsatthegatehouse.com,100023194241,E09000014,Highgate,E05013592,51.5717955,-0.150365124,528280.0120000001,187501.00159999914,163
New London Performing Arts Centre,76 St James Lane,Muswell Hill,,Haringey,www.nlpac.co.uk,10003973500,E09000014,Muswell Hill,E05013594,51.588142,-0.13965084,528976.2308,189337.63069999963,163
Mill Mead Rehearsal Studios,16 Millmead Business Centre,,,Haringey,http://www.ballystudios.co.uk,10003979046,E09000014,Tottenham Hale,E05013602,51.59190845,-0.056199157,534746.0131000001,189907.00129999965,163
New London Performing Arts Centre,76 St James Lane,,,Haringey,http://www.nlpac.co.uk,10003973500,E09000014,Muswell Hill,E05013594,51.58814492,-0.139625056,528978.0087000001,189338.00090000033,163
The Annex,7 Fountayne Road,,,Haringey,http://www.theannexspace.com/tohire/,10090478351,E09000014,South Tottenham,E05013599,51.58371267,-0.062495764,534334.0146000003,188984.00290000066,163
The Room,33 Holcombe Road,,,Haringey,http://the-room.org.uk/contact/,100021191820,E09000014,Tottenham Hale,E05013602,51.59279163,-0.065011594,534133.0138999997,189989.0008000005,163
Bernie Grant Arts Centre,Town Hall Approach,,,Haringey,http://www.berniegrantcentre.co.uk,10003985252,E09000014,Tottenham Central,E05013601,51.58747503,-0.073075943,533590.0121999998,189383.00239999965,163
Jacksons Lane,269A Archway Road,,,Haringey,www.jacksonslane.org.uk/space-hire,100023196841,E09000014,Highgate,E05013592,51.57668107,-0.145404162,528610.0108000003,188053.00119999982,163
Upstairs at the Gatehouse,1 North Road,,,Haringey,http://www.upstairsatthegatehouse.com,100023194241,E09000014,Highgate,E05013592,51.5717955,-0.150365124,528280.0120000001,187501.00159999914,163
Lindsey Tait,Unit 10,5 Fountayne Road,,Haringey,http://www.lindseytaitdesign.com/,10003982936,E09000014,South Tottenham,E05013599,51.58407991,-0.062407979,534339.0144999996,189025.00280000083,163
London Garment Services,Unit 2 Guillemot Place,Clarendon Road,,Haringey,http://www.londongarmentservices.com,100023179272,E09000014,Noel Park,E05013595,51.59511823,-0.114535993,530696.0120999999,190158.00119999982,163
Fashion Cube Ltd,Unit 6,41 West Road,,Haringey,http://www.fashioncubelondon.co.uk/,10022938315,E09000014,Northumberland Park,E05013596,51.60726319,-0.058648435,534531.0121999998,191610.00180000067,163
Fashion Enter Ltd,Unit 14,167 Hermitage Road,,Haringey,http://www.fashion-enter.com,100020648500,E09000014,Hermitage & Gardens,E05013591,51.57703655,-0.091326582,532356.0124000004,188189.00210000016,163
London Sewing Services,Unit 3 Neville Place,High Road,,Haringey,http://londonsewingservices.com/,10003975775,E09000014,Woodside,E05013605,51.60133137,-0.112820362,530797.0124000004,190852.00019999966,163
Unlimited Fashion ,Unit A4 Bounds Green Industrial Estate, Ring Way,,Haringey,http://www.unlimitedfashion.co.uk/,No UPRN,E09000014,Bounds Green,E05013586,51.61020511,-0.136340625,529143.017,191797.00159999914,163
Rosamanda,Unit D3,15 Tariff Road,,Haringey,https://www.rosamandapleaters.com,10003979472,E09000014,Northumberland Park,E05013596,51.60746347,-0.061513861,534332.0121999998,191627.00159999914,163
The Albion Knitting Company,Unit 12 Crusader Industrial Estate,Hermitage Road,,Haringey,http://www.albionknit.london/,100023551885,E09000014,Hermitage & Gardens,E05013591,51.57733639,-0.09151608,532342.0124000004,188222.00239999965,163
Msample Ltd,Unit U15 Highcross Centre,15-16 Fountayne Road,,Haringey,http://www.msamplelondon.com/,10003976574,E09000014,South Tottenham,E05013599,51.58565368,-0.062413243,534334.0143999998,189200.0030000005,163
Florentia Clothing Village,"108 Vale Rd, Harringay Warehouse District, London ",,,Haringey,https://clothingvillage.com/,100023183313,E09000014,Hermitage & Gardens,E05013591,51.576636,-0.088453632,532556.2412999999,188149.6654000003,163
MAES London,"2nd Floor, The Archives, Unit 10 High Cross Centre",,,Haringey,http://www.maeslondon.com/,No UPRN,E09000014,South Tottenham,E05013599,51.58561,-0.06073,534450.7493000003,189198.24000000022,163
Apollo Star,"Studio 70, Millmead Business Centre, London N17 9Q",,,Haringey,http://apollostar.co.uk,100023166840,E09000014,Tottenham Hale,E05013602,51.591898,-0.056210287,534745.2730999999,189905.81870000064,163
Sophia Sampling & Production,"Studio 18, Highcross Centre, Unit 15&16, Fountayne",,,Haringey,https://www.ssamplelondon.com/,No UPRN,E09000014,South Tottenham,E05013599,51.58539,-0.06078,534447.9341000002,189173.68310000002,163
Cartal LTD,Unit 7 Astergrove Works 41 West Road London N17 0R,,,Haringey,https://cartal.co.uk/,100023163988,E09000014,Northumberland Park,E05013596,51.607279,-0.05865837,534530.2775999997,191611.74159999937,163
Double Stitches,"Double Stitches Unit 6A, Josh & Nicol House Bounds",,,Haringey,https://www.doublestitches.co.uk/,No UPRN,E09000014,Bounds Green,E05013586,51.60994,-0.13591,529173.5848000003,191768.2804000005,163
Eurotrim Design Limited T\A Julie Anna,"1st Floor, 1 Fountayne Road, London, N15 4QL",,,Haringey,https://julieanna.co.uk/,100023153249,E09000014,South Tottenham,E05013599,51.584546,-0.06245674,534334.2637,189076.7444000002,163
The Sampling Unit Ltd,"Unit 4, Tavistock Rd, Harringay Warehouse District",,,Haringey,https://thesamplingunit.com/,100023552852,E09000014,Hermitage & Gardens,E05013591,51.576519,-0.087881265,532596.2406000001,188137.69260000065,163
Fashion clothing Factory,"Fashion clothing Factory Unit 6, Fountayne House, ",,,Haringey,https://fashionclothingfactory.co.uk,10003973837,E09000014,South Tottenham,E05013599,51.584693,-0.063186664,534283.2643999998,189091.75049999915,163
Clothing Manufacturers UK,"Unit 59, Mill Industrial Centre Mill Mead Road Lon",,,Haringey,https://www.clothingmanufacturersuk.com/,100023655808,E09000014,Tottenham Hale,E05013602,51.592171,-0.056458464,534727.2761000004,189935.72000000067,163
Tottex,"Tottex unit 1a, Kingfisher place, Clarendon Road, ",,,Haringey,https://tottex.co.uk,100023655254,E09000014,Noel Park,E05013595,51.59426,-0.1139039,530742.2533999998,190063.69219999947,163
Stroud Green and Harringay Library,,,,Haringey,,100023191010,E09000014,Harringay,E05013590,51.57704541,-0.104800835,531422.3614999996,188165.67650000006,163
Hornsey Library,,,,Haringey,,10022939468,E09000014,Crouch End,E05013588,51.5777629,-0.120331171,530344.2181000002,188217.6634999998,163
St Ann's Library,,,,Haringey,,100023153820,E09000014,St Ann's,E05013597,51.58041502,-0.081376662,533035.5839,188582.7631000001,163
Marcus Garvey Library,,,,Haringey,,100023153172,E09000014,Tottenham Central,E05013601,51.58767917,-0.072436947,533633.6793999998,189406.87170000002,163
Muswell Hill Library,,,,Haringey,,100023143844,E09000014,Muswell Hill,E05013594,51.59062359,-0.141789878,528821.0447000004,189609.82890000008,163
Wood Green Central Library and Customer Services,,,,Haringey,,100023178365,E09000014,Noel Park,E05013595,51.59502191,-0.108052332,531145.3619999997,190158.9014999997,163
Alexandra Park Library,,,,Haringey,,100023179968,E09000014,Alexandra Park,E05013585,51.59833448,-0.135207795,529255.1144000003,190478.92610000074,163
Coombes Croft Library,,,,Haringey,,100023165934,E09000014,Northumberland Park,E05013596,51.60315254,-0.066697867,533985.7399000004,191138.0895000007,163
Highgate Library ,1 Shepherds Hill,,,Haringey,,,E09000014,Highgate,E05013592,51.57714,-0.14374,528724.0232999995,188106.96079999954,163
Down Lane Studios,Down Lane Studio,Ashley House,Ashley House,Haringey,https://www.downlanestudios.com,100023166324,E09000014,Tottenham Hale,E05013602,51.58995636,-0.062129225,534341.0138999997,189679.0014999993,163
North London Darkroom,North London Darkroom,Unit 3d,Milmead Industrial,Haringey,http://www.londondarkroom.com,10003976077,E09000014,Tottenham Hale,E05013602,51.5915214,-0.05780374,534636.0132999998,189861.00170000084,163
The Fashion Box,The Fashion Box,Unit 4,718-722 Seven Sist,Haringey,https://www.thefashionbox.co.uk/contact,100023153865,E09000014,Seven Sisters,E05013598,51.5804164,-0.078036318,533267.0127999997,188589.00170000084,163
Turning Earth Haringey,38 Crawley Rd,,,Haringey,https://www.turningearth.org/n22,10090478261,E09000014,West Green,E05013603,51.594909,-0.091786908,532272.2692,190175.65890000015,163
Furnells,Unit 5 Crusader Industrial Estate,167 Hermitage Road,,Haringey,https://www.furnells.com,10003976593,E09000014,Hermitage & Gardens,E05013591,51.57622742,-0.089852527,532460.4979999997,188101.69380000047,163
Cut and Construct,Unit 1 Imperial Works,Fountayne Road,,Haringey,http://cutandconstruct.com/,100023152075,E09000014,South Tottenham,E05013599,51.584068,-0.06237603,534341.2629000004,189023.73709999956,163
Hands On Glass,Unit 11 Crusader Industrial Estate,Hermitage Road,,Haringey,http://www.handsonglass.co.uk/hands_on_glass/home.html,No UPRN,E09000014,Hermitage & Gardens,E05013591,51.57744,-0.09119,532364.3054999998,188234.1146000009,163
The Stained Glass Works,188 Archway Road,Highgate,,Haringey,www.thestainedglassworks.co.uk,100023195137,E09000014,Highgate,E05013592,51.572955,-0.14027097,528976.2207000004,187647.67589999922,163
 Bruce Castle Museum & Archives,Bruce Castle Museum,Lordship Lane,NA,Haringey,http://www.haringey.gov.uk/leisure/brucecastlemuseum,100023552396,E09000014,Bruce Castle,E05013587,51.59864748,-0.073849803,533503.6778999995,190624.0133999996,163
Low Profile Studios,"94 Vale Rd, Harringay Warehouse District, London N",,,Haringey,,10022943441,E09000014,Hermitage & Gardens,E05013591,51.574915,-0.09142,532355.6941,187952.90839999914,163
Alexandra Palace,Alexandra Palace Way; Alexandra Palace; London N22,Alexandra Palace Way ,Alexandra Palace,Haringey,www.alexandrapalace.com,10003974918,E09000014,Alexandra Park,E05013585,51.593642,-0.131921,529496.0778999999,189962.91119999997,163
The Boogaloo,312 Archway Road,,312 Archway Road,Haringey,,100000000000,E09000014,Highgate,E05013592,51.57587098,-0.142146357,528838.0290000001,187968.64350000024,163
World's End,21-23 Stroud Green Rd,Finsbury Park,21-23 Stroud Green,Haringey,https://www.worldsendfinsburypark.com/,10007028978,E09000014,Stroud Green,E05013600,51.56646487,-0.106770577,531316.3234999999,186985.53940000013,163
Five Miles,"39b Markfield Road, London, N15 4QA",,,Haringey,,,E09000014,South Tottenham,E05013599,51.583268,-0.064838,534173.0585000003,188930.25320000015,163
Caipirinha Bar & Club,"177 Archway Road, Highgate, London, N6 5BL",,,Haringey,,100000000000,E09000014,Highgate,E05013592,51.572691,-0.140671,528949.2472000001,187617.61339999922,163
Industry Ldn,"2 Chesnut Rd, London N17 9EN",,,Haringey,,100000000000,E09000014,Tottenham Hale,E05013602,51.590937,-0.069211,533847.5871000001,189775.05859999917,163
Whisperz,"18 High Street, Horsney, London N8 7PB",,,Haringey,,10022944517,E09000014,Hornsey,E05013593,51.587148,-0.120781,530286.2399000004,189260.52789999917,163
Jam In A Jar,"599A Green Lanes, Harringay, London N8 0RE, United",Harringay,,Haringey,https://www.jaminajar.co.uk,,E09000014,Harringay,E05013590,51.584472,-0.100421,531704.3937999997,188999.42769999988,163
New River Studios,"199 Eade Road, London, N4 1DN",,,Haringey,https://newriverstudios.com/,,E09000014,Hermitage & Gardens,E05013591,51.574927,-0.088162,532581.4145999998,187960.14699999988,163
Tchances Arts & Music Centre,399 High Road,,399 High Road,Haringey,www.t-chances.com,100000000000,E09000014,Tottenham Hale,E05013602,51.58933646,-0.069305915,533845.7109000003,189596.89829999954,163
Karamel,4 Coburg Road,,,Haringey,https://www.musicglue.com/karamel,,E09000014,Noel Park,E05013595,51.594229998,-0.113370018,530779.318,190061.31079999916,163
The Boogaloo,312 Archway Road,,312 Archway Road,Haringey,,100000000000,E09000014,Highgate,E05013592,51.57587098,-0.142146357,528838.0290000001,187968.64350000024,163
World's End,21-23 Stroud Green Rd,Finsbury Park,21-23 Stroud Green,Haringey,https://www.worldsendfinsburypark.com/,10007028978,E09000014,Stroud Green,E05013600,51.56646487,-0.106770577,531316.3234999999,186985.53940000013,163
Five Miles,"39b Markfield Road, London, N15 4QA",,,Haringey,,,E09000014,South Tottenham,E05013599,51.583268,-0.064838,534173.0585000003,188930.25320000015,163
Jam In A Jar,"599A Green Lanes, Harringay, London N8 0RE, United",Harringay,,Haringey,https://www.jaminajar.co.uk,,E09000014,Harringay,E05013590,51.584472,-0.100421,531704.3937999997,188999.42769999988,163
Karamel,4 Coburg Road,,,Haringey,https://www.musicglue.com/karamel,,E09000014,Noel Park,E05013595,51.594229998,-0.113370018,530779.318,190061.31079999916,163
Low Profile Studios,"94 Vale Rd, Harringay Warehouse District, London N",,,Haringey,,10022943441,E09000014,Hermitage & Gardens,E05013591,51.574915,-0.09142,532355.6941,187952.90839999914,163
Industry Ldn,"2 Chesnut Rd, London N17 9EN",,,Haringey,,100000000000,E09000014,Tottenham Hale,E05013602,51.590937,-0.069211,533847.5871000001,189775.05859999917,163
Whisperz,"18 High Street, Horsney, London N8 7PB",,,Haringey,,10022944517,E09000014,Hornsey,E05013593,51.587148,-0.120781,530286.2399000004,189260.52789999917,163
