name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Harrow Local History Collection,Headstone Manor and Museum Pinner View,Harrow ,HA2 6PX,Harrow,http://www.harrow.gov.uk/info/100009/leisure_and_culture/183/harrow_local_history_centre,200000000000,E09000015,Headstone,E05013550,51.59406082,-0.352613082,514209.01159999985,189642.0030000005,33
Harrow School Archives,5 High Street,Harrow on the Hill ,HA1 3HP,Harrow,https://www.harrowschool.org.uk/The-Archive,10070266096,E09000015,Harrow on the Hill,E05013547,51.57228208,-0.337383023,515319.0126,187244.00569999963,33
North London Collegiate School,Canons Drive ,Edgware ,HA8 7RJ,Harrow,https://www.nlcs.org.uk/,200000000000,E09000015,Canons,E05013543,51.61417689,-0.2947011,518168.0031000003,191971.00060000084,33
Society of the Divine Saviour (Salvatorians),129 Spencer Road,Harrow Weald ,HA3 7BJ,Harrow,http://www.salvatorians.com/,100000000000,E09000015,Wealdstone North,E05013561,51.60015881,-0.337389687,515248.0114000002,190344.0030000005,33
Usurp Art,140 Vaughan Road,,,Harrow,www.usurp.org.uk,100021292207,E09000015,West Harrow,E05013563,51.57904253,-0.349360673,514472.0103000002,187977.00579999946,33
Whitefriars Avenue,Winsor & Newton Building,Whitefrairs Avenue,,Harrow,www.acava.org,100021000000,E09000015,Wealdstone North,E05013561,51.59858267,-0.340392831,515044.0115,190164.00229999982,33
Harrow Arts Centre ,171 Uxbridge Road,Hatch End,HA5 4EA,Harrow,https://harrowarts.com/,200000000000,E09000015,Hatch End,E05013549,51.60848854,-0.363803161,513398.01180000044,191229.0014999993,33
Vue Harrow,,St Anns Road,HA1 1HS,Harrow,,200000313205,E09000015,Greenhill,E05013546,51.58156,-0.33896,515186.27610000037,188273.28240000084,33
Usurp Art,Usurp Art,Usurp Art,140 Vaughan Road,Harrow,www.usurp.org.uk,100021292207,E09000015,West Harrow,E05013563,51.57854553,-0.347784663,514582.45639999956,187924.20549999923,33
Pinner Village Hall,11 Chapel Lane,,,Harrow,https://www.pinnervillagehall.org.uk,200000320298,E09000015,Pinner South,E05013556,51.59325663,-0.384014347,512036.01209999993,189504.00239999965,33
Harrow Arts Centre,171 Uxbridge Road,,,Harrow,,200000319916,E09000015,Hatch End,E05013549,51.60848854,-0.363803161,513398.01180000044,191229.0014999993,33
Candoco Dance Company,2 Wood Lane,,,Harrow,http://www.candoco.co.uk,10070269989,E09000015,Stanmore,E05013560,51.6302468,-0.31023884,517050.93180000037,193733.03309999965,33
Pinner Village Hall,11 Chapel Lane,,,Harrow,https://www.pinnervillagehall.org.uk,200000320298,E09000015,Pinner South,E05013556,51.59325663,-0.384014347,512036.01209999993,189504.00239999965,33
Harrow Arts Centre,171 Uxbridge Road,,,Harrow,,200000319916,E09000015,Hatch End,E05013549,51.60848854,-0.363803161,513398.01180000044,191229.0014999993,33
Candoco Dance Company,2 Wood Lane,,,Harrow,http://www.candoco.co.uk,10070269989,E09000015,Stanmore,E05013560,51.6302468,-0.31023884,517050.93180000037,193733.03309999965,33
Krystal London Limited,Unit 7,Phoenix Industrial Estate,,Harrow,http://www.krystallondon.com,100023027326,E09000015,Greenhill,E05013546,51.58815008,-0.327699962,515949.63129999954,189023.9110000003,33
Roxeth,,,,Harrow,,200000307802,E09000015,Roxeth,E05013559,51.56211325,-0.354959407,514126.4735000003,186085.63629999943,33
Gayton,,,,Harrow,,10070263324,E09000015,Greenhill,E05013546,51.58118267,-0.330201874,515794.0245000003,188245.14059999958,33
Pinner,,,,Harrow,,100023037203,E09000015,Pinner South,E05013556,51.59090052,-0.378912076,512395.2352999998,189249.82310000062,33
Kenton,,,,Harrow,,200000313248,E09000015,Kenton East,E05013551,51.59214569,-0.309678337,517187.7604,189496.95009999909,33
Wealdstone,,,,Harrow,,200004437046,E09000015,Wealdstone South,E05013562,51.59364474,-0.333374798,515542.5837000003,189625.95309999958,33
Stanmore,,,,Harrow,,100023038856,E09000015,Stanmore,E05013560,51.61793485,-0.310063717,517094.7209000001,192364.17950000055,33
Greenhill,"Perceval Square, College Road",,,Harrow,,10094044460,E09000015,Greenhill,E05013546,51.57948,-0.33585,515407.01400000043,188046.87739999965,33
Heath Robinson Museum,Pinner Memorial Park,West End Lane,Pinner,Harrow,www.heathrobinsonmuseum.org,10002293329,E09000015,Pinner South,E05013556,51.59197479,-0.385111771,511963.1490000002,189359.7764999997,33
Headstone Manor & Museum,Headstone Manor,Pinner View,Â Harrow,Harrow,http://www.harrow.gov.uk/info/200070/museums_and_galleries/190/harrow_museum,10002293456,E09000015,Headstone,E05013550,51.59396486,-0.353505542,514147.43680000026,189629.9386,33
Bentley Priory Museum,Mansion House Drive Stanmore,NA,NA,Harrow,www.bentleypriory.org,10091091981,E09000015,Stanmore,E05013560,51.62601154,-0.331493386,515590.6755999997,193228.23189999908,33
Usurp Art,140 Vaughan Road,,,Harrow,http://www.usurp.org.uk/exhibitions/#,100021292207,E09000015,West Harrow,E05013563,51.579041,-0.34938282,514470.4796000002,187976.8010000009,33
Harrow Arts Centre,Uxbridge Road Harrow,,Uxbridge Road Harr,Harrow,www.harrowarts.com,200000000000,E09000015,Hatch End,E05013549,51.60799057,-0.362241914,513507.35720000044,191176.0479000006,33
Trinity,378-380 Station Rd,Harrow,,Harrow,http://www.trinity-bar.com/,,E09000015,Greenhill,E05013546,51.579639996,-0.333899986,515541.7176000001,188067.7452000007,33
Trinity,378-380 Station Rd,Harrow,,Harrow,http://www.trinity-bar.com/,,E09000015,Greenhill,E05013546,51.579639996,-0.333899986,515541.7176000001,188067.7452000007,33
Eastcote Studios Ltd,14 Conlan St,,,Harrow,www.eastcotestudios.co.uk,No UPRN,E09000015,Marlborough,E05013553,51.58387301,-0.341267926,515020.5377000002,188526.86539999954,33
Ryan Theatre,5 Yew Walk, Harrow,,Harrow,https://www.tagvenue.com/rooms/middlesex/1654/harrow-school/ryan-theatre,100021296924,E09000015,Harrow on the Hill,E05013547,51.57331899,-0.341300733,515044.9071000004,187353.1587000005,33
Harrow Arts Centre,171 Uxbridge road, Hatch End,,Harrow,https://harrowarts.com/,200000319916,E09000015,Hatch End,E05013549,51.60897493,-0.364087228,513377.1310999999,191282.64939999953,33
