name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Vue Romford,,1-15 Waterloo Rd,RM1 1AU,Havering,,200002674389,E09000016,St Edward's,E05013983,51.574896,0.18005111,551166.1335000005,188476.74679999985,22
Fairkytes Art Centre,Billet Lane,,,Havering,https://www.havering.gov.uk/info/20043/arts_and_music/274/fairkytes_arts_centre,100023213016,E09000016,St Andrew's,E05013982,51.56450633,0.219857143,553959.3759000003,187404.4832000006,22
The Queen's Theatre,Billet Lane,,,Havering,http://www.queens-theatre.co.uk,100023213219,E09000016,St Andrew's,E05013982,51.56521058,0.219444297,553928.3877999997,187481.92510000058,22
ACS Dance Centre,66 Albert Rd,,,Havering,http://www.anthonycliffordstudios.co.uk,100023211192,E09000016,St Alban's,E05013981,51.57360449,0.18990651,551853.3222000003,188353.55169999972,22
Havering College,42 Ardleigh Green Road,,,Havering,https://www.ncclondon.ac.uk/havering-campuses,100023213461,E09000016,Squirrels Heath,E05013985,51.58159506,0.221273338,553999.8372,189307.69449999928,22
ACS Dance Centre,66 Albert Rd,,,Havering,http://www.anthonycliffordstudios.co.uk,100023211192,E09000016,St Alban's,E05013981,51.57360449,0.18990651,551853.3222000003,188353.55169999972,22
The Jewellery Workshop,"10 Broadway Parade, Hornchurch RM12 4RS",,,Havering,,no UPRN,E09000016,Elm Park,E05013969,51.55073,0.19853,552527.2824999997,185827.9098000005,22
Upminster Jewellery Workshop Ltd,"201 St. Marys Ln, Upminster RM14 3BU",,,Havering,,100023215853,E09000016,Upminster,E05013986,51.556587,0.25236086,556239.0955999997,186592.7577999998,22
Rainham Library,,,,Havering,,10024389958,E09000016,Rainham & Wennington,E05013979,51.51675181,0.192670878,552234.2363999998,182037.3936999999,22
South Hornchurch Library,,,,Havering,,100023214503,E09000016,South Hornchurch,E05013984,51.52970163,0.18917753,551948.8202,183470.1819000002,22
Elm Park Library,,,,Havering,,100023214017,E09000016,Elm Park,E05013969,51.55199482,0.200125381,552633.6597999996,185971.87969999947,22
Upminster Library,,,,Havering,,100023215782,E09000016,Upminster,E05013986,51.55463794,0.249745369,556064.4671,186370.44910000078,22
Hornchurch Library,,,,Havering,,100023516053,E09000016,St Andrew's,E05013982,51.56438705,0.222200226,554122.1686000004,187396.15479999967,22
Gidea Park Library,,,,Havering,,100023216148,E09000016,Squirrels Heath,E05013985,51.57949079,0.20753372,553055.0109999999,189044.8509999998,22
Romford Central Library,,,,Havering,,100023211636,E09000016,St Edward's,E05013983,51.58027,0.185138066,551500.7624000004,189084.85119999945,22
Harold Wood Library,,,,Havering,,100023216526,E09000016,Harold Wood,E05013973,51.59401788,0.237108698,555054.6562999999,190722.55220000073,22
Collier Row Library,,,,Havering,,100023217675,E09000016,Mawneys,E05013978,51.59796672,0.162482974,549872.9445000002,191006.04509999976,22
Harold Hill Library,,,,Havering,,100023217029,E09000016,Heaton,E05013975,51.60723241,0.220053539,553828.756,192155.93239999935,22
Havering Museum,19-21 High St,Romford,NA,Havering,www.haveringmuseum.org.uk/,10070706838,E09000016,St Edward's,E05013983,51.5774139,0.181204103,551237.6787999999,188759.11500000022,22
Queen's Theatre Hornchurch,Billet Lane,Hornchurch,,Havering,http://www.queens-theatre.co.uk/,100023213219,E09000016,St Andrew's,E05013982,51.5652114,0.219438999,553928.0179000003,187482.00510000065,22
Queen's Theatre Hornchurch ,Billet Ln, Hornchurch,,Havering,http://www.queens-theatre.co.uk/,100023213219,E09000016,St Andrew's,E05013982,51.56571994,0.217790544,553812.0571999997,187535.0850000009,22
Brookside Theatre,21A Eastern Rd, Romford,,Havering,http://www.brooksidetheatre.com/,100023516699,E09000016,St Edward's,E05013983,51.57665762,0.183602281,551406.3514999999,188679.98139999993,22
