name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
British Airways Heritage Collection,Waterside Speedbird Way,Harmondsworth ,UB7 0GA,Hillingdon,https://www.britishairways.com/en-gb/information/about-ba/history-and-heritage/heritage-collection,100023000000,E09000017,Heathrow Villages,E05013570,51.48549094,-0.487020906,505149.01290000044,177367.00180000067,51
Brunel University Archives,The Old School House ,1 Hillingdon Road  Uxbridge,UB10 0AA,Hillingdon,https://www.brunel.ac.uk/about/Archives,100023000000,E09000017,Hillingdon West,E05013572,51.53662881,-0.471007019,506142.01800000016,183077.00510000065,51
Brunel University Library,Kingston Lane,Uxbridge ,UB8 3PH,Hillingdon,https://www.brunel.ac.uk/life/library,100023000000,E09000017,Colham & Cowley,E05013566,51.53283992,-0.472835336,506024.0137,182653.0033999998,51
EMI Group Archive Trust,Dawley Road,Hayes ,UB3 1HH,Hillingdon,https://www.emiarchivetrust.org/,10022797517,E09000017,Hayes Town,E05013569,51.5081604,-0.430243685,509037.01219999976,179971.00009999983,51
"Hillingdon Local Studies, Archives and Museums Servic",Local Studies Archives and Museum Service Central ,Uxbridge ,UB8 1HD,Hillingdon,https://www.hillingdon.gov.uk/history,100000000000,E09000017,Uxbridge,E05013580,51.54518515,-0.478276716,505618.00829999987,184018.00159999914,51
London School of Theology,Green Lane,Northwood ,HA6 2UW,Hillingdon,https://home.lst.ac.uk/,100000000000,E09000017,Northwood,E05013574,51.61294959,-0.431728976,508684.01209999993,191622.00009999983,51
SADAA (South Asian Diaspora Arts Archive),Special Collections Brunel University Library,Uxbridge ,UB8 3PH,Hillingdon,https://sadaa.co.uk/,100000000000,E09000017,Colham & Cowley,E05013566,51.53283992,-0.472835336,506024.0137,182653.0033999998,51
Southlands Arts Centre,"75, The Green",West Drayton,,Hillingdon,www.southlandsarts.co.uk,100023420565,E09000017,West Drayton,E05013581,51.50155042,-0.475855495,505887.0077999998,179169.00170000084,51
Cineworld South Ruislip ,,The Old Dairy,HA4 0EU,Hillingdon,,10092984334,E09000017,South Ruislip,E05013579,51.55907,-0.40009244,511005.5724999998,185677.8219000008,51
Odeon Uxbridge,,302 The Chimes Shopping Centre,UB8 1GD,Hillingdon,,10003003209,E09000017,Uxbridge,E05013580,51.54505,-0.47561,505803.2335000001,184006.82430000044,51
Winston Churchill Theatre,Manor Farm,,,Hillingdon,http://www.hillingdontheatres.uk,100023034034,E09000017,Ruislip,E05013577,51.5789453,-0.428743514,508972.0125000002,187845.00709999911,51
Uxbridge College,34 College Way,,,Hillingdon,https://www.uxbridge.ac.uk,10003002623,E09000017,Wood End,E05013582,51.5162788,-0.411430057,510323.017,180902.0002999995,51
"Compass Theatre, Hillingdon",45 Glebe Ave,,,Hillingdon,http://www.hillingdontheatres.uk,100023413466,E09000017,Ickenham & South Harefield,E05013573,51.56218624,-0.440386739,508205.0119000003,185964.00200000033,51
Beck Theatre,89 Grange Road,,,Hillingdon,https://becktheatre.org.uk/Online/,10003001360,E09000017,Wood End,E05013582,51.5210498,-0.421800756,509592.0114000002,181417.0022,51
Windmill Studio,106 - 106A Pembroke Road,,,Hillingdon,http://www.thewindmillstudio.com,100023034352,E09000017,Ruislip Manor,E05013578,51.57342523,-0.414128084,509998.01329999976,187253.00870000012,51
