name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Chiswick Library Local Studies Service,Chiswick Library, Duke's Avenue ,W4 2AB,Hounslow,https://www.hounslow.gov.uk/info/20136/other_library_services/1692/local_history_and_archives,200003000000,E09000018,Chiswick Gunnersbury,E05013609,51.49169574,-0.261085466,520819.2126000002,178405.40190000087,66
GlaxoSmithKline Heritage Archives,GSK House 980 Great West Road,Brentford ,TW8 9GS,Hounslow,https://www.gsk.com/en-gb/about-us/our-history/gsk-heritage-archives/,200000000000,E09000018,Brentford West,E05013608,51.48869905,-0.315612974,517041.61620000005,177983.6967999991,66
Gunnersbury Park Museum,Gunnersbury Park Popes Lane, ,W3 8LQ,Hounslow,http://www.visitgunnersbury.org/,200000000000,E09000018,Chiswick Gunnersbury,E05013609,51.49954349,-0.286321449,519046.9121000003,179236.80330000073,66
Hounslow and Feltham Local Studies Service,Feltham Library The Centre High Street,Feltham ,TW13 4GU,Hounslow,https://www.hounslow.gov.uk/info/20136/other_library_services/1692/local_history_and_archives,100000000000,E09000018,Feltham West,E05013614,51.44636331,-0.411070417,510516.61230000015,173127.60380000062,66
Leprosy Mission International,80 Windmill Road,Brentford ,TW8 0QH,Hounslow,https://www.leprosymission.org/,100000000000,E09000018,Brentford West,E05013608,51.48961264,-0.309043989,517495.3147999998,178095.79849999957,66
London Museum of Water & Steam,Green Dragon Lane, Brentford ,TW8 0EN,Hounslow,https://www.waterandsteam.org.uk/,100000000000,E09000018,Brentford East,E05013607,51.48905549,-0.290517573,518782.9155000001,178063.6980000008,66
National Air Traffic Services Ltd,Heathrow House Bath Road, ,TW5 9AT,Hounslow,https://www.nats.aero/,10091691519,E09000018,Cranford,E05013612,51.48044982,-0.412330588,510346.9121000003,176916.30599999987,66
Redlees Studios,"Reddlees Park, Worton Road",,,Hounslow,www.redlees.org,10091692695,E09000018,Isleworth,E05013625,51.46693812,-0.332369119,515933.4219000004,175537.2025000006,66
Pavilion Studios,Pavilion Studios,Market Drive (off Alexandra Gardens),,Hounslow,http://dukesmeadowstrust.org/studios/,10001273971,E09000018,Chiswick Homefields,E05013610,51.48079098,-0.256102401,521194.0122999996,177201.00730000064,66
Brentford Gallery and Studios,Johnsons Island,Catherine Wheel Rd,,Hounslow,www.brentfordgallery.co.uk,10001273963,E09000018,Syon & Brentford Lock,E05013627,51.48224975,-0.305388834,517768.01240000036,177282.9037999995,66
The Forge / Diesel House Studios,London Museum of Water and Steam,Green Dragon Lane,,Hounslow,http://www.madeatkewbridge.co.uk,100023407522,E09000018,Brentford East,E05013607,51.48905549,-0.290517573,518782.9155000001,178063.6980000008,66
The Lôft,The Old Stables,Catherine Wheel Road,,Hounslow,https://theloft.art/,10093258154,E09000018,Syon & Brentford Lock,E05013627,51.482612,-0.30616087,517713.4753999999,177321.94590000063,66
The Arts Centre Houndslow ,Â First Floor, Treaty Centre,TW3 1ES,Hounslow,http://www.hounslowartscentre.co.uk/,10091692850,E09000018,Hounslow Central,E05013620,51.46813353,-0.363025347,513801.1545000002,175622.09449999966,66
Watermans Arts Centre,40 High St,Brentford ,TW8 0DS,Hounslow,https://www.watermans.org.uk/,100023000000,E09000018,Brentford East,E05013607,51.48576836,-0.298042371,518269.0142000001,177685.9997000005,66
Watermans Art Centre,,40 High St,TW8 0DS,Hounslow,,100023407377,E09000018,Brentford East,E05013607,51.485768,-0.29806462,518267.4704999998,177685.92380000092,66
Cineworld Hounslow ,5A Smithy Ln,,TW3 1EY,Hounslow,,,E09000018,Hounslow Central,E05013620,51.46967,-0.36209,513862.2991000004,175794.41059999913,66
Cineworld Feltham,Leisure west,Air Park Way,TW13 7LX,Hounslow,www.cineworld.co.uk,100023517705,E09000018,Hanworth Park,E05013615,51.44385,-0.40459,510973.0175000001,172857.87710000016,66
AALondon Gallery,24 Devonshire Road,Chiswick,,Hounslow,https://www.aalondongallery.com/,200002819253,E09000018,Chiswick Homefields,E05013610,51.491728,-0.25567924,521194.4227,178417.91379999928,66
The Lemongrove Gallery,255A Chiswick High Rd,Chiswick,,Hounslow,https://www.thelemongrovegallery.co.uk/,100023491948,E09000018,Chiswick Gunnersbury,E05013609,51.492205,-0.26176883,520770.4288999997,178460.90689999983,66
Digital Dock,205 High Street,Brentford,,Hounslow,https://www.digitaldockbrentford.com/,100023408056 ,E09000018,Syon & Brentford Lock,E05013627,51.483414,-0.30813308,517574.4784000004,177407.9634000007,66
Watermans Arts Centre,40 High Stree,,,Hounslow,https://www.watermans.org.uk,100023407377,E09000018,Brentford East,E05013607,51.48576836,-0.298042371,518269.0142000001,177685.9997000005,66
The Tabard Theatre,2 Bath Road,,,Hounslow,http://www.tabardtheatre.co.uk,200002818754,E09000018,Chiswick Homefields,E05013610,51.49569249,-0.254641421,521255.9523,178860.49230000004,66
The Arts Educational London Schools Theatre,14 Bath Road,,,Hounslow,https://artsed.co.uk,200002818756,E09000018,Chiswick Homefields,E05013610,51.49596064,-0.252411694,521410.01219999976,178894.00229999982,66
Watermans Arts Centre,40 High Stree,,,Hounslow,https://www.watermans.org.uk,100023407377,E09000018,Brentford East,E05013607,51.48576836,-0.298042371,518269.0142000001,177685.9997000005,66
The Tabard Theatre,2 Bath Road,,,Hounslow,http://www.tabardtheatre.co.uk,200002818754,E09000018,Chiswick Homefields,E05013610,51.49569249,-0.254641421,521255.9523,178860.49230000004,66
Hanworth Library,,,,Hounslow,,100023517802,E09000018,Hanworth Village,E05013616,51.43983125,-0.387346368,512181.1755999997,172437.18989999965,66
Feltham Library,,,,Hounslow,,100023399114,E09000018,Hanworth Park,E05013615,51.44585041,-0.409519872,510625.59669999965,173072.90069999918,66
Bedfont Library,,,,Hounslow,,100023400018,E09000018,Bedfont,E05013606,51.45154014,-0.432661866,509003.90869999956,173670.99980000034,66
Isleworth Library,,,,Hounslow,,100023407264,E09000018,Isleworth,E05013625,51.46639803,-0.328555858,516199.6496000001,175483.17989999987,66
Hounslow Library,,,,Hounslow,,100023402396,E09000018,Hounslow Central,E05013620,51.4676225,-0.361468633,513910.54980000015,175567.68439999968,66
Beavers Library,,,,Hounslow,,10093260482,E09000018,Cranford,E05013612,51.46972705,-0.394852683,511586.65469999984,175750.34779999964,66
Cranford Library,,,,Hounslow,,100023405818,E09000018,Cranford,E05013612,51.47764106,-0.404892845,510870.16559999995,176615.18009999953,66
Osterley Library,,,,Hounslow,,100023406343,E09000018,Osterley & Spring Grove,E05013626,51.48182162,-0.344332814,515065.05040000007,177173.44490000047,66
Heston Library,,,,Hounslow,,100023405372,E09000018,Heston Central,E05013617,51.4853629,-0.373872389,513005.2139999997,177521.27569999918,66
Brentford Library ,,,,Hounslow,,100023408161,E09000018,Brentford West,E05013608,51.48610093,-0.306007544,517715.1486999998,177710.16169999912,66
Chiswick Library,,,,Hounslow,,200002819006,E09000018,Chiswick Gunnersbury,E05013609,51.49118486,-0.259517611,520929.40299999993,178351.1760000009,66
FBFX Limited,Unit 4 Vector Park,Forest Road,,Hounslow,https://www.fbfx.co.uk,10091689757,E09000018,Hanworth Park,E05013615,51.44030077,-0.400484116,511266.96410000045,172469.38660000078,66
Musical Museum,399 High St,Brentford,NA,Hounslow,https://www.musicalmuseum.co.uk/,10001271544,E09000018,Chiswick Riverside,E05013611,51.48739874,-0.291568435,518714.26109999977,177877.76129999943,66
The London Museum of Water and Steam,Green Dragon Lane,Brentford,NA,Hounslow,www.â€‹waterandsteam.â€‹org.â€‹uk,100023407522,E09000018,Chiswick Riverside,E05013611,51.48854503,-0.288952709,518892.88100000005,178009.4701000005,66
Hogarth House,25 Hartington Road,NA,NA,Hounslow,http://www.hounslow.info/arts-culture/historic-houses-museums/hogarth-house/#,100023518941,E09000018,Chiswick Homefields,E05013610,51.48650733,-0.25341912,521365.17169999983,177841.10270000063,66
Osterley Park and House,Jersey Road,Isleworth,NA,Hounslow,https://www.nationaltrust.org.uk/osterley-park-and-house?p=1356312744250,200003968705,E09000018,Osterley & Spring Grove,E05013626,51.48898096,-0.350182958,514640.90529999975,177960.4168999996,66
Gunnersbury Park Museum,Gunnersbury Park,Popes Ln,NA,Hounslow,www.hounslow.info â€º Arts & Culture â€º Historic Houses & Museums,200003970213,E09000018,Chiswick Gunnersbury,E05013609,51.49903389,-0.284755866,519156.9035,179182.6780999992,66
Chiswick House & Gardens,Burlington Lane,London,W4 2RP,Hounslow,https://chiswickhouseandgardens.org.uk/,200003971266,E09000018,Chiswick Homefields,E05013610,51.48376,-0.25866216,521008.42540000007,177526.93400000036,66
