name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
National Council for Voluntary Youth Services,Third Floor ,Lancaster House 33 Islington High Str,N1 9LH,Islington,,10008978268,E09000019,Barnsbury,E05013698,51.5330567,-0.106474468,531433.0126,183271.00070000067,278
National Council of Voluntary Child Care Organisation,Unit 25,1st Floor Angel Gate,EC1V 2PT,Islington,,10023216009,E09000019,St Peter's & Canalside,E05013711,51.52925214,-0.101427729,531794.0121999998,182857.0022,278
Writers and Scholars Educational Trust (Index on Cens,6-8 Amwell St, ,EC1R 1UQ,Islington,,5300001787,E09000019,Clerkenwell,E05013702,51.52727965,-0.108473109,531311.0122999996,182625.00100000016,278
ActionAid Central Archive,Resource Centre Hamlyn House ,Macdonald Road  Archway,N19 5PG,Islington,https://www.actionaid.org.uk/changelives/donate?src=ppc&utm_content=A197_A822_A000329&ds_rl=1248098&gcli,10012791132,E09000019,Junction,E05013707,51.56568099,-0.135607243,529320.0116999997,186847.0019000005,278
"Amnesty International, International Secretariat",Peter Benenson House ,1 Easton Street ,WC1X 0DW,Islington,https://careers.amnesty.org/,5300029347,E09000019,Clerkenwell,E05013702,51.52582065,-0.111128528,531131.0122999996,182458.0008000005,278
Association for the Conservation of Energy,Westgate House ,2a Prebend Street ,N1 8PT,Islington,https://www.ukace.org/,5300075757,E09000019,St Peter's & Canalside,E05013711,51.53567982,-0.096863134,532092.0129000004,183579.99909999967,278
British Deaf Association,1-3 Worship Street, ,EC2A 2AB,Islington,https://bda.org.uk/,5300099044,E09000019,Bunhill,E05013699,51.5223107,-0.086551737,532846.0116999997,182112.00129999965,278
British Psychological Society: History of Psychology ,30 Tabernacle St, ,EC2A 4UE,Islington,https://www.bps.org.uk/about-us/history-psychology-centre,5300089442,E09000019,Bunhill,E05013699,51.52319332,-0.086082254,532876.0116999997,182211.00239999965,278
Church Times,108-114 Golden Lane, ,EC1Y 0TG,Islington,https://www.churchtimes.co.uk/,10090262788,E09000019,Bunhill,E05013699,51.52353627,-0.094991154,532257.0129000004,182232.9980999995,278
"City, University of London",Northampton Square, ,EC1V 0HB,Islington,https://www.city.ac.uk/,5300067719,E09000019,Clerkenwell,E05013702,51.52770618,-0.102587756,531718.0120000001,182683.00210000016,278
Community Service Volunteers,237 Pentonville Road, ,N1 9NJ,Islington,https://volunteeringmatters.org.uk/news/national-charity-community-service-volunteers-csv-becomes-volunt,10093112761,E09000019,Clerkenwell,E05013702,51.53092502,-0.11818378,530627.0120999999,183013.0030000005,278
