name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Brompton Oratory,Brompton Road, ,SW7 2RP,Kensington and Chelsea,,217007711,E09000020,Brompton & Hans Town,E05009389,51.49747072,-0.169815218,527139.0126999998,179202.00349999964,176
Chelsea and Westminster Hospital Archives,369 Fulham Road, ,SW10 9NH,Kensington and Chelsea,,217033201,E09000020,Stanley,E05009405,51.48425239,-0.181434976,526369.0130000003,177712.00320000015,176
Commonwealth Institute,Commonwealth Resources Centre,Kensington High Street ,W8 6NQ,Kensington and Chelsea,,217044656,E09000020,Holland,E05009397,51.49987443,-0.200159027,525026.2823000001,179417.0831000004,176
Armenian Institute,Armenian Church Hall, Iverna Gardens ,W8 6TP,Kensington and Chelsea,http://www.armenianinstitute.org.uk/,217116743,E09000020,Abingdon,E05009388,51.49955292,-0.193331863,525501.0122999996,179393.00280000083,176
Chelsea Library,Old Town Hall ,Kings Road ,SW3 5EZ,Kensington and Chelsea,https://www.rbkc.gov.uk/libraries/your-library/find-library/chelsea-library,217105143,E09000020,Royal Hospital,E05009403,51.48747216,-0.168170333,527281.0155999996,178093.00469999947,176
Chelsea Physic Garden,66 Royal Hospital Road, ,SW3 4HS,Kensington and Chelsea,https://www.chelseaphysicgarden.co.uk/,217102618,E09000020,Royal Hospital,E05009403,51.48457384,-0.162251549,527700.0136000002,177781.00349999964,176
Eighteen Stafford Terrace: Sambourne Family Archive,18 Stafford Terrace, ,W8 7BH,Kensington and Chelsea,https://www.rbkc.gov.uk/subsites/museums/18staffordterrace1.aspx,217107937,E09000020,Campden,E05009390,51.50045223,-0.196840681,525255.0121999998,179487.00329999998,176
Kensington and Chelsea Libraries and Arts Service,Central Library ,Phillimore Walk ,W8 7RX,Kensington and Chelsea,https://www.rbkc.gov.uk/leisure-and-culture/culture/arts-services,217125485,E09000020,Campden,E05009390,51.50141889,-0.194406095,525421.3322000001,179598.66249999963,176
Leighton House Museum,12 Holland Park Road, ,W14 8LZ,Kensington and Chelsea,https://www.rbkc.gov.uk/subsites/museums/leightonhousemuseum1.aspx,217039506,E09000020,Holland,E05009397,51.49858782,-0.203095135,524826.0122999996,179269.00349999964,176
London University: Heythrop College,Kensington Square, ,W8 5HN,Kensington and Chelsea,http://www.heythrop.ac.uk/,217046014,E09000020,Queen's Gate,E05009401,51.49946248,-0.1902477,525715.3223000001,179388.23310000077,176
National Army Museum Templer Study Centre,Royal Hospital Road Chelsea, ,SW3 4HT,Kensington and Chelsea,https://www.nam.ac.uk/collections/templer-study-centre,217075883,E09000020,Royal Hospital,E05009403,51.48622897,-0.160337437,527828.2860000003,177968.3947999999,176
"National Art Library, Victoria & Albert Museum",Cromwell Road, ,SW7 2RL,Kensington and Chelsea,https://www.vam.ac.uk/info/national-art-library/,217108016,E09000020,Brompton & Hans Town,E05009389,51.49690228,-0.172098033,526982.1427999996,179134.8333999999,176
Natural History Museum Library and Archives,Cromwell Road ,South Kensington ,SW7 5BD,Kensington and Chelsea,http://www.nhm.ac.uk/our-science/departments-and-staff/library-and-archives.html,217110763,E09000020,Brompton & Hans Town,E05009389,51.49656438,-0.176867722,526652.0127999997,179089.00290000066,176
