name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Hawks Road,47-51 Hawks Road,Kingston Upon Thames,,Kingston upon Thames,www.ascstudios.co.uk,10025170552,E09000021,Norbiton,E05013941,51.40818644,-0.293224831,518804.51549999975,169066.39919999987,27
Odeon Kingston,,Clarence Street,KT1 1QP,Kingston upon Thames,,128004717,E09000021,Kingston Town,E05013938,51.411953,-0.299556,518354.48670000024,169475.01989999972,27
Rose Theatre,24-26 High Street,,,Kingston upon Thames,http://www.rosetheatrekingston.org,128029778,E09000021,Kingston Town,E05013938,51.4086431,-0.307594201,517804.0142000001,169094.00070000067,27
St John's Church,Grove Ln,,,Kingston upon Thames,http://www.stjohnskingston.co.uk,128008048,E09000021,Kingston Town,E05013938,51.40308542,-0.300754207,518294.0159,168486.99840000086,27
Ballet Boyz  - Studio 52,52a Canbury Park Road,,,Kingston upon Thames,http://www.balletboyz.com,128037963,E09000021,Kingston Gate,E05013937,51.4130041,-0.298258301,518442.01209999993,169594.00249999948,27
Kingston University,53-57 High Street,,,Kingston upon Thames,http://www.kingston.ac.uk,128008662,E09000021,Kingston Town,E05013938,51.40591238,-0.307809909,517796.02020000014,168789.99430000037,27
Hook and Chessington Library,,,,Kingston upon Thames,,10091803267,E09000021,Hook & Chessington North,E05013935,51.36739709,-0.30447708,518126.7494999999,164512.4416000005,27
Tolworth Community Library,,,,Kingston upon Thames,,128002519,E09000021,Alexandra,E05013928,51.3805588,-0.28069395,519747.9628999997,166014.5730000008,27
Old Malden Library,,,,Kingston upon Thames,,128004320,E09000021,Old Malden,E05013942,51.38323859,-0.253314099,521646.1723999996,166357.59219999984,27
Surbiton Library,,,,Kingston upon Thames,,128006816,E09000021,Surbiton Hill,E05013944,51.39228094,-0.296326317,518629.8755000001,167292.69449999928,27
New Malden Library,,,,Kingston upon Thames,,128010803,E09000021,New Malden Village,E05013940,51.3987777,-0.259235194,521193.15770000033,168075.76129999943,27
Kingston Library,,,,Kingston upon Thames,,128019808,E09000021,Kingston Town,E05013938,51.40882739,-0.298688099,518422.91500000004,169128.83860000037,27
Tudor Drive Library,,,,Kingston upon Thames,,128039997,E09000021,Tudor,E05013946,51.42580323,-0.295942865,518569.8975999998,171021.07239999995,27
Dorich House Museum,Kingston University,67 Kingston Vale,NA,Kingston upon Thames,https://www.dorichhousemuseum.org.uk/,128010892,E09000021,Coombe Hill,E05013932,51.4328253,-0.261523826,520944.11259999964,171858.18679999933,27
Kingston Museum (and Heritage Service),Wheatfield Way,Kingston upon Thames,NA,Kingston upon Thames,http://www.kingston.gov.uk/museum,128019799,E09000021,Kingston Town,E05013938,51.40903476,-0.298723543,518419.9144000001,169151.84180000052,27
Stanley Picker Gallery,Kingston School of Art,"Grange Road
Kingston upon Thames",KT1 2QJ,Kingston upon Thames,https://www.stanleypickergallery.org/,128036412,E09000021,Kingston Town,E05013938,51.40501,-0.29828949,518460.48610000033,168704.9846999999,27
Fighting Cocks Bar And Venue (The),56 Old London Road,Kingston Upon Thames,,Kingston upon Thames,https://www.the-fighting-cocks.co.uk/,100000000000,E09000021,Kingston Town,E05013938,51.41015503,-0.296596695,518564.92640000023,169279.85789999925,27
Brave New World,22-26 Berrylands Road,Kingston Upon Thames,22-26 Berrylands R,Kingston upon Thames,www.bravebar.co.uk,128001583,E09000021,Berrylands,E05013929,51.39251026,-0.294161461,518779.8925000001,167321.69779999927,27
McClusky's Kingston,4 Bishops Hall; Kingston Upon Thames; Greater Lond,,,Kingston upon Thames,,128042329,E09000021,Kingston Town,E05013938,51.410409,-0.307644,517796.0137,169290.2968000006,27
Pryzm Kingston,"154 Clarence Street Kingston Upon Thames KT1 1QP, ",Kingston,154 Clarence Stree,Kingston upon Thames,https://www.pryzm.co.uk/club/kingston-upon-thames/,,E09000021,Kingston Town,E05013938,51.411524,-0.299859,518334.5236999998,169426.82410000078,27
Fighting Cocks Bar And Venue (The),56 Old London Road,Kingston Upon Thames,,Kingston upon Thames,https://www.the-fighting-cocks.co.uk/,100000000000,E09000021,Kingston Town,E05013938,51.41015503,-0.296596695,518564.92640000023,169279.85789999925,27
McClusky's Kingston,4 Bishops Hall; Kingston Upon Thames; Greater Lond,,,Kingston upon Thames,,128042329,E09000021,Kingston Town,E05013938,51.410409,-0.307644,517796.0137,169290.2968000006,27
Pryzm Kingston,"154 Clarence Street Kingston Upon Thames KT1 1QP, ",Kingston,154 Clarence Stree,Kingston upon Thames,https://www.pryzm.co.uk/club/kingston-upon-thames/,,E09000021,Kingston Town,E05013938,51.411524,-0.299859,518334.5236999998,169426.82410000078,27
Parallel Notion Limited,5 Chestnut Road,,,Kingston upon Thames,http://www.parallelnotion.co.uk,48014629,E09000021,Canbury Gardens,E05013930,51.41766214,-0.300762089,518255.88329999987,170107.95830000006,27
"Assembly Rooms, Surbiton",138 Maple Road, Surbiton,,Kingston upon Thames,NA,128012933,E09000021,St Mark's & Seething Wells,E05013943,51.39623937,-0.308425963,517777.9526000004,167713.3855000008,27
the cornerHOUSE Community Arts Centre,116 Douglas Rd, Surbiton,,Kingston upon Thames,http://www.thech.org/,100023066827,E09000021,Tolworth,E05013945,51.38140612,-0.295613257,518707.5692999996,166084.55739999935,27
Michael Frayn Theatre ,70 London Road,,,Kingston upon Thames,https://www.michaelfrayntheatre.com/,No UPRN,E09000021,Kingston Town,E05013938,51.41049,-0.29582,518618.0728000002,169318.36419999972,27
