name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Black Cultural Archives,1 Windrush Square ,Brixton ,SW2 1EF,Lambeth,https://blackculturalarchives.org/,10091118537,E09000022,Brixton Windrush,E05014098,51.46051638,-0.114572316,531079.1710999999,175189.95219999924,298
"British Film Institute, Special Collections",BFI Southbank ,Belvedere Road ,SE1 8XT,Lambeth,https://www.bfi.org.uk/archive-collections/introduction-bfi-collections/exploring-collections/special-co,200000000000,E09000022,Waterloo & South Bank,E05014118,51.5069462,-0.115937366,530851.5021000002,180350.55189999938,298
Catholic Truth Society,40-46 Harleyford Road, ,SE11 5AY,Lambeth,http://www.ctsbooks.org/,100024000000,E09000022,Vauxhall,E05014117,51.48531584,-0.120552493,530593.0140000004,177937.00359999947,298
"Cinema Museum, Ronald Grant Archive",The Master's House ,The Old Lambeth Workhouse  2 Dugard W,SE11 4TH,Lambeth,http://www.ronaldgrantarchive.com/,10023852579,E09000022,Kennington,E05014105,51.49228045,-0.105168913,531641.0113000004,178739.00229999982,298
Countryside Alliance,The Old Town ,367 Kennington Road ,SE11 4PT,Lambeth,http://www.countryside-alliance.org/,100023000000,E09000022,Kennington,E05014105,51.48681908,-0.111128096,531243.0129000004,178121.00269999914,298
D'Oyly Carte Opera Company,N302 North Block Vox Studios, ,SE11 5JH,Lambeth,http://www.doylycarte.org.uk/,100023000000,E09000022,Kennington,E05014105,51.48847861,-0.11087226,531256.0124000004,178306.00229999982,298
European Movement,Southbank House, Black Prince Road ,SE1 7SJ,Lambeth,http://www.europeanmovement.co.uk/,100023000000,E09000022,Vauxhall,E05014117,51.49222021,-0.11986521,530621.0115999999,178706.00180000067,298
Garden Museum Archives,Garden Museum ,5 Lambeth Palace Road ,SE1 7LB,Lambeth,https://gardenmuseum.org.uk/archive/,100000000000,E09000022,Waterloo & South Bank,E05014118,51.49504923,-0.12019536,530590.0135000004,179020.00310000032,298
Hayward Gallery Library and Archives,Belvedere Road, ,SE1 8XX,Lambeth,https://www.southbankcentre.co.uk/about/what-we-do/archives-collections/hayward-gallery-archive,200000000000,E09000022,Waterloo & South Bank,E05014118,51.50613299,-0.115444817,530888.0120999999,180261.00229999982,298
International Fund for Animal Welfare Charitable Trus,87-90 Albert Embankment, ,SE1 7UD,Lambeth,https://www.ifaw.org/united-kingdom/frontpage,100000000000,E09000022,Vauxhall,E05014117,51.48796534,-0.123713335,530366.0132999998,178226.0025999993,298
