name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Bible Churchmens Missionary Society,BCMS Crosslinks, 251 Lewisham Way ,SE4,Lewisham,https://missiology.org.uk/societies_bcms.php,100023000000,E09000023,Brockley,E05013716,51.46925434,-0.026960722,537139.0087000001,176322.00520000048,176
Haberdashers' Aske's Federation Trust: Hatcham Colleg,135 Pepys Road, ,SE14 5SF,Lewisham,https://www.haaf.org.uk/,200000000000,E09000023,Telegraph Hill,E05013732,51.46768411,-0.042722194,536049.0140000004,176118.00249999948,176
Horniman Museum and Gardens,100 London Road, ,SE23 3PQ,Lewisham,https://www.horniman.ac.uk/,100000000000,E09000023,Forest Hill,E05013722,51.44113087,-0.060736392,534876.0129000004,173132.0033999998,176
Illustrated London News Picture Library,Mary Evans Picture Library ,59 Tranquil Vale Blackheath,SE3 0BS,Lewisham,https://www.maryevans.com/collect.php,100000000000,E09000023,Blackheath,E05013715,51.46670535,0.006662793,539482.0131999999,176102.00200000033,176
IRIE! dance theatre,Moonshot Centre ,Fordham Park  Angus Street,SE14 6LU,Lewisham,https://www.iriedancetheatre.org/,10093394257,E09000023,Deptford,E05013719,51.47785681,-0.035301972,536534.0121999998,177263.00229999982,176
Lewisham Local History and Archives Centre,Lewisham Library ,199-201 Lewisham High Street ,SE13 6LG,Lewisham,https://www.lewisham.gov.uk/inmyarea/history/archives/Pages/default.aspx,10023235063,E09000023,Lewisham Central,E05013727,51.4592745,-0.011657207,538232.0131999999,175241.0041000005,176
London University: Goldsmiths Library: Special Collec,Goldsmiths University of London ,New Cross ,SE14 6NW,Lewisham,https://www.gold.ac.uk/library/collections/special-collections/,100000000000,E09000023,Brockley,E05013716,51.47414396,-0.035375199,536540.0126,176850.0019000005,176
Trinity Laban Conservatoire of Music and Dance: Laban,Laban Creekside, ,SE8 3DZ,Lewisham,https://www.trinitylaban.ac.uk/student-life/facilities/faculty-of-dance/laban-library-archive,100000000000,E09000023,Deptford,E05013719,51.48032533,-0.019007985,537658.0118000004,177568.0022,176
Lewisham Arthouse ,140 Lewisham Way,,,Lewisham,http://www.lewishamarthouse.org.uk,100023238777,E09000023,Brockley,E05013716,51.47148298,-0.030608277,536879.0099,176563.00320000015,176
APT Studios,Harold Wharf,6 Creekside,,Lewisham,aptstudios.org,100023280460,E09000023,Deptford,E05013719,51.47640151,-0.021496653,537497.0105999997,177127.00280000083,176
