name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Franciscan Archives English Province,Franciscan Friary ,56 St Antony's Road  Forest Gate,E7 9QB,Newham,http://www.friar.org/our-heritage,46068665,E09000025,Green Street West,E05013914,51.53951262,0.024906099,540525.0127999997,184233.00159999914,111
"Friars Minor, English Province Archives",The Friary ,58 St Antony's Road  Forest Gate,E7 9QB,Newham,http://www.friar.org/our-heritage,46068665,E09000025,Green Street West,E05013914,51.53951262,0.024906099,540525.0127999997,184233.00159999914,111
Mind for Better Mental Health,15-19 Broadway ,Stratford ,E15 4BQ,Newham,https://www.mind.org.uk/,10008984107,E09000025,Stratford,E05013924,51.54023648,0.001086514,538871.0114000002,184268.00119999982,111
Movement for Christian Democracy,Mayflower Family Centre ,Vincent Street ,E16 1LZ,Newham,https://www.britannica.com/topic/Christian-democracy,10008988833,E09000025,Canning Town South,E05013907,51.51524569,0.013149883,539784.0110999998,181512.00329999998,111
Newham Archive and Local Studies Library,Stratford Library ,3 The Grove ,E15 1EL,Newham,https://www.newham.gov.uk/Pages/Services/Local-history-and-archives.aspx,46101428,E09000025,Stratford,E05013924,51.54277052,0.004355963,539090.0105999997,184556.00060000084,111
"Theatre Royal, Stratford East",Gerry Raffles Square, ,E15 1BN,Newham,http://www.stratfordeast.com/,10009003230,E09000025,Stratford,E05013924,51.54255806,0.001000881,538858.0111999996,184526.00170000084,111
University of East London: Library and Learning Centr,Library and Learning Service: Archives University ,4-6 University Way ,E16 2RD,Newham,https://www.uel.ac.uk/discover/library,10008997988,E09000025,Royal Albert,E05013922,51.50748597,0.064786409,543391.0122999996,180749.00200000033,111
R.A.W Studios,"Norton Quays,",Royal Albert Wharf,,Newham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,10012839984,E09000025,Royal Albert,E05013922,51.50636087,0.074924925,544098.1059999997,180643.78969999962,111
Flying Angel,287 Victoria Dock Rd,,,Newham,www.acava.org,10023998099,E09000025,Custom House,E05013908,51.51019552,0.028044592,540833.0097000003,180979.00390000083,111
Red Door Studios,Rear of 120 High Street South,120 High Street South,,Newham,https://www.throughthereddoor.org/get-in-touch/,10008987682,E09000025,East Ham South,E05013910,51.52640867,0.055983302,542721.0126,182836.00159999914,111
Napier Works,57-63 Napier Rd,,,Newham,www.artcoreint.net,10008994852,E09000025,Wall End,E05013926,51.53075547,0.061946286,543121.0121999998,183331.00269999914,111
Warton House,150 Stratford High Street,Stratford,,Newham,www.acme.org.uk,10093475501,E09000025,Stratford,E05013924,51.53466962,-0.006814132,538340.0083999997,183633.99650000036,111
Rowse Close,1 and 3a Rowse Close,Stratford,,Newham,www.acme.org.uk,46250199,E09000025,Stratford,E05013924,51.5382833,-0.007261893,538298.0076000001,184034.99479999952,111
Stratford Studios,375 High Street,Stratford,,Newham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,10012838724,E09000025,Stratford,E05013924,51.53885852,-0.000372685,538774.0118000004,184112.00180000067,111
Old Manor Park Library,835 Romford Road,Newham,,Newham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,10009001282,E09000025,Manor Park,E05013916,51.55312932,0.053754443,542483.0120999999,185803.0022,111
Silver Building (Projekt),60 Dock road,London,,Newham,http://thisisprojekt.com/silverbuilding,10008985422,E09000025,Royal Victoria,E05013923,51.504762,0.017112899,540091.1370999999,180353.8239999991,111
Rosetta Arts,1 Hamilton Rd,,,Newham,https://rosettaarts.org/,46034253,E09000025,Canning Town North,E05013906,51.524916,0.007076147,539333.0970999999,182575.73460000008,111
SPACE,Aspire Point,Jupp Road West,,Newham,https://spacestudios.org.uk/buildings/aspire-point-e15 ,10093476523,E09000025,Stratford,E05013924,51.536776,-0.004428204,538499.0908000004,183872.7402999997,111
Stratford Studios,Duncan House,Jupp Road,Stratford,Newham,https://www.stourstudios.co.uk/duncan-house,10094369425,E09000025,Stratford,E05013924,51.538021,-0.002513575,538628.0904000001,184014.81079999916,111
Stratford Circus Arts Centre ,Theatre Square,,E15 1BX,Newham,https://stratford-circus.com/,10008996899,E09000025,Stratford,E05013924,51.5427166,0.001743614,538909.0311000003,184545.04150000028,111
Showcase Newham,,Jenkins Ln,IG11 0AD,Newham,,10008989589,E09000025,Beckton,E05013904,51.526341,0.08118208,544469.1211999999,182877.88289999962,111
Stratford East Picturehouse,,Gerry Raffell Square,E15 1BX,Newham,,10008985556,E09000025,Stratford,E05013924,51.543051,0.00148522,538890.0961999996,184581.73670000024,111
Vue Westfield Stratford,2 Stratford Place,Westfield Stratford City ,E15 1AA,Newham,,10090326480,E09000025,Stratford Olympic Park,E05013925,51.54366,-0.00649,538335.2414999995,184634.34809999913,111
