name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Chartered Insurance Institute,42-48 High Road,South Woodford ,E18 2JP,Redbridge,https://www.cii.co.uk/,100023000000,E09000026,South Woodford,E05011252,51.59393333,0.022654036,540201.5173000004,190280.4087000005,29
Valentines Mansion,Valentines Mansion,Emerson Road,,Redbridge,http://www.valentinesmansion.com,10034921528,E09000026,Valentines,E05011253,51.57210608,0.066377156,543298.4552999996,187937.88639999926,29
SPACE,Redbridge Town Hall,"Oakfield Road, Illford",,Redbridge,www.spacestudios.org.uk/buildings/space-ilford-redbridge-town-hall-oakfield-road/,10094819396,E09000026,Ilford Town,E05011246,51.558472,0.074540907,543907.1608999996,186437.7798999995,29
Redbridge Drama Centre ,Churchfields,South Woodford ,E18 2RB,Redbridge,https://redbridgedramacentre.co.uk/RedbridgeDramaCentre.dll/Home,100023000000,E09000026,Churchfields,E05011238,51.5984529,0.022659873,540188.0140000004,190783.00520000048,29
Cineworld Illford,,Clements Rd,IG1 1BP,Redbridge,,10034911858,E09000026,Ilford Town,E05011246,51.55762,0.0743,543893.1485000001,186342.56240000017,29
Odeon South Woodford,,60-64 High Road,E18 2QL,Redbridge,,10034922603,E09000026,South Woodford,E05011252,51.594558,0.02316798,540235.1912000002,190350.85799999908,29
Kenneth More Theatre,Kenneth More Road,,,Redbridge,www.kmtheatre.co.uk/hire-us/,100023043000,E09000026,Ilford Town,E05011246,51.55867744,0.075240584,543955.0115,186462.00129999965,29
Isaac Newton Academy,1 Cricklefield Place,,,Redbridge,http://www.isaacnewtonacademy.org,10090503930,E09000026,Ilford Town,E05011246,51.56180574,0.091602726,545079.2121000001,186842.19189999998,29
Kenneth More Theatre,Kenneth More Road,,,Redbridge,www.kmtheatre.co.uk/hire-us/,100023043000,E09000026,Ilford Town,E05011246,51.55867744,0.075240584,543955.0115,186462.00129999965,29
Redbridge Central Library,,,,Redbridge,,100023043071,E09000026,Clementswood,E05011240,51.55755549,0.076933039,544075.8660000004,186340.56909999996,29
Goodmayes Library,,,,Redbridge,,100023050383,E09000026,Goodmayes,E05011244,51.55889344,0.110599992,546405.2585000005,186556.18759999983,29
Aldersbrook Library,,,,Redbridge,,100023583395,E09000026,Wanstead Park,E05011254,51.56285706,0.034606393,541125.4863999998,186847.60679999925,29
Seven Kings Library,,,,Redbridge,,10034922466,E09000026,Goodmayes,E05011244,51.5642506,0.10146687,545755.0900999997,187133.67049999908,29
Wanstead Library,,,,Redbridge,,100022960264,E09000026,Wanstead Village,E05011255,51.57538383,0.026895284,540552.4265000001,188225.76710000075,29
Keith Axon Library,,,,Redbridge,,10090503264,E09000026,Chadwell,E05011237,51.57387616,0.122929149,547211.494,188247.01219999976,29
Gants Hill Library,,,,Redbridge,,10034912233,E09000026,Barkingside,E05011235,51.57712887,0.071676366,543649.8356999997,188506.8144000005,29
Clayhall Library,,,,Redbridge,,100023051395,E09000026,Clayhall,E05011239,51.58979452,0.051056985,542181.6595999999,189874.96719999984,29
Fullwell Cross Library,,,,Redbridge,,10013585783,E09000026,Fairlop,E05011242,51.59269709,0.08689642,544654.9606999997,190267.99479999952,29
South Woodford Library and Gym,,,,Redbridge,,10034922615,E09000026,Churchfields,E05011238,51.59663025,0.023571198,540256.7388000004,190582.0691999998,29
Woodford Green Library,,,,Redbridge,,200001843478,E09000026,Monkhams,E05011249,51.6070902,0.033954993,540943.5236999998,191765.18950000033,29
Hainault Library,,,,Redbridge,,10034923013,E09000026,Hainault,E05011245,51.60753869,0.105766669,545914.4074999997,191955.84190000035,29
Redbridge Museum,Redbridge Central Library,Clements Road,lford,Redbridge,redbridgefirstworldwar.org.uk,10091799736,E09000026,Clementswood,E05011240,51.55755549,0.076933039,544075.8660000004,186340.56909999996,29
SPACE Ilford,10 Oakfield Road,Ilford,IG1 1ZJ,Redbridge,https://spacestudios.org.uk/visit-space-ilford/,10094819396,E09000026,Ilford Town,E05011246,51.558472,0.074540907,543907.1608999996,186437.7798999995,29
Gess Productions Ltd,55 Leybourne Road,Waltham Forest,,Redbridge,,100022563142,E09000026,Wanstead Park,E05011254,51.56589052,0.018839074,540023.3293000003,187154.62230000086,29
Cover-Tex Ltd,56-58 Fowler Road,,,Redbridge,https://www.covertexltd.co.uk,100023052049,E09000026,Hainault,E05011245,51.60837451,0.126398858,547340.2777000004,192090.12030000053,29
Redbridge Drama Centre,Churchfields, South Woodford,,Redbridge,https://redbridgedramacentre.co.uk/RedbridgeDramaCentre.dll/Page?PageID=0&SubPageID=17,100022987836,E09000026,Churchfields,E05011238,51.59866,0.02258,540181.8452000003,190805.88209999911,29
Kenneth More Theatre,Oakfield Road, Ilford,,Redbridge,https://visionrcl.org.uk/centre/kenneth-more-theatre/ / https://visionrcl.org.uk/venues/kenneth-more-the,100023043000,E09000026,Ilford Town,E05011246,51.558676,0.075213821,543953.1608999996,186461.7884999998,29
Redbridge Drama Centre,Churchfields, South Woodford,,Redbridge,http://www.redbridgedramacentre.co.uk/,100022987836,E09000026,Churchfields,E05011238,51.5987895,0.025399644,540376.7187000001,190825.68840000033,29
Kenneth More Theatre,Oakfield Road, Ilford,,Redbridge,https://www.kmtheatre.co.uk/,100023043000,E09000026,Ilford Town,E05011246,51.56052556,0.071015406,543656.3244000003,186659.21189999953,29
