name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Orleans House Gallery,Riverside, ,TW1 3DJ,Richmond upon Thames,https://www.orleanshousegallery.org/,100000000000,E09000027,Twickenham Riverside,E05013789,51.44733169,-0.319072216,516907.01209999993,173378.00269999914,74
St Paul's School Archives,Lonsdale Road, ,SW13 9JT,Richmond upon Thames,https://www.stpaulsschool.org.uk/st-pauls/academic/library,100000000000,E09000027,Barnes,E05013774,51.48769585,-0.237417739,522472.91700000037,177999.88069999963,74
"Surrey University: St Mary's College, Strawberry Hill",Learning Resources Centre St Mary's College ,Strawberry Hill  Waldegrave Road,TW1 4SX,Richmond upon Thames,https://www.stmarys.ac.uk/home.aspx,100000000000,E09000027,South Twickenham,E05013787,51.43615142,-0.335885113,515767.01290000044,172108.00290000066,74
World Rugby Museum,Twickenham Stadium ,Rugby Road Twickenham,TW1 1DZ,Richmond upon Thames,http://www.worldrugbymuseum.com/,100000000000,E09000027,St Margarets & North Twickenham,E05013785,51.45564884,-0.341739408,515311.01460000034,174267.00459999964,74
OSO Arts Centre,49 Station Rd,,SW13 0LF,Richmond upon Thames,http://www.osoarts.org.uk/,200003000000,E09000027,Mortlake & Barnes Common,E05013783,51.47230095,-0.246625659,521874.63159999996,176272.60050000064,74
The Landmark Arts Centre ,Landmark Arts Centre ,Ferry Road ,TW11 9NN,Richmond upon Thames,http://www.landmarkartscentre.org/,10024344794,E09000027,Teddington,E05013788,51.4280867,-0.324626903,516570.01400000043,171229.00200000033,74
Curzon Richmond,,Water Lane,TW9 1TJ,Richmond upon Thames,,100023409354,E09000027,South Richmond,E05013786,51.459287,-0.30685176,517725.43790000025,174727.0373999998,74
Odeon Richmond,,72 Hill Street ,TW9 1RW,Richmond upon Thames,,10002264393,E09000027,South Richmond,E05013786,51.459412,-0.30558038,517813.4375,174742.98000000045,74
Olympic Cinema,,117-123 Church Road,SW13 9HL ,Richmond upon Thames,,10070710572,E09000027,Barnes,E05013774,51.475211,-0.24078632,522272.3953999998,176605.92320000008,74
Eleven,17 Gothic Road,Twickenham,,Richmond upon Thames,http://www.elevenfineart.com/#,100022336038,E09000027,West Twickenham,E05013790,51.442456,-0.3492755,514820.5190000003,172788.04509999976,74
Sarah Myerscough Gallery,The Old Boathouse,1 White Hart Lane,,Richmond upon Thames,https://www.sarahmyerscough.com/,100023308237,E09000027,Mortlake & Barnes Common,E05013783,51.470772,-0.25548509,521263.4035,176087.8925999999,74
Richmond Theatre,15 Little Green,,,Richmond upon Thames,,10002264543,E09000027,South Richmond,E05013786,51.46212985,-0.303844781,517927.0120000001,175048.00310000032,74
Landmark Arts Centre,1 Cloister Close,,,Richmond upon Thames,http://www.landmarkartscentre.org,10024344794,E09000027,Teddington,E05013788,51.4280867,-0.324626903,516570.01400000043,171229.00200000033,74
"Studio K, Richmond Fitness Club",Richmond Station Left,Kew Road,,Richmond upon Thames,http://www.studiokdance.co.uk,10024346023,E09000027,South Richmond,E05013786,51.46347521,-0.301706458,518072.08210000023,175201.05260000005,74
Kellys Dance Studio,12 Park Road,,,Richmond upon Thames,https://www.kellysdance.co.uk/,100023057520,E09000027,Hampton Wick & South Teddington,E05013780,51.41315475,-0.312403174,517458.0131999999,169588.00239999965,74
Rambert School Studio Theatre,"St. Margaret's Drive,",Clifton Lodge,,Richmond upon Thames,http://www.rambertschool.org.uk,100023391009,E09000027,St Margarets & North Twickenham,E05013785,51.46182116,-0.321764604,516683.0108000003,174985.0036999993,74
Richmond Upon Thames College,Egerton Road,,,Richmond upon Thames,https://www.rutc.ac.uk,100023401636,E09000027,St Margarets & North Twickenham,E05013785,51.45148243,-0.341530616,515336.01690000016,173804.0033999998,74
Richmond and Hillcroft Adult Community College,Parkshot ,,,Richmond upon Thames,https://www.rhacc.ac.uk/contact-rhacc/contact-us,10070711497,E09000027,South Richmond,E05013786,51.46437949,-0.30267477,518002.4919999996,175300.0521000009,74
"Studio K, Richmond Fitness Club",Richmond Station Left,Kew Road,,Richmond upon Thames,http://www.studiokdance.co.uk,10024346023,E09000027,South Richmond,E05013786,51.46347521,-0.301706458,518072.08210000023,175201.05260000005,74
Studio Kew ,Arch 8 Kew Bridge,Kew ,,Richmond upon Thames,https://www.studiokew.co.uk/studio-hire,See notes ,E09000027,Kew,E05013782,51.48622,-0.2876,518992.83779999986,177753.11900000088,74
Georgina Skan Ltd,"50a Station Rd, London SW13 0LP",,,Richmond upon Thames,https://www.georginaskan.com/,100023573527,E09000027,Mortlake & Barnes Common,E05013783,51.47197,-0.24702,521848.12569999974,176235.14299999923,74
Amulette Ltd,"Suite D, 8 The Causeway",Teddington,,Richmond upon Thames,http://www.amulette.co.uk/,10070710083,E09000027,Teddington,E05013788,51.42530264,-0.334314129,515903.62959999964,170904.03649999946,74
Hampton,,,,Richmond upon Thames,,100023398181,E09000027,Hampton,E05013778,51.41335784,-0.368733087,513540.3371000001,169521.86150000058,74
Hampton Wick,,,,Richmond upon Thames,,10002251905,E09000027,Hampton Wick & South Teddington,E05013780,51.41327031,-0.311754655,517502.81400000025,169601.89220000058,74
Hampton Hill,,,,Richmond upon Thames,,10024344272,E09000027,Fulwell & Hampton Hill,E05013776,51.4259997,-0.354371646,514507.45579999965,170950.0281000007,74
Teddington,,,,Richmond upon Thames,,10002264575,E09000027,Teddington,E05013788,51.42722399,-0.332819999,516002.6431999998,171120.06570000015,74
Ham,,,,Richmond upon Thames,,100023395688,E09000027,"Ham, Petersham & Richmond Riverside",E05013777,51.43737166,-0.311671896,517446.77410000004,172282.22250000015,74
Heathfield Library Access Point,,,,Richmond upon Thames,,100023401561,E09000027,West Twickenham,E05013790,51.4434674,-0.362896718,513871.38910000026,172879.26449999958,74
Twickenham,,,,Richmond upon Thames,,100023574356,E09000027,Twickenham Riverside,E05013789,51.44697104,-0.326329333,516403.6649000002,173326.34469999932,74
Whitton,,,,Richmond upon Thames,,100023401915,E09000027,Whitton,E05013791,51.45223366,-0.357588317,514218.43769999966,173862.3925999999,74
Richmond Information and Reference Library. Richmond ,,,,Richmond upon Thames,,10002264550,E09000027,South Richmond,E05013786,51.4583449,-0.304851588,517866.8099999996,174625.48680000007,74
Richmond Lending Library,,,,Richmond upon Thames,,10002249444,E09000027,South Richmond,E05013786,51.46178601,-0.302132551,518046.8365000002,175012.52270000055,74
East Sheen,,,,Richmond upon Thames,,100023310505,E09000027,East Sheen,E05013775,51.46489979,-0.266021105,520547.1188000003,175417.5236000009,74
Kew,,,,Richmond upon Thames,,100023410988,E09000027,Kew,E05013782,51.47599683,-0.283069715,519334.00820000004,176623.66059999913,74
Castelnau,,,,Richmond upon Thames,,100023309520,E09000027,Barnes,E05013774,51.47975012,-0.23601797,522591.3755999999,177118.64269999973,74
Richmond Makerlabs ,Little House,Ham Close,Ham,Richmond upon Thames,https://richmondmakerlabs.uk/,10094588041,E09000027,"Ham, Petersham & Richmond Riverside",E05013777,51.437447,-0.3170403,517073.47420000006,172282.01209999993,74
TUCH Design Ltd,Parkshot House,5 Kew Road,,Richmond upon Thames,tuchdesign.com,10024346680,E09000027,South Richmond,E05013786,51.46372,-0.30246964,518018.4391999999,175227.04509999976,74
Museum of Army Music,Royal Military School of Music,Kneller Hall,2 Kneller Rd,Richmond upon Thames,www.army.mod.uk â€º Corps of Army Music â€º The Royal Military School of Music,10002261149,E09000027,Whitton,E05013791,51.45458757,-0.349097154,514802.50370000023,174137.43239999935,74
Hampton Court Palace,Molesey,East Molesey,NA,Richmond upon Thames,https://www.hrp.org.uk/hampton-court-palace/,10002266633,E09000027,Hampton,E05013778,51.40333861,-0.336075749,515836.61209999956,168458.78859999962,74
Kew Palace,Royal Botanic Gardens Kew,Richmond,NA,Richmond upon Thames,https://www.hrp.org.uk/kew-palace/,10002266941,E09000027,Kew,E05013782,51.48476211,-0.289611457,518856.97229999956,177587.73870000057,74
Strawberry Hill House,268 Waldegrave Rd,Twickenham,NA,Richmond upon Thames,http://www.strawberryhillhouse.org.uk/,10002267260,E09000027,South Twickenham,E05013787,51.43770637,-0.333172189,515951.6376,172285.21140000038,74
Marble Hill House,Richmond Rd,Twickenham,NA,Richmond upon Thames,http://www.culture24.org.uk/se000472,10070709920,E09000027,Twickenham Riverside,E05013789,51.44900128,-0.311746658,517411.7527999999,173575.37939999998,74
Museum of Richmond,Old Town Hall,Whittaker Avenue,Richmond,Richmond upon Thames,www.â€‹museumofrichmond.â€‹com,10070710719,E09000027,South Richmond,E05013786,51.45830224,-0.305011527,517855.80879999977,174620.4857999999,74
World Rugby Museum,Twickenham Stadium,Rugby Road,Twickenham,Richmond upon Thames,http://www.rfu.com/museum,10070721329,E09000027,St Margarets & North Twickenham,E05013785,51.4547979,-0.33915697,515492.5723000001,174176.44150000066,74
Ham House and Garden,Ham House and Garden,Ham St,Richmond-upon-Tham,Richmond upon Thames,https://www.nationaltrust.org.uk/ham-house-and-garden,100022307688,E09000027,"Ham, Petersham & Richmond Riverside",E05013777,51.4431649,-0.314897784,517207.7422000002,172921.29920000024,74
Orleans House Gallery,Riverside,Twickenham,NA,Richmond upon Thames,http://www.richmond.gov.uk/arts,100022344488,E09000027,Twickenham Riverside,E05013789,51.44681783,-0.317512279,517016.71860000025,173323.34809999913,74
Turner's House,40 Sandycoombe Road,Twickenham,TW1 2LR,Richmond upon Thames,https://turnershouse.org/,100022345144,E09000027,Twickenham Riverside,E05013789,51.45381,-0.31622272,517088.4430999998,174102.97309999913,74
Eel Pie Island Museum,1-3 Richmond Road,Twickenham,TW1 3AB,Richmond upon Thames,https://www.eelpiemuseum.co.uk/,100023392218,E09000027,Twickenham Riverside,E05013789,51.448361,-0.3256336,516448.47250000015,173482.02180000022,74
The Bulls Head Barnes,373 Lonsdale Road,Richmond Upon Thames,373 Lonsdale Road,Richmond upon Thames,www.thebullsheadbarnes.com,100000000000,E09000027,Mortlake & Barnes Common,E05013783,51.47325742,-0.249258211,521689.2627999997,176374.59139999934,74
St Stephen's Church,Richmond Road East Twickenham Middlesex Tw1 2pd ,,Richmond Road East,Richmond upon Thames,https://www.st-stephens.org.uk/,0,E09000027,Twickenham Riverside,E05013789,51.4523837,-0.311313371,517433.18340000045,173952.21580000035,74
Cabbage Patch (The),67 London Road,Richmond Upon Thames,,Richmond upon Thames,www.cabbagepatch.co.ukwhats-on,100000000000,E09000027,Twickenham Riverside,E05013789,51.4482958,-0.328411057,516255.64940000046,173470.3616000004,74
Red Cow,59 Sheen Road,Richmond Upon Thames,59 Sheen Road,Richmond upon Thames,www.redcowpub.com,100000000000,E09000027,South Richmond,E05013786,51.46121837,-0.295242983,518526.8877999997,174960.51520000026,74
Twickenham Stoop,Langhorn Dr,Twickenham,Langhorn Dr,Richmond upon Thames,Stadium | Your Club | Harlequins Rugby Union,,E09000027,St Margarets & North Twickenham,E05013785,51.450860017,-0.342940036,515239.6573999999,173732.56980000064,74
