name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
DayCare Trust,21 St George Road, ,SE1 6ES,Southwark,,200003000000,E09000028,St George's,E05011114,51.49529754,-0.102666646,531806.0131000001,179079.00359999947,380
Action for Blind People,14-16 Verney Road, ,SE16 3DZ,Southwark,https://www.rnib.org.uk/who-we-are/action-for-blind-people,200003000000,E09000028,Old Kent Road,E05011109,51.48468217,-0.062835752,534602.0131000001,177971.00239999965,380
Alleyn's School Archive,Townley Road ,Dulwich ,SE22 8SU,Southwark,https://www.alleyns.org.uk/senior-school/aboutalleyns/school-archive,200003000000,E09000028,Goose Green,E05011103,51.45478129,-0.081993244,533359.0119000003,174611.00239999965,380
Bankside Gallery,48 Hopton Street, Blackfriars ,SE1 9JH,Southwark,https://www.banksidegallery.com/,200003000000,E09000028,Borough & Bankside,E05011095,51.50819212,-0.100934689,531889.0115999999,180516.0019000005,380
British School of Osteopathy,275 Borough High Street, ,SE1 1JE,Southwark,https://www.uco.ac.uk/,200003000000,E09000028,Chaucer,E05011098,51.50008115,-0.094312879,532372.0114000002,179626.00320000015,380
Chartered Institute of Journalists,2 Dock Offices ,Surrey Quays Road ,SE16 2XU,Southwark,https://cioj.org/,200003000000,E09000028,Rotherhithe,E05011112,51.49677063,-0.051027719,535386.0120000001,179337.00290000066,380
Confederation of Indian Organisations (UK),5 Westminster Bridge Road, ,SE1 7XW,Southwark,http://www.ciostrokeproject.co.uk/,10000813756,E09000028,St George's,E05011114,51.49843095,-0.105691744,531587.0124000004,179422.00249999948,380
Co-operative Party,77 Weston Street, ,SE1 3SD,Southwark,https://party.coop/,200003000000,E09000028,London Bridge & West Bermondsey,E05011104,51.50207687,-0.085987748,532944.0115999999,179863.00060000084,380
Dulwich College Archive,Dulwich College ,Dulwich Common ,SE21 7LD,Southwark,https://www.dulwich.org.uk/about/history/the-archives,200003000000,E09000028,Dulwich Wood,E05011101,51.44028029,-0.085018121,533191.0120000001,172993.00249999948,380
Dulwich Picture Gallery,Gallery Road, ,SE21 7AD,Southwark,https://www.dulwichpicturegallery.org.uk/,200003000000,E09000028,Dulwich Village,E05011100,51.4459777,-0.086420365,533077.0118000004,173624.00119999982,380
Electoral Reform Society of Great Britain and Ireland,Thomas Hare House ,6 Chancel Street ,SE1 0UU,Southwark,https://www.electoral-reform.org.uk/,200003000000,E09000028,Borough & Bankside,E05011095,51.50515771,-0.102919768,531760.0115,180175.00310000032,380
Imperial War Museum Department of Documents,Lambeth Road, ,SE1 6HZ,Southwark,https://www.iwm.org.uk/collections/documents,200000000000,E09000028,St George's,E05011114,51.49600948,-0.108327792,531411.0131000001,179148.00249999948,380
