name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
London Borough of Sutton: Archives & Local Studies,Level 2A Central Library ,St Nicholas Way ,SM1 1EA,Sutton,https://arena.yourlondonlibrary.net/web/sutton/sutton-archives,5870113864,E09000029,Sutton Central,E05013765,51.36207339,-0.195154616,525751.0114000002,164102.00170000084,32
Oaks Park,Croydon Lane,Carshalton,,Sutton,www.acme.org.uk,768018029,E09000029,Carshalton South & Clockhouse,E05013757,51.33383365,-0.174127333,527293.0125000002,160998.00200000033,32
The Chatsworth Studio,60 Upper Mulgrave Road,,,Sutton,http://www.chatsworthstudio.com,5870018940,E09000029,Cheam,E05013758,51.35514001,-0.212172083,524585.1117000002,163301.97140000015,32
Sutton Dance Academy,Rose Hill Park,,,Sutton,https://www.better.org.uk,5870040509,E09000029,Sutton North,E05013766,51.37797068,-0.19562163,525675.0104999999,165869.00439999998,32
Wallington High School for Girls,129 Woodcote Rd,,,Sutton,http://www.wallingtongirls.sutton.sch.uk,5870087159,E09000029,Wallington South,E05013771,51.34799637,-0.148836393,529015.0129000004,162617.00210000016,32
The Warehouse Dance and Fitness Studio,1st Floor,173-177 Stafford Road,Wallington,Sutton,https://www.thewarehousedancestudios.co.uk/studio-hire-parties,5870090992 ,E09000029,Wallington South,E05013771,51.35934,-0.13878086,529683.2444000002,163896.08139999956,32
Library @ the Phoenix Centre,,,,Sutton,,5870113095,E09000029,South Beddington & Roundshaw,E05013763,51.35268985,-0.131684671,530196.1142999995,163169.1442000009,32
Wallington Library,,,,Sutton,,5870076858,E09000029,Wallington South,E05013771,51.35732129,-0.149222392,528961.9692000002,163653.23479999974,32
Cheam Library,,,,Sutton,,5870018019,E09000029,Cheam,E05013758,51.35957626,-0.215126355,524367.4117999999,163790.2776999995,32
Sutton Central Library,,,,Sutton,,5870113864,E09000029,Sutton Central,E05013765,51.36154844,-0.193586833,525861.5924000004,164046.31560000032,32
Library @ Westcroft Centre,,,,Sutton,,5870122731,E09000029,Wallington North,E05013770,51.36742881,-0.156544791,528423.9084000001,164764.35089999996,32
Worcester Park Library,,,,Sutton,,5870109125,E09000029,Worcester Park North,E05013772,51.37753233,-0.239807077,522601.2576000001,165745.53030000068,32
Library @ The Life Centre,,,,Sutton,,5870120544,E09000029,Sutton North,E05013766,51.37837931,-0.200253584,525351.5526999999,165906.52419999987,32
The Circle Library,,,,Sutton,,5870120398,E09000029,St Helier East,E05013761,51.38506086,-0.172897523,527236.7643999998,166696.59899999946,32
Whitehall Historic House,1 Malden Road,Cheam,Surrey,Sutton,https://whitehallmuseum.wordpress.com/,5870019263,E09000029,Cheam,E05013758,51.35885564,-0.215642786,524333.4071000004,163709.2684000004,32
Little Holland House,40 Beeches Ave,Carshalton,NA,Sutton,http://www.sutton.gov.uk/,5870060822,E09000029,Carshalton South & Clockhouse,E05013757,51.35475421,-0.169004517,527591.7998000002,163333.24829999916,32
Honeywood Museum,Honeywood Walk,Carshalton,Surrey,Sutton,http://www.friendsofhoneywood.co.uk/,5870115967,E09000029,Carshalton Central,E05013756,51.36460606,-0.163496882,527947.8483999996,164438.33860000037,32
Boom Boom Club,Sutton United Football Club The Borough Sports Gro,Gander Green Ln,Sutton United Foot,Sutton,www.feenstra.co.uk/boomboom,0,E09000029,Sutton West & East Cheam,E05013768,51.36708629,-0.202794141,525205.5173000004,164646.37570000067,32
Wonderland,10-12 Cheam Road; London SM1 1SR,,,Sutton,,,E09000029,Sutton Central,E05013765,51.361307,-0.192979,525904.5694000004,164020.5103999991,32
Sound Lounge (The),216-220 High St,Sutton,,Sutton,https://www.thesoundlounge.org.uk/,,E09000029,Sutton Central,E05013765,51.366299983,-0.194320008,525797.5421000002,164573.43329999968,32
Boom Boom Club,Sutton United Football Club The Borough Sports Gro,Gander Green Ln,Sutton United Foot,Sutton,www.feenstra.co.uk/boomboom,0,E09000029,Sutton West & East Cheam,E05013768,51.36708629,-0.202794141,525205.5173000004,164646.37570000067,32
Sound Lounge (The),216-220 High St,Sutton,,Sutton,https://www.thesoundlounge.org.uk/,,E09000029,Sutton Central,E05013765,51.36602487,-0.19265067,525914.4982000003,164545.70419999957,32
Wonderland,10-12 Cheam Road; London SM1 1SR,,,Sutton,,,E09000029,Sutton Central,E05013765,51.361307,-0.192979,525904.5694000004,164020.5103999991,32
Boom Boom Club,Sutton United Football Club The Borough Sports Gro,Gander Green Ln,Sutton United Foot,Sutton,www.feenstra.co.uk/boomboom,,E09000029,Sutton West & East Cheam,E05013768,51.36708629,-0.202794141,525205.5173000004,164646.37570000067,32
Starcity Studios,2 Sutton Ct Rd Sutton,,,Sutton,www.starcitystudios.co.uk,5870119821,E09000029,Sutton Central,E05013765,51.3604,-0.1905,526079.6394999996,163923.90929999948,32
Soundbox Studios,"Unit 4, Pandora House",41-45 Lind Road,,Sutton,,5870127817,E09000029,Sutton Central,E05013765,51.36471,-0.18601,526380.3728999998,164410.90860000066,32
Soundbox Studios,"Unit 4, Pandora House",41-45 Lind Road,,Sutton,https://www.soundboxuk.com/, 5870051407,E09000029,Sutton Central,E05013765,51.364904,-0.18623386,526364.256,164432.0957999993,32
Starcity Studios,2 Sutton Court Road,,,Sutton,https://www.starcitystudios.co.uk/, 5870119821,E09000029,Sutton Central,E05013765,51.360066,-0.19086341,526055.2554000001,163886.14379999973,32
Temple Music Studio,48 The Ridgway,,,Sutton,https://templemusicstudio.com/, 5870045447,E09000029,Sutton South,E05013767,51.354418,-0.18098938,526758.2540999996,163275.0990999993,32
Crunch Studios,Crunch Studio 39b,High Street,Sutton,Sutton,http://www.crunchstudios.co.uk/,5870119991,E09000029,Carshalton Central,E05013756,51.36541964,-0.158033484,528325.8953,164538.3337999992,32
Music Studios London,2-4 Rosehill Court Parade,St Helier Ave,Morden,Sutton,www.musicstudioslondon.com,5870054132,E09000029,St Helier West,E05013762,51.38511291,-0.187829465,526197.6518999999,166676.6007000003,32
Soundbox Studios,"Unit 4, Pandora House",41-45 Lind Road,,Sutton,https://www.soundboxuk.com/, 5870051407,E09000029,Sutton Central,E05013765,51.364904,-0.18623386,526364.256,164432.0957999993,32
