name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Chisenhale Gallery,64 Chisenhale Road ,Bow ,E3 5QZ,Tower Hamlets,https://chisenhale.org.uk/,,E09000030,Bow West,E05009320,51.53319,-0.03949,536078.2774999999,183408.27850000001,374
Crisis,66 Commercial Street, ,E1 6LT,Tower Hamlets,https://www.crisis.org.uk/,6155270,E09000030,Spitalfields & Banglatown,E05009333,51.51811045,-0.073885005,533737.0119000003,181668.00320000015,374
East London Mosque & London Muslim Centre Archive,4th Floor ,46-92 Whitechapel Road ,E1 1JX,Tower Hamlets,https://www.eastlondonmosque.org.uk/content/east-london-mosque-london-muslim-centre-archive-collections,6012773,E09000030,Whitechapel,E05009336,51.51746961,-0.065552047,534317.0120000001,181612.00379999913,374
Historic Royal Palaces Architectural Drawings Archive,Waterloo Block HM Tower of London, ,EC3N 4AB,Tower Hamlets,https://blog.hrp.org.uk/archive/,6086565,E09000030,St Katharine's & Wapping,E05009330,51.50827523,-0.076245514,533602.0120000001,180570.0022,374
HSBC Group Archives,HSBC Holdings plc 8 Canada Square, ,E14 5HQ,Tower Hamlets,https://www.hsbc.com/about-hsbc/company-history/hsbc-archives,6151241,E09000030,Canary Wharf,E05009323,51.50553219,-0.017395336,537694.0111999996,180374.0036999993,374
Lasa,Watson House,54 Baker Street ,W1U 7BU,Tower Hamlets,http://www.lasa.org.uk/,6002410,E09000030,Spitalfields & Banglatown,E05009333,51.5170911,-0.070958811,533943.0120000001,181560.00290000066,374
Lesbian and Gay Christian Movement,Oxford House ,Derbyshire Street ,E2 6HG,Tower Hamlets,https://www.onebodyonefaith.org.uk/about-us/new-era-new-name/,6089004,E09000030,St Peter's,E05009331,51.52636805,-0.061484047,534573.0115,182609.00390000083,374
Live Art Development Agency's Study Room,White Building, Unit 7 Queen's Yard  White Post Lane,E9 5EN,Tower Hamlets,http://www.thisisliveart.co.uk/resources/study-room/,6077530,E09000030,Bow East,E05009319,51.54298591,-0.02211269,537254.0120999999,184530.0030000005,374
Living Streets,4th Floor Universal House ,88-94 Wentworth Street ,E1 7SA,Tower Hamlets,https://www.livingstreets.org.uk/,6198476,E09000030,Spitalfields & Banglatown,E05009333,51.51708235,-0.070973594,533942.0120999999,181559.00280000083,374
London Metropolitan University: Trades Union Congress,The Wash Houses ,Old Castle Street ,E1 7NT,Tower Hamlets,https://student.londonmet.ac.uk/library/using-the-library/special-collections/trades-union-congress-libr,,E09000030,Spitalfields & Banglatown,E05009333,51.51596508,-0.07371457,533755.1194000002,181429.74679999985,374
"London University: Queen Mary, University of London",Archives Mile End Library Queen Mary University of,328 Mile End Road ,E1 4NS,Tower Hamlets,https://www.qmul.ac.uk/,6164839,E09000030,Bethnal Green,E05009317,51.52418885,-0.039664421,536093.0120000001,182407.00359999947,374
Minority Rights Group,Minority Rights Group International ,54 Commercial Street London ,E1 6LT,Tower Hamlets,https://minorityrights.org/,6715453,E09000030,Spitalfields & Banglatown,E05009333,51.51744496,-0.073336543,533777.0120000001,181595.00249999948,374
Museum of London Docklands - Port and River Archive,No 1 Warehouse ,West India Quay  Hertsmere Road,E14 4AL,Tower Hamlets,https://www.museumoflondon.org.uk/collections/access-and-enquiries/port-london-authority-archive,6650052,E09000030,Canary Wharf,E05009323,51.50769779,-0.023152002,537288.0113000004,180604.00129999965,374
Reuters Archive,Thomson Reuters ,30 South Colonnade  Canary Wharf,E14 5EP,Tower Hamlets,https://reuters.screenocean.com/,6155377,E09000030,Canary Wharf,E05009323,51.50435142,-0.020429416,537487.0115999999,180237.0022,374
"Royal Armouries Library, Tower of London",The Library,Royal Armouries HM Tower of London,EC3N 4AB,Tower Hamlets,https://royalarmouries.org/,6086565,E09000030,St Katharine's & Wapping,E05009330,51.50827523,-0.076245514,533602.0120000001,180570.0022,374
Royal College of Psychiatrists,21 Prescot Street, ,E1 8BB,Tower Hamlets,https://www.rcpsych.ac.uk/,6193878,E09000030,Whitechapel,E05009336,51.51141648,-0.071098355,533949.9720999999,180928.7229999993,374
Royal Fusiliers Museum,HM Tower of London, ,EC3N 4AB,Tower Hamlets,https://www.fusiliermuseumlondon.org/home,6086845,E09000030,St Katharine's & Wapping,E05009330,51.50839276,-0.075188563,533675.0119000003,180585.00200000033,374
Royal London Hospital Archives,Royal London Hospital Archives, 9 Prescot Street ,E1 8PR,Tower Hamlets,https://www.bartshealth.nhs.uk/the-royal-london-hospital-museum-and-archives,6086730,E09000030,Whitechapel,E05009336,51.51160555,-0.070412426,533997.0120999999,180951.0036999993,374
Sainsbury Archive,Museum in Docklands ,No 1 Warehouse  West India Quay,E14 4AL,Tower Hamlets,https://www.museumoflondon.org.uk/collections/access-and-enquiries/sainsbury-archive,6650052,E09000030,Canary Wharf,E05009323,51.50769779,-0.023152002,537288.0113000004,180604.00129999965,374
Society for the Protection of Ancient Buildings,37 Spital Square, ,E1 6DY,Tower Hamlets,https://www.spab.org.uk/,6001685,E09000030,Spitalfields & Banglatown,E05009333,51.52020003,-0.078467148,533413.0116999997,181892.00180000067,374
Tower Hamlets Local History Library and Archives,277 Bancroft Road, ,E1 4DQ,Tower Hamlets,https://www.towerhamlets.gov.uk/lgnl/leisure_and_culture/local_history/local_history__archives/local_his,6033654,E09000030,Bethnal Green,E05009317,51.52381997,-0.042347199,535908.0120999999,182361.00239999965,374
Toynbee Hall: Barnett Research Centre,Toynbee Hall ,28 Commercial Street ,E1 6LS,Tower Hamlets,http://www.toynbeehall.org.uk/other-projects/research/,,E09000030,Spitalfields & Banglatown,E05009333,51.51673871,-0.072298991,533851.0652000001,181518.36419999972,374
Unfinished Histories,St Margaret's House Settlement ,21 Old Ford Rd ,E2 9PL,Tower Hamlets,http://www.unfinishedhistories.com/,6040154,E09000030,St Peter's,E05009331,51.52999312,-0.054495932,535047.0104999999,183025.0092999991,374
