name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Waltham Forest Archives,Vestry House Museum ,Vestry Road  Walthamstow,E17 9NH,Waltham Forest,https://walthamforest.gov.uk/content/waltham-forest-archives-and-local-studies-library,100000000000,E09000031,Hoe Street,E05013893,51.58401371,-0.012739358,537780.006,189110,107
William Morris Gallery,Water House ,Lloyd Park  Forest Road,E17 4PP,Waltham Forest,https://www.wmgallery.org.uk/,200000000000,E09000031,William Morris,E05013902,51.59130071,-0.020376611,537229.0076000001,189906.00119999982,107
Lea Bridge Road,Enterprise Park Unit OH ,Lea Bridge Road,,Waltham Forest,www.arbeit.org.uk / www.arebyte.com,100022561712,E09000031,Lea Bridge,E05013895,51.56829694,-0.03476634,536301.0122999996,187321.00320000015,107
Mainyard Studios - 5 Argall Avenue,5 Argall Ave,,,Waltham Forest,https://mainyardstudios.co.uk,10024421362,E09000031,Lea Bridge,E05013895,51.57047233,-0.038482444,536037.0110999998,187556.00239999965,107
Mentmore Studios,11 Argall Avenue,,,Waltham Forest,http://mentmorestudios.co.uk/made/,10093560472,E09000031,Lea Bridge,E05013895,51.57054799,-0.039244046,535984.0111999996,187563.00180000067,107
Unit 1,"Unit 1, 8 Argall Rd",,,Waltham Forest,www.artcoreint.net,UPRN not found,E09000031,Lea Bridge,E05013895,51.57124191,-0.037179377,536125.0113000004,187644.00170000084,107
Wood Street Studios,Barrett Road,,,Waltham Forest,www.woodstreetwalls.co.uk,10093559731,E09000031,Wood Street,E05013903,51.58518778,-0.003507516,538416.0083999997,189258.00139999948,107
Mitre Studios,4a Mitre Avenue,,,Waltham Forest,http://stolen-image.com/mitre.html,UPRN not found,E09000031,William Morris,E05013902,51.58806078,-0.021282421,537176.0051999995,189544.0002999995,107
City Studios E17,30a Borwick Rd,,,Waltham Forest,http://www.citystudios-e17.com/home,10024418496,E09000031,William Morris,E05013902,51.58860521,-0.028520497,536673.0075000003,189591.00090000033,107
Blackhorse Lane Studios,114 blackhorse lane,,,Waltham Forest,http://www.artworksproject.com/docs/info.html,10091183452,E09000031,Higham Hill,E05013892,51.5913952,-0.039401366,535911.0133999996,189881.0025999993,107
Blackhorse Workshop,1-2 Sutherland Rd Path,,,Waltham Forest,www.blackhorseworkshop.co.uk,10091186505,E09000031,Higham Hill,E05013892,51.59204955,-0.038737955,535955.0131000001,189955.00310000032,107
Lloyd Park Artist Studios,Lloyd Park,Walthamstow,,Waltham Forest,https://www.walthamforest.gov.uk/content/lloyd-park,10009143619,E09000031,Chapel End,E05013884,51.59340583,-0.022032233,537108.0050999997,190136.9991999995,107
Cell Project Space Forest Park,"34 Forest Business Park, Argall Avenue",Leyton,,Waltham Forest,https://www.cellprojects.org/studios/new-studios-coming-september-2020,200001456013,E09000031,Lea Bridge,E05013895,51.572215,-0.04013707,535917.1664000005,187746.71880000085,107
Blackhorse Lane E17 ,B Unit 41 Uplands Business Park,,,Waltham Forest,https://www.arbeit.org.uk/blackhorse-rd,1.00024E+11,E09000031,Higham Hill,E05013892,51.592787,-0.042110289,535719.2429999998,190030.75210000016,107
LEYTON GREEN STUDIOS E10,"Market Parade, 778-782 High Rd ",Leyton,,Waltham Forest,https://www.arbeit.org.uk/market-parade-e10,100022957048,E09000031,Forest,E05013887,51.574137,-0.010022437,537998.0915000001,188016.78170000017,107
Leyton High Road Studios,452 High Road Leyton,,,Waltham Forest,https://bowarts.org/studios/leyton-high-road-studios,See notes,E09000031,Grove Green,E05013888,51.56433,-0.01068,537982.1908,186924.97819999978,107
Leyton Studios (Bow Arts),452 High Road Leyton,,,Waltham Forest,https://bowarts.org/studios/leyton-high-road-studios,200001420635,E09000031,Grove Green,E05013888,51.564649,-0.010552129,537990.0883,186960.6928000003,107
Stroud Green (Arbeit Studios),778-782 High Rd Leyton,London,,Waltham Forest,https://www.arbeit.org.uk/stroud-green-n4,100022957048,E09000031,Forest,E05013887,51.574137,-0.010022437,537998.0915000001,188016.78170000017,107
Empire Walthamstow ,,267 High St,E17 7FD,Waltham Forest,,200001433603,E09000031,High Street,E05013891,51.58495,-0.02003,537272.1174999997,189200.41119999997,107
This Time Next Year,This Time Next Year,80 Ruckholt Road,,Waltham Forest,https://www.thistimenextyear.co.uk/,10093559245,E09000031,Leyton,E05013896,51.55692352,-0.009562731,538082.0404000003,186103.46719999984,107
Rara,Rara,2 Grosvenor Way,,Waltham Forest,www.r-a-r-a.com/,100023007793,E09000031,Valley,E05013901,51.61686,-0.017962308,537319.1807000004,192752.8582000006,107
Creative Works,7 Blackhorse Ln,,,Waltham Forest,https://www.creativeworks.space/,No UPRN,E09000031,St James,E05013899,51.58867,-0.04009,535871.4312000005,189576.66379999928,107
Narrow Yard ,20 Wilmot Road,Leyton,,Waltham Forest,https://www.narrowyard.co.uk/,100022955018 ,E09000031,Leyton,E05013896,51.56283,-0.012521594,537859.0876000002,186754.70600000024,107
Meanwhile Space,Central Parade,6-10 Central Parade,Hoe Street,Waltham Forest,https://www.meanwhilespace.com/single-post/central-parade,200001421163,E09000031,Hoe Street,E05013893,51.58524,-0.01922,537327.358,189234.18180000037,107
Arbeit / Arebyte,Lea Bridge Road,Enterprise Park Unit Oh,Lea Bridge Road,Waltham Forest,www.arbeit.org.uk / www.arebyte.com,10024423026,E09000031,Lea Bridge,E05013895,51.56779033,-0.033173944,536412.8764000004,187267.6314000003,107
