name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Book Trust,Book House ,45 East Hill ,SW18 2QZ,Wandsworth,https://www.booktrust.org.uk/,121011471,E09000032,Wandsworth Town,E05014028,51.45797137,-0.184048133,526260.0119000003,174785.00170000084,114
De Morgan Centre,West Hill Library ,38 West Hill ,SW18 1RZ,Wandsworth,http://www.demorgan.org.uk/,121007255,E09000032,East Putney,E05014011,51.45713641,-0.200476777,525121.0130000003,174664.00280000083,114
Emanuel School,Battersea Rise, ,SW11 1HS,Wandsworth,http://www.emanuel.org.uk/,100024000000,E09000032,Wandsworth Common,E05014027,51.45665326,-0.173290163,527011.0102000004,174657.00100000016,114
Foyle Special Collections Library/ Foreign and Common,King's College Chancery Lane, ,WC2A 1LR,Wandsworth,https://www.kcl.ac.uk/library/archivespec/special-collections/Individualcollections/fco.aspx,121016628,E09000032,Battersea Park,E05014010,51.48076694,-0.168381317,527285.0121999998,177347.00280000083,114
Franco-British Society,2 Dovedale Studios ,465 Battersea Park Road ,SW11 4LR,Wandsworth,http://www.franco-british-society.org/,100000000000,E09000032,Battersea Park,E05014010,51.47225363,-0.163379903,527656.0122999996,176409.00200000033,114
"Queen Mary's Hospital, Roehampton",Health Service Library Roehampton, ,SW15 5PN,Wandsworth,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29686,121052762,E09000032,Roehampton,E05014017,51.45554949,-0.241705797,522261.01209999993,174418.00229999982,114
Royal Academy of Dance: Philip Richardson Library,36 Battersea Square, ,SW11 3RA,Wandsworth,https://www.royalacademyofdance.org/more/library,100000000000,E09000032,St Mary's,E05014018,51.47430671,-0.17507667,526838.0121999998,176617.00229999982,114
Shaftesbury Young People,The Chapel Royal Victoria Patriotic Building ,John Archer Way ,SW18 3SX,Wandsworth,https://www.shaftesburyyoungpeople.org/,121030969,E09000032,Wandsworth Common,E05014027,51.45349738,-0.17390549,526977.0113000004,174305.00159999914,114
"St George's Archives and Special Collections, Univers",Cranmer Terrace Tooting, ,SW17 0RE,Wandsworth,https://archives.sgul.ac.uk/st-georges-archives-and-special-collections-university-of-london,100000000000,E09000032,Tooting Broadway,E05014024,51.42729284,-0.174518631,527007.0119000003,171390.00049999915,114
University of Roehampton: Archives and Special Collec,Library and Learning Services ,Roehampton Lane ,SW15 5SZ,Wandsworth,https://www.roehampton.ac.uk/student-support/library/,121001383,E09000032,Roehampton,E05014017,51.45736039,-0.244932558,522032.01209999993,174614.00229999982,114
