name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,fme_feature_type.total_count
Channel 4 Document Archive,124 Horseferry Road, ,SW1P 2TX,Westminster,,100023000000,E09000033,St James's,E05013806,51.4957021,-0.132918466,529705.0137,179070.00229999982,779
ChurchCare Library,Cathedral and Church Buildings Division Archbishop,Church House  27 Great Smith Street,SW1P 3AZ,Westminster,,100023000000,E09000033,St James's,E05013806,51.497938,-0.129326046,529948.0131000001,179325.00200000033,779
Performing Right Society Archives,29/33 Berners Street, ,W1P 4AA,Westminster,,100000000000,E09000033,West End,E05013808,51.5184036,-0.137121112,529349.0115999999,181587.00239999965,779
The Theatres Trust Resource Centre,22 Charing Cross Road, ,WC2H 0QL,Westminster,,10033531816,E09000033,St James's,E05013806,51.51060881,-0.12820152,529990.0120000001,180736.00280000083,779
Photographers Gallery ,6-8 Ramillies Street, ,W1F 7LW,Westminster,,,E09000033,West End,E05013808,51.5155547,-0.138631346,529252.2978999997,181267.5351999998,779
Advertising Association,7th Floor North Artillery House,Regents Park ,SW1P 1RT,Westminster,https://www.adassoc.org.uk/,100023000000,E09000033,St James's,E05013806,51.49670957,-0.135196816,529544.0135000004,179178.0030000005,779
Agnew's,8 Grafton Street, ,W1S 4EL,Westminster,http://www.agnewsgallery.com/,100023000000,E09000033,West End,E05013808,51.51005319,-0.143601127,528923.0120000001,180647.00239999965,779
Air League,3 Whitehall Court, ,SW1A2EL,Westminster,https://www.airleague.co.uk/,10033625553,E09000033,St James's,E05013806,51.49984047,-0.132461109,529725.0126,179531.00239999965,779
Alexander Fleming Laboratory Museum,St Mary's Hospital ,Praed Street ,W2 1NY,Westminster,https://www.imperial.nhs.uk/about-us/who-we-are/fleming-museum,200001000000,E09000033,Hyde Park,E05013796,51.51697102,-0.173544641,526826.0121999998,181364.0033999998,779
Alfred Dunhill Museum and Archive,Alfred Dunhill Ltd ,5-7 Mandeville Place ,W1U 3AY,Westminster,https://www.dunhill.com/gb,100023000000,E09000033,Marylebone,E05013801,51.5163984,-0.151342371,528368.0116999997,181339.00290000066,779
Anglo-Chilean Society,12 Devonshire Street, ,W1N 2DS,Westminster,https://www.anglochileansociety.org/,100023000000,E09000033,Marylebone,E05013801,51.52207935,-0.146629122,528679.0115,181979.00320000015,779
Anthroposophical Society in Great Britain,Rudolf Steiner House ,35 Park Road ,NW1 6XT,Westminster,https://www.anthroposophy.org.uk/,200002000000,E09000033,Regent's Park,E05013805,51.52489743,-0.160555743,527705.0121999998,182268.00290000066,779
Arab-British Chamber of Commerce,43 Upper Grosvenor Street, ,W1K 2NJ,Westminster,https://www.abcc.org.uk/,100023000000,E09000033,West End,E05013808,51.51042165,-0.153270578,528251.0115999999,180671.00229999982,779
Archives of the British Psychoanalytical Society,Institute of Psychoanalysis Bryon House ,112A Shirland Road ,W9 2BT,Westminster,http://psychoanalysis.org.uk/archive/view-archive-collections,10033595987,E09000033,Maida Vale,E05013800,51.52664589,-0.194378265,525354.0126,182404.0033999998,779
Archives of the Royal Philatelic Society London,The Royal Philatelic Society London ,41 Devonshire Place ,W1G 6JY,Westminster,http://www.rpsl.org.uk/library.asp,100023000000,E09000033,Marylebone,E05013801,51.52147742,-0.150084306,528441.0116999997,181906.0030000005,779
Association of Anaesthetists of Great Britain and Ire,21 Portland Place, ,W1B 1PY,Westminster,https://www.aagbi.org/,10033598850,E09000033,Marylebone,E05013801,51.51939349,-0.145109412,528792.0115999999,181683.00280000083,779
Association of Conservative Clubs Ltd,24 Old Queen Street, ,SW1H 9HP,Westminster,https://www.toryclubs.co.uk/,100023000000,E09000033,St James's,E05013806,51.50100242,-0.130886294,529831.0125000002,179663.00200000033,779
Association of Directors of Adult Social Services,ADSS Business Unit Local Government House ,Smith Square ,SW1P 3HZ,Westminster,https://www.adass.org.uk/home,10033543338,E09000033,St James's,E05013806,51.49557688,-0.126757514,530133.0136000002,179067.00239999965,779
Athenaeum,107 Pall Mall, ,SW1Y 5ER,Westminster,http://www.athenaeumclub.co.uk/,100023000000,E09000033,St James's,E05013806,51.50684074,-0.132707924,529688.0122999996,180309.00229999982,779
